cell_line,signature,cosine,group,cosmic_source,cosmic_genome,n_snv_used
OV1369-R2,SBS5,0.7354146004926982,clock-like (age),COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS3,0.7267219571933392,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS40,0.7096609058483395,clock-like (age),COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS6,0.6954203235866785,MMR-d / MSI,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS94,0.6726758544114477,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS89,0.6414779071901241,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS25,0.6094437518190545,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS92,0.6078939299543564,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS15,0.5965012426952713,MMR-d / MSI,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS24,0.5749958366419242,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS32,0.5634401807989218,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS87,0.5560267136197926,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS44,0.5510755315701487,MMR-d / MSI,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS29,0.547665156014248,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS39,0.5475181721978932,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS8,0.5429136473422539,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS1,0.539343442700535,clock-like (age),COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS42,0.5381455935836885,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS4,0.5267313863851106,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS30,0.5242378756607063,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS35,0.5012151647048411,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS18,0.4748521682243343,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS31,0.45867108660186784,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS84,0.44949656530208626,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS93,0.44536280582946297,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS23,0.442394483440569,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS11,0.4346000715357784,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS19,0.40128374485712676,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS7b,0.3945942960335541,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS9,0.37653277889004416,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS86,0.37246466409245443,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS20,0.35984620102726667,MMR-d / MSI,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS10c,0.35832506738978614,POLE proofreading,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS36,0.34739393925031853,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS41,0.34158099540999803,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS37,0.3332870321524774,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS14,0.30624475747488983,MMR-d / MSI,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS12,0.28873857870936975,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS7a,0.288663571707263,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS16,0.27374299614276076,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS26,0.26860856880884065,MMR-d / MSI,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS85,0.22677709117724001,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS10b,0.22669536833654863,POLE proofreading,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS88,0.2147401483293586,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS10d,0.20915685120282385,POLE proofreading,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS33,0.19837377208205126,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS38,0.19518536037936793,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS21,0.19044818936438962,MMR-d / MSI,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS13,0.18811643233641417,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS22,0.1869196026483871,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS7c,0.17952786750719524,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS91,0.17345031595925944,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS2,0.17144478741448985,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS7d,0.17033250898203559,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS10a,0.1585586023687944,POLE proofreading,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS17a,0.15140930558050017,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS28,0.09787667699038163,POLE proofreading,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS34,0.08494867692963956,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS90,0.0834351373272853,other,COSMIC_v3.2,GRCh38,594
OV1369-R2,SBS17b,0.06747820185713839,other,COSMIC_v3.2,GRCh38,594
OV2085,SBS5,0.7850286190052017,clock-like (age),COSMIC_v3.2,GRCh38,476
