signature,boot_mean,boot_median,boot_lo95,boot_hi95,boot_selected_frac,n_boots,cell_line,reference_set,bootstrap_seed,cache_max_delta,cache_sha256,cache_n_ref_full,cache_n_ref_restricted,cosmic_source,mutationalpatterns_version
SBS1,20.16144244150352,0,0,73.83990158801625,0.42,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS10a,0.20958864880262074,0,0,0,0.015,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS10b,0.306590085516993,0,0,0,0.015,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS10c,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS10d,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS11,0.750971991588039,0,0,0,0.015,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS12,8.099371963712914,0,0,46.72165365871278,0.21,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS13,0.44745105250623185,0,0,0.39412144952343026,0.025,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS14,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS15,24.17053318415808,0,0,90.29422214313496,0.405,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS16,0.8925991180933669,0,0,16.127016736735168,0.035,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS17a,0.46193386963577615,0,0,0.3945517287243675,0.025,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS17b,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS18,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS19,0.6374714397132749,0,0,0,0.02,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS2,0.2859084116664427,0,0,0,0.02,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS20,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS21,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS22,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS23,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS24,50.99284478494623,56.91072777798075,0,111.59341918445661,0.71,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS25,1.2008903311847607,0,0,0,0.02,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS26,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
