signature,cell_line,contribution,total_fitted,rel_contribution,reference_set,boot_mean,boot_median,boot_lo95,boot_hi95,boot_selected_frac,n_boots,signature_group,n_snv_used,cosmic_source,cosmic_genome,mutationalpatterns_version,fit_method,max_delta,n_boots_requested,bootstrap_input_sha256,subtype,is_hypermutator
SBS3,OV1369-R2,223.60503305835084,593.544715104005,0.376728201546145,full,163.77584744619202,195.30659249558397,0,324.7969447752201,0.725,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS24,OV1369-R2,70.61630076948836,593.544715104005,0.11897385145972444,full,50.99284478494623,56.91072777798075,0,111.5934191844566,0.71,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS87,OV1369-R2,58.74142284459892,593.544715104005,0.09896713987977442,full,38.86069834198445,43.98619382399501,0,101.34344251215713,0.61,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS15,OV1369-R2,54.16933270056794,593.544715104005,0.09126411426488064,full,24.17053318415808,0,0,90.29422214313496,0.405,200,MMR-d / MSI,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS30,OV1369-R2,45.75933286793938,593.544715104005,0.07709500515040574,full,39.73438051141146,46.27503100147946,0,92.99930404229164,0.7,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS8,OV1369-R2,44.18234532927502,593.544715104005,0.07443810753421178,full,46.260841493351734,46.141423334662434,0,137.63565440802978,0.59,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS32,OV1369-R2,34.53758442692137,593.544715104005,0.05818868157366957,full,19.762971569892777,0,0,62.98530047653602,0.425,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS39,OV1369-R2,32.03190404251649,593.544715104005,0.053967128722397326,full,54.01435643104536,43.94396227173472,0,171.48931100739435,0.535,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS1,OV1369-R2,29.90145906434667,593.544715104005,0.05037776986879098,full,20.16144244150352,0,0,73.83990158801625,0.42,200,clock-like (age),594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS2,OV1369-R2,0,593.544715104005,0,full,0.2859084116664427,0,0,0,0.02,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
