cell_line,n_snv_used,n_sigs_selected_full,recon_cosine_full,n_sigs_selected_restricted,recon_cosine_restricted,subtype,n_coding,is_hypermutator,msi_mmr_call,cos_mmr_d,cos_clock,cos_pole,cos_margin_mmrd_vs_clock,sbs_call,best_cosmic,rel_mmr_d_restricted,top_signature,top_rel,top_boot_selected_frac,mmr_d_top_signature,mmr_d_top_rel,mmr_d_top_boot_lo95,mmr_d_top_boot_hi95,mmr_d_top_boot_selected_frac,rel_mmr_d,rel_clock,rel_pole,cosmic_source,cosmic_genome,mutationalpatterns_version,n_boots,max_delta,substrate,exome_renormalisation
TOV21G,2417,5,0.9765,5,0.9735,CC,1416,TRUE,candidate MMR-d / MSI-high,0.8765484058520572,0.6514579638796552,0.31518264617032926,0.225090441972402,MMR-d/MSI-like,SBS6,0.6417698468373868,SBS6,0.428,1,SBS6,0.428,451.5,1027.5,1,0.733,0,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
TOV2835EP,514,10,0.9481,7,0.9051,HGS,252,FALSE,no hypermutation signal,0.5974729164232188,0.7538128821632815,0.4896706535528903,-0.1563399657400627,clock/indeterminate,SBS5,0.23137253568816027,SBS4,0.151,0.84,SBS6,0.15,0,103.8,0.63,0.292,0,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
OV90,583,9,0.9542,5,0.9271,HGS,240,FALSE,no hypermutation signal,0.691362738972732,0.8070191465408201,0.3635235120089704,-0.11565640756808804,clock/indeterminate,SBS5,0.13627121135052103,SBS5,0.242,0.82,SBS6,0.166,0,127.2,0.73,0.241,0.242,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
OV3331,303,8,0.9274,5,0.8725,HGS,155,FALSE,no hypermutation signal,0.6605951527303263,0.7149486084113109,0.30672014086089455,-0.0543534556809846,clock/indeterminate,SBS5,0.08088783510628035,SBS24,0.296,0.995,SBS26,0.169,0,58.7,0.865,0.236,0.097,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
TOV3121D,316,12,0.9478,6,0.9012,HGS,158,FALSE,no hypermutation signal,0.6357143846744407,0.7791791719392616,0.3705652403241691,-0.1434647872648208,clock/indeterminate,SBS5,0.09026810437740725,SBS87,0.189,0.95,SBS26,0.129,0,55.5,0.535,0.209,0,0.031,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
TOV3121EP,400,9,0.9433,6,0.8936,HGS,206,FALSE,no hypermutation signal,0.5909184847725979,0.725380124901725,0.43618831018637727,-0.1344616401291271,clock/indeterminate,SBS40,0.1061899856093465,SBS39,0.165,0.835,SBS26,0.105,0,57.2,0.545,0.182,0,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
TOV3392D,427,11,0.9478,8,0.9165,CC,196,FALSE,no hypermutation signal,0.6678225195103956,0.7418700267523197,0.4031993749444317,-0.0740475072419241,clock/indeterminate,SBS5,0.20407976394189692,SBS5,0.216,0.3,SBS15,0.124,0,74.8,0.805,0.168,0.216,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
TOV2414,386,6,0.9318,6,0.9103,MC,142,FALSE,no hypermutation signal,0.6663157541007052,0.7648417877521253,0.3805903772744256,-0.0985260336514201,clock/indeterminate,SBS5,0.11599824696389179,SBS5,0.453,0.845,SBS6,0.143,0,75.2,0.605,0.143,0.453,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
TOV1369,686,7,0.9311,5,0.9135,HGS,321,FALSE,no hypermutation signal,0.601689307251135,0.7530536271210072,0.3475907023304433,-0.1513643198698722,clock/indeterminate,SBS3,0.14300591678243865,SBS3,0.399,0.595,SBS6,0.136,0,120.5,0.73,0.136,0,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
TOV2881EP,559,8,0.9547,6,0.9226,HGS,240,FALSE,no hypermutation signal,0.5796451403321707,0.7632747321008371,0.4553881277618396,-0.18362959176866633,clock/indeterminate,SBS5,0.09214920172120973,SBS89,0.185,0.715,SBS15,0.13,0,92.4,0.89,0.13,0,0,COSMIC_v3.2,GRCh38,3.18.0,200,0.004,"exome-wide Mutect2 PASS & popAF<=0.001 SNVs (tumour-only, no matched normal)",not applied to primary screen/refit; archived target-bin opportunity sensitivity deposited separately
