cell_line,mode,n_snv_target,n_snv_unrestricted,mmr_relative_exposure,reconstruction_cosine,target_bed_sha256,target_union_bp,caveat
OV1369-R2,target-restricted variants; genome reference,594,594,0.09126411426488064,0.9536032999599948,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2085,target-restricted variants; genome reference,476,476,0.11653627588932464,0.9564332240960006,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2295,target-restricted variants; genome reference,403,403,0.10680342331811624,0.9226732930846661,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2295-R2,target-restricted variants; genome reference,572,572,0,0.9455616030405672,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3133-R,target-restricted variants; genome reference,437,437,0.04123505932461783,0.9492944795308352,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3133-R2,target-restricted variants; genome reference,395,395,0.10147838662339301,0.9394745590186596,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3291,target-restricted variants; genome reference,430,430,0.09708611411870616,0.932588912436425,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV1369,target-restricted variants; genome reference,686,686,0.13580349413227336,0.9311468891068125,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2295-R,target-restricted variants; genome reference,418,418,0.09553963357252113,0.9454955769611858,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2835EP,target-restricted variants; genome reference,514,514,0.2918198820499468,0.9480826435592835,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2881EP,target-restricted variants; genome reference,559,559,0.1298412967578543,0.9547238311776388,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2929D,target-restricted variants; genome reference,883,883,0.09388400618191388,0.9602273503531356,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3121D,target-restricted variants; genome reference,316,316,0.20898587927854567,0.9477779582280109,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3121EP,target-restricted variants; genome reference,400,400,0.181951750172891,0.9432993942563918,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3133D,target-restricted variants; genome reference,411,411,0.07012453360476625,0.9396541016649566,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3133G,target-restricted variants; genome reference,430,430,0,0.9527188123741145,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3331,target-restricted variants; genome reference,303,303,0.23617598222331654,0.9274045359011626,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV90,target-restricted variants; genome reference,583,583,0.24087198685829225,0.9542454107660683,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV81D,target-restricted variants; genome reference,608,608,0.09785310324010654,0.9364166614426871,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV21G,target-restricted variants; genome reference,2417,2417,0.733027272978037,0.9765327099777726,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV3392D,target-restricted variants; genome reference,427,427,0.16847264957946018,0.9477582059506445,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV112D,target-restricted variants; genome reference,336,336,0.12115417629350803,0.8915818090360936,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
TOV2414,target-restricted variants; genome reference,386,386,0.14290846455083042,0.9318009710766899,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV1369-R2,target-restricted variants; target-opportunity-adjusted reference,594,594,0.13714603815453405,0.9603720988305039,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2085,target-restricted variants; target-opportunity-adjusted reference,476,476,0.059410939072288026,0.9699908130794421,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2295,target-restricted variants; target-opportunity-adjusted reference,403,403,0,0.9298819840372362,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV2295-R2,target-restricted variants; target-opportunity-adjusted reference,572,572,0,0.9512990760297951,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
OV3133-R,target-restricted variants; target-opportunity-adjusted reference,437,437,0,0.9547697000547136,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,63465385,"exploratory point refit; derived CNVkit target footprint, not sample-callable mask; tumour-only candidates"
