file,column,rows,missing_values,description
metadata/models.csv,cell_line,42,0,"Stable model identifier joining matrices, metadata, and annotations."
metadata/models.csv,histotype_code,42,0,"Historical analysis group: HGS, LGS, CC, EC, MC, MMMT, or SCCOHT; see histotype_note."
metadata/models.csv,histotype_label,42,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,histotype_note,42,0,Annotation qualification; TOV112D has a published dedifferentiated carcinoma reassignment.
metadata/models.csv,contributing_centre,42,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,patient_id,42,0,"Patient-of-origin grouping, not an independently verified participant identifier."
metadata/models.csv,models_from_same_patient,42,0,Number of resource models originating from this patient.
metadata/models.csv,selected_patient_model,42,0,TRUE selects one model per patient by assay coverage and lexical tie-break; analysis-specific selections may differ.
metadata/models.csv,rna_available,42,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,protein_available,42,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,copy_number_available,42,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,variants_available,42,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,rna_sample_id,42,11,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,rna_passage,42,11,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,wes_passage,42,19,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,tmt_plex,42,11,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,tmt_channel,42,11,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,stock_str_documentation,42,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,stock_mycoplasma_documentation,42,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
metadata/models.csv,rna_pseudoalign_pct,42,11,"Kallisto pseudoalignment percentage, 0–100."
metadata/models.csv,rna_sequenced_fragments_M,42,11,Processed paired-end fragments in millions.
metadata/models.csv,rna_assigned_gene_counts_M,42,11,"Sum of estimated gene counts after the global expression filter, in millions."
metadata/models.csv,rna_genes_detected,42,11,Globally retained genes with estimated counts >=1 in this model.
metadata/models.csv,prot_n_detected,42,11,Protein features with measured abundance in this model.
metadata/models.csv,prot_pct_missing,42,11,"Percentage of the 8,427 protein features unmeasured in this model."
metadata/models.csv,wes_n_coding,42,19,Number of retained tumour-only coding/splice candidates; not a mutation burden per megabase.
metadata/models.csv,fga_autosome,42,19,Fraction of assessed autosomal segment length with absolute centred log2 ratio >0.20.
metadata/models.csv,cellosaurus_accession,42,12,External Cellosaurus accession matched to the model name.
metadata/models.csv,str_profile_documented,42,0,External STR reference profile exists in Cellosaurus; does not establish matching of study stocks.
metadata/models.csv,problematic_flag,42,41,External Cellosaurus problematic/misidentification annotation; consult the source record.
processed/rna_tpm.csv,gene_id,39733,0,Ensembl gene identifier from the matched transcript reference.
processed/rna_tpm.csv,<cell_line>,39733,per-column; empty/NA denotes unmeasured,Gene TPM from the matched transcript-to-gene reference; unfiltered genes.
processed/rna_counts.csv,gene_id,22678,0,Ensembl gene identifier from the matched transcript reference.
processed/rna_counts.csv,<cell_line>,22678,per-column; empty/NA denotes unmeasured,Filtered tximport estimated counts; not raw sequenced-fragment counts.
processed/rna_qc_metrics.csv,cell_line,31,0,"Stable model identifier joining matrices, metadata, and annotations."
processed/rna_qc_metrics.csv,subtype,31,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/rna_qc_metrics.csv,site,31,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/rna_qc_metrics.csv,pseudoalign,31,0,"Kallisto pseudoalignment percentage, 0–100."
processed/rna_qc_metrics.csv,assigned_gene_counts,31,0,"Sum of tximport estimated counts assigned to genes, after the global expression filter."
processed/rna_qc_metrics.csv,detected,31,0,Number of globally retained genes with estimated counts >=1 in a model.
processed/rna_qc_metrics.csv,n_processed_fragments,31,0,Kallisto fragments processed; paired reads count as one fragment.
processed/prot_abundance_matrix.csv,protein,8427,0,Protein feature identifier; representative symbol or SYMBOL|UNIPROT for secondary rows.
processed/prot_abundance_matrix.csv,<cell_line>,8427,per-column; empty/NA denotes unmeasured,Supplied log2 protein abundance normalised using the pooled TMT standard; missing measurements retained.
processed/prot_qc.csv,row,8427,0,Protein feature identifier matching protein in the abundance matrix.
processed/prot_qc.csv,symbol,8427,0,Source-table gene symbol; not all rows with the same symbol are interchangeable.
processed/prot_qc.csv,uniprot,8427,0,Source-table UniProt accession(s).
processed/prot_qc.csv,symbol_representative,8427,0,"Representative row chosen by completeness, peptide support, and q-value."
processed/prot_qc.csv,n_peptides,8427,0,Number of identified peptides reported in the source protein table.
processed/prot_qc.csv,n_unique_peptides,8427,0,Number of unique peptides reported in the source protein table.
processed/prot_qc.csv,npeptides_quant,8427,0,Number of quantified peptides reported in the source protein table.
processed/prot_qc.csv,qvalue,8427,0,Source protein-search q-value; upstream search configuration requires laboratory confirmation.
processed/prot_qc.csv,cv_replicates,8427,487,Source-reported replicate CV in percent; exact upstream definition requires confirmation.
processed/prot_qc.csv,isoDoping,8427,0,"Source-table isotope-doping annotation, preserved without reinterpretation."
processed/prot_qc.csv,present_n_lines,8427,0,Number of resource models with measured protein abundance.
processed/prot_qc.csv,present_n_plex,8427,0,"Number of TMT plexes with measured protein abundance, 0–5."
processed/prot_qc.csv,pass_presence50,8427,0,TRUE for features measured in at least 16 of 31 models.
processed/prot_qc.csv,complete_case,8427,0,TRUE for features measured in all 31 resource protein models.
processed/prot_qc.csv,zero_plex,8427,0,TRUE for identified features with no quantified value in any resource plex.
processed/prot_block_missingness.csv,protein,8427,0,Protein feature identifier; representative symbol or SYMBOL|UNIPROT for secondary rows.
processed/prot_block_missingness.csv,present_n_lines,8427,0,Number of resource models with measured protein abundance.
processed/prot_block_missingness.csv,present_n_plex,8427,0,"Number of TMT plexes with measured protein abundance, 0–5."
processed/prot_block_missingness.csv,plexes_present,8427,70,TMT plexes in which this feature was measured.
processed/prot_block_missingness.csv,plexes_absent,8427,6855,TMT plexes in which this feature was unmeasured.
processed/prot_block_missingness.csv,absent_from_any_plex,8427,0,TRUE when feature is missing from at least one TMT plex.
processed/prot_block_missingness.csv,pct_lines_missing,8427,0,Percentage of 31 protein models lacking this feature.
processed/prot_block_missingness.csv,pass_presence50,8427,0,TRUE for features measured in at least 16 of 31 models.
processed/prot_sample_qc.csv,cell_line,31,0,"Stable model identifier joining matrices, metadata, and annotations."
processed/prot_sample_qc.csv,subtype,31,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/prot_sample_qc.csv,site,31,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/prot_sample_qc.csv,plex,31,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/prot_sample_qc.csv,channel,31,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/prot_sample_qc.csv,n_detected,31,0,Number of protein features with a measured abundance in a model.
processed/prot_sample_qc.csv,pct_missing,31,0,"Percentage of the 8,427 protein features unmeasured in this model."
processed/prot_feature_accounting.csv,level,14,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/prot_feature_accounting.csv,n,14,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/prot_feature_accounting.csv,definition,14,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,cell_line,6194,0,"Stable model identifier joining matrices, metadata, and annotations."
processed/wes_mutations_filtered.csv,subtype,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,Hugo_Symbol,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,Chromosome,6194,0,GRCh38 chromosome for a sequence variant.
processed/wes_mutations_filtered.csv,Start_Position,6194,0,One-based MAF variant start coordinate.
processed/wes_mutations_filtered.csv,End_Position,6194,0,One-based MAF variant end coordinate; see indel representation in generating script.
processed/wes_mutations_filtered.csv,Reference_Allele,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,Tumor_Seq_Allele2,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,Variant_Classification,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,Variant_Type,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,HGVSp_Short,6194,262,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,hgvsp_canonical,6194,262,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,hgvsp_reconstructed,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,Transcript_ID,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,Consequence,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,IMPACT,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,dbSNP_RS,6194,602,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,Existing_variation,6194,3006,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,CLIN_SIG,6194,5744,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,pop_af_max,6194,0,Maximum available population allele frequency; absent annotations are not evidence of confirmed rarity.
processed/wes_mutations_filtered.csv,vaf,6194,899,Alternate allele fraction among supporting tumour reads; not a direct measure of LOH or somatic origin.
processed/wes_mutations_filtered.csv,germline_like_vaf,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,is_driver,6194,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_mutations_filtered.csv,FILTER,6194,0,Archived Mutect2 filter value; released candidates passed upstream filtering.
processed/wes_driver_tiers.csv,cell_line,51,0,"Stable model identifier joining matrices, metadata, and annotations."
processed/wes_driver_tiers.csv,patient_id,51,0,"Patient-of-origin grouping, not an independently verified participant identifier."
processed/wes_driver_tiers.csv,family,51,26,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,subtype,51,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,gene,51,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,protein_change,51,1,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,variant_classification,51,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,vaf,51,20,Alternate allele fraction among supporting tumour reads; not a direct measure of LOH or somatic origin.
processed/wes_driver_tiers.csv,germline_like_vaf,51,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,clin_sig,51,26,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,tier,51,0,"Heuristic prioritisation tier, not a calibrated somatic probability or clinical classification."
processed/wes_driver_tiers.csv,rationale,51,0,Rule used to assign the heuristic evidence tier.
processed/wes_driver_tiers.csv,context,51,43,Source or interpretation context for a prioritised candidate.
processed/wes_driver_tiers.csv,Chromosome,51,0,GRCh38 chromosome for a sequence variant.
processed/wes_driver_tiers.csv,Start_Position,51,0,One-based MAF variant start coordinate.
processed/wes_driver_tiers.csv,End_Position,51,0,One-based MAF variant end coordinate; see indel representation in generating script.
processed/wes_driver_tiers.csv,Reference_Allele,51,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,Tumor_Seq_Allele2,51,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,hgvsp_canonical,51,1,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,hgvsp_reconstructed,51,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_driver_tiers.csv,interpretation,51,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_cnv_segments.csv,cell_line,5428,0,"Stable model identifier joining matrices, metadata, and annotations."
processed/wes_cnv_segments.csv,subtype,5428,0,See file-level definition and the generating script in file_catalog.csv; source field retained without reinterpretation.
processed/wes_cnv_segments.csv,chromosome,5428,0,GRCh38 chromosome for a copy-number segment.
processed/wes_cnv_segments.csv,start,5428,0,Zero-based inclusive segment start coordinate.
processed/wes_cnv_segments.csv,end,5428,0,Zero-based exclusive segment end coordinate.
