arm,n_lines,n_lines_gain,n_lines_loss,n_patients,n_patients_gain,n_patients_loss,pct_lines_gain,pct_lines_loss,pct_patients_gain,pct_patients_loss,log2_threshold,arm_majority_frac,centring,pct_per_patient,arm_reference,fraction_denominator,patient_rule
20q,18,14,0,11,10,0,78,0,91,0,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
22q,18,0,13,11,0,10,0,72,0,91,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
17p,18,0,15,11,0,9,0,83,0,82,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
19p,18,0,11,11,0,9,0,61,0,82,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
3q,18,15,1,11,9,1,83,6,82,9,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
4q,18,0,14,11,0,9,0,78,0,82,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
15q,18,0,11,11,0,8,0,61,0,73,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
3p,18,0,11,11,0,8,0,61,0,73,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
4p,18,0,11,11,0,8,0,61,0,73,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
7q,18,11,0,11,8,0,61,0,73,0,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
8p,18,1,12,11,1,8,6,67,9,73,0.2,0.5,per-sample autosome probe-weighted median (log2c_auto),9.1,UCSC hg38 cytoBand acen; 0-based half-open; centromeres excluded,full annotated non-centromeric arm length,at least one derived line with the event
