cell_line,subtype,n_segments,total_assessed_mb,fga_0.2,fga_0.3,frac_gain,frac_loss,n_segments_auto,total_assessed_autosome_mb,fga_auto_0.2,fga_auto_0.3,frac_gain_auto,frac_loss_auto,chrX_median_log2c,chrX_frac_altered,patient_id,n_lines_in_family,patient_representative,high_fga_flag
TOV3392D,CC,160,2908.412101,0.6881596381447596,0.5854084231786106,0.2911856200532292,0.39697401809153043,156,2753.276036,0.6705886841198657,0.5620478501851167,0.2512467718293103,0.4193419122905554,0.8262949671228679,1,TOV3392D,1,TRUE,FALSE
TOV21G,CC,105,2913.885747,0.12073475199300598,0.1051281740594615,0.10633974249643083,0.014395009496575158,103,2758.19482,0.07110315216964985,0.05461563480131545,0.05589559224826621,0.015207559921383654,0.6475783472317735,1,TOV21G,1,TRUE,FALSE
TOV112D,EC,113,2911.665389,0.2647166545688537,0.22415155239529483,0.2414104936836202,0.023306160885233507,110,2755.989483,0.22565186508732407,0.21896739074022076,0.2180425777045681,0.007609287382755952,0.16625528614200524,1,TOV112D,1,TRUE,FALSE
TOV3121D,HGS,132,2910.243998,0.832016864793479,0.5299875024430856,0.3761628439925744,0.4558540208009047,128,2754.557688,0.8440173194150944,0.6876558175753116,0.3532236809701551,0.49079363844493934,-0.23233057352040443,0.3159744424541888,3121,2,FALSE,TRUE
TOV2929D,HGS,210,2905.625711,0.7569549307997571,0.6197319879098495,0.33994131324645344,0.41701361755330363,201,2750.555446,0.7689391922914176,0.6643718837435135,0.3589028348567237,0.41003635743469397,-1.2277293905856568,0.7687013238805003,TOV2929D,1,TRUE,TRUE
OV2085,HGS,319,2882.566274,0.7029622809636744,0.5837150011698222,0.26230588861735915,0.4406563923463152,292,2728.262894,0.6887406811610582,0.5731305335122884,0.2614155280154611,0.4273251531455971,-0.2862290147294678,0.9634676375851261,OV2085,1,TRUE,FALSE
TOV3121EP,HGS,144,2910.131574,0.6957835525686784,0.6334061430309749,0.30543856880609893,0.39034498376257953,136,2754.494051,0.6794854794914204,0.6528719302723228,0.2866983977377993,0.3927870817536211,-0.26448959946799855,1,3121,2,TRUE,FALSE
OV3291,HGS,453,2864.658821,0.6853050836660175,0.5769064283973243,0.31140528514617133,0.37389979851984617,446,2709.028918,0.6787704995624562,0.5781530793537287,0.29219688270599703,0.38657361685645913,0.7068647085635493,0.9500518033478438,3291,2,FALSE,FALSE
OV2295-R2,HGS,193,2899.069364,0.7060785010592799,0.5562147380893091,0.3672838191532143,0.33879468190606565,191,2743.378437,0.6727799592309764,0.4825026865223553,0.36799486406402776,0.3047850951669487,-0.3319295917781863,1,2295,3,FALSE,FALSE
OV3133-R2,HGS,504,2878.854862,0.6476259073042495,0.5404846161362337,0.3344772641059944,0.31314864319825514,481,2723.382941,0.6721650280763802,0.5712054285794985,0.3457246283015474,0.32644039977483286,0.1202754421955533,0.29817236258372337,3133,4,FALSE,FALSE
