cell_line,subtype,raw,pass,rare,coding
OV1369-R2,HGS,26332,700,693,280
OV2085,HGS,25019,542,538,207
OV2295,HGS,25914,493,492,170
OV2295-R2,HGS,25038,677,675,272
OV3133-R,HGS,22442,530,524,186
OV3133-R2,HGS,27303,482,479,166
OV3291,HGS,25299,496,492,207
TOV1369,HGS,20960,760,757,321
TOV2295-R,HGS,27940,500,498,190
TOV2835EP,HGS,29323,629,627,252
TOV2881EP,HGS,23317,634,629,240
TOV2929D,HGS,23201,1060,1059,413
TOV3121D,HGS,25082,389,386,158
TOV3121EP,HGS,23833,480,476,206
TOV3133D,HGS,26942,504,503,189
TOV3133G,HGS,23802,525,522,191
OV3331,HGS,26204,386,383,155
OV90,HGS,23364,686,680,240
TOV81D,LGS,28980,791,786,264
TOV21G,CC,32953,3469,3465,1416
TOV3392D,CC,25746,512,506,196
TOV112D,EC,22090,399,394,133
TOV2414,MC,21390,437,431,142
