gene,n,rho_error,p_error
NACAP1,15,0,4.33680868994202e-18
GAPDHS,12,0,6.93889390390723e-18
KMT5B,12,0,0
PGM5,12,0,2.42861286636753e-17
LIPT1,12,0,4.85722573273506e-17
PLG,27,0,5.96311194867027e-19
RC3H2,10,0,1.73472347597681e-16
SMARCE1,27,0,2.81892564846231e-18
C3orf33,27,0,9.10729824887824e-18
PIAS3,17,0,3.46944695195361e-18
PTK2B,10,0,1.18584612615602e-20
SERPINH1,27,0,5.67979851759128e-29
ANXA6,27,0,6.3108872417681e-30
ACSS1,27,1.11022302462516e-16,0
LAD1,27,1.11022302462516e-16,5.04870979341448e-29
ANXA8L1,15,1.11022302462516e-16,1.16467030247466e-21
VIM,27,0,2.01948391736579e-28
ETHE1,27,1.11022302462516e-16,0
BASP1,27,0,0
FOLR1,27,0,0
KIN,27,0,0
RIF1,27,0,1.11022302462516e-16
KDM5C,27,0,0
GGA2,27,0,1.66533453693773e-16
BPGM,27,0,0
POU2F1,27,0,0
CBX8,27,0,0
GFPT1,27,0,0
MRPS25,27,0,0
POLR3E,27,0,0
ZNF250,27,0,0
DIMT1,27,0,0
PSPH,27,0,0
CIB1,27,0,5.20417042793042e-17
LHPP,27,2.77555756156289e-17,1.11022302462516e-16
FOSL1,27,0,1.6940658945086e-20
ZNF48,27,0,8.94466792300541e-19
CEACAM6,22,0,0
PRR36,27,0,0
MYDGF,27,0,2.37169225231204e-20
WARS,27,0,0
ASCC2,27,0,5.89805981832114e-17
HIKESHI,17,0,0
STX11,12,0,1.38777878078145e-17
CNPY3,27,0,0
DAG1,27,0,2.08166817117217e-17
MTMR12,27,0,0
CCAR1,27,0,9.71445146547012e-17
DHRS2,27,0,0
MBOAT7,27,0,4.33680868994202e-19
EFNB2,27,0,1.03397576569128e-25
SDHC,22,0,0
UBR7,27,0,0
CC2D1B,27,0,0
ZDHHC13,27,0,5.20417042793042e-17
TK1,27,0,0
PFKP,27,0,6.7762635780344e-21
AP3M2,20,0,2.77555756156289e-17
CACNA2D2,19,0,0
NFYC,27,0,0
CHCHD1,27,0,0
CRYZL1,27,0,0
TBC1D15,27,0,0
KXD1,27,0,0
MAFG,27,0,6.93889390390723e-18
CUX1,27,0,0
LANCL2,27,0,5.55111512312578e-17
MYEF2,27,0,2.77555756156289e-17
MCL1,27,0,1.11022302462516e-16
GPR108,20,0,1.11022302462516e-16
SNRPB2,27,0,2.22044604925031e-16
RCHY1,27,0,1.11022302462516e-16
UBA1,27,0,1.12757025938492e-17
PPP1R9A,27,0,2.77555756156289e-17
NUDT16L1,27,0,0
AKAP11,27,0,0
MAP7D1,27,0,0
AP1M1,27,1.38777878078145e-17,1.11022302462516e-16
SRSF2,27,0,1.11022302462516e-16
PINX1,27,0,0
MSH3,27,0,4.16333634234434e-17
RNF121,24,0,9.0205620750794e-17
BCAM,27,0,4.13590306276514e-25
AHSA1,27,0,4.16333634234434e-17
TXNDC5,27,0,6.7762635780344e-21
APOB,27,0,1.66533453693773e-16
SLC16A4,12,0,0
RPL38,27,0,0
LTF,27,0,2.22044604925031e-16
WDR82,27,0,0
IL1RN,24,0,4.85722573273506e-17
ATAD3A,27,0,5.9557004103818e-23
FAM162A,27,0,1.51788304147971e-18
GOLGA2,27,0,6.93889390390723e-18
SLC25A32,17,0,2.22044604925031e-16
MRPS16,27,0,0
DEFB4A,12,0,3.88578058618805e-16
SNX30,27,0,0
DDX17,27,0,2.08166817117217e-16
FAM126A,27,0,3.60822483003176e-16
THY1,27,0,0
NT5E,27,0,0
F5,27,5.55111512312578e-17,0
SF3B3,27,0,1.11022302462516e-16
PRKAR1B,27,0,0
ZNF646,27,0,0
UBN1,27,0,0
CDKN1A,27,0,5.0821976835258e-21
RPP30,27,5.55111512312578e-17,0
SMYD5,27,0,5.55111512312578e-17
ARFGAP1,27,0,0
AIMP2,27,0,1.11022302462516e-16
AKAP5,19,0,1.11022302462516e-16
LPCAT1,27,0,0
PTPRA,27,0,8.67361737988404e-18
RAB11FIP4,24,0,0
ACY1,27,0,0
BBS2,20,0,6.93889390390723e-18
SHMT2,27,0,2.64697796016969e-23
RPL22,27,0,1.73472347597681e-17
