cell_line,gene_id,symbol,primary_assembly,tpm_restored,counts_restored
OV1369-R2,ENSG00000211804,TRDV1,TRUE,0,0
OV1369-R2,ENSG00000196383,OR4Q2,TRUE,0,0
OV1369-R2,ENSG00000211454,AKR7L,TRUE,0.0318447,2.00126
OV1369-R2,ENSG00000205702,CYP2D7,TRUE,0,0
OV1369-R2,ENSG00000272395,IFNL4,TRUE,0,0
OV1369-R2,ENSG00000249948,GBA3,TRUE,0,0
OV1369-R2,ENSG00000244682,FCGR2C,TRUE,0,0
OV1369-R2,ENSG00000226807,MROH5,TRUE,0,0
OV1369-R2,ENSG00000266200,PNLIPRP2,TRUE,0.0428485,3.11831
OV1369-R2,ENSG00000182077,PTCHD3,TRUE,0,0
OV1369-R2,ENSG00000204403,CASP12,TRUE,0,0
OV1369-R2,ENSG00000233276,GPX1,TRUE,38.4489,1632.05
OV1369-R2,ENSG00000211898,IGHD,TRUE,0.0173041,1
OV1369-R2,ENSG00000225698,IGHV3-72,TRUE,0,0
OV1369-R2,ENSG00000242076,IGKV1-33,TRUE,0,0
OV1369-R2,ENSG00000273962,IGKV2-40,TRUE,0,0
OV1369-R2,ENSG00000251039,IGKV2D-40,TRUE,0,0
OV1369-R2,ENSG00000239975,IGKV1D-33,TRUE,0,0
OV1369-R2,ENSG00000243264,IGKV2D-29,TRUE,0,0
OV1369-R2,ENSG00000242534,IGKV2D-28,TRUE,0,0
OV1369-R2,ENSG00000211642,IGLV10-54,TRUE,0,0
OV1369-R2,ENSG00000270472,IGHV3OR16-9,TRUE,0,0
OV1369-R2,ENSG00000119682,AREL1,TRUE,0.822378,19.49907
OV1369-R2,ENSG00000205329,OR6C3,TRUE,0,0
OV1369-R2,ENSG00000163159,VPS72,TRUE,14.4215962,449.4329
OV1369-R2,ENSG00000170605,OR9K2,TRUE,0,0
OV1369-R2,ENSG00000141627,DYM,TRUE,0,0
OV1369-R2,ENSG00000176692,FOXC2,TRUE,11.0652,1510
OV1369-R2,ENSG00000145386,CCNA2,TRUE,0.357362,55.5464
OV1369-R2,ENSG00000176092,CRYBG2,TRUE,0,0
OV1369-R2,ENSG00000100393,EP300,TRUE,0.807683,10.6657
OV1369-R2,ENSG00000135931,ARMC9,TRUE,0.355789,101.383
OV1369-R2,ENSG00000143374,TARS2,TRUE,0.348626,41.5629
OV1369-R2,ENSG00000203780,FANK1,TRUE,0.0175465,1.16113
OV1369-R2,ENSG00000008838,MED24,TRUE,0,0
OV1369-R2,ENSG00000142973,CYP4B1,TRUE,0,0
OV1369-R2,ENSG00000186951,PPARA,TRUE,5.10931,2972.05
OV1369-R2,ENSG00000285385,AC098582.1,TRUE,0.246674,5.85244
OV1369-R2,ENSG00000140941,MAP1LC3B,TRUE,0.306207,5
OV1369-R2,ENSG00000166947,EPB42,TRUE,0,0
OV1369-R2,ENSG00000164674,SYTL3,TRUE,13.5471,1698.86
OV1369-R2,ENSG00000177565,TBL1XR1,TRUE,0,0
OV1369-R2,ENSG00000173369,C1QB,TRUE,0,0
OV1369-R2,ENSG00000151746,BICD1,TRUE,3.64223,670.958
OV1369-R2,ENSG00000183770,FOXL2,TRUE,0.701234,114
OV1369-R2,ENSG00000143933,CALM2,TRUE,0.106013,5.79862
OV1369-R2,ENSG00000078674,PCM1,TRUE,0.156132,75.2412
OV1369-R2,ENSG00000182899,RPL35A,TRUE,8.21981,616.286
OV1369-R2,ENSG00000175110,MRPS22,TRUE,6.49702,353.825
OV1369-R2,ENSG00000092820,EZR,TRUE,0.285234,46.6421
OV1369-R2,ENSG00000074416,MGLL,TRUE,3.805778,207.259
OV1369-R2,ENSG00000065534,MYLK,TRUE,40.952489,13946.47947
OV1369-R2,ENSG00000112787,FBRSL1,TRUE,0,0
OV1369-R2,ENSG00000187240,DYNC2H1,TRUE,0.00321346,2.43871
OV1369-R2,ENSG00000171560,FGA,TRUE,0,0
OV1369-R2,ENSG00000187048,CYP4A11,TRUE,0,0
OV1369-R2,ENSG00000145734,BDP1,TRUE,0,0
OV1369-R2,ENSG00000256269,HMBS,TRUE,35.0203798,2742.91346
OV1369-R2,ENSG00000142208,AKT1,TRUE,6.72763,122.9265
OV1369-R2,ENSG00000187848,P2RX2,TRUE,0,0
OV1369-R2,ENSG00000140832,MARVELD3,TRUE,0,0
OV1369-R2,ENSG00000131018,SYNE1,TRUE,0.00552055,8.66712
OV1369-R2,ENSG00000162365,CYP4A22,TRUE,0,0
OV1369-R2,ENSG00000172551,MUCL1,TRUE,0,0
OV1369-R2,ENSG00000155034,FBXL18,TRUE,0,0
OV1369-R2,ENSG00000123066,MED13L,TRUE,1.14066,27.1983
OV1369-R2,ENSG00000177045,SIX5,TRUE,3.424348,535.1502
OV1369-R2,ENSG00000116171,SCP2,TRUE,0,0
OV1369-R2,ENSG00000142166,IFNAR1,TRUE,3.31013,18
OV1369-R2,ENSG00000104936,DMPK,TRUE,0,0
OV1369-R2,ENSG00000170291,ELP5,TRUE,0.498124,19.0704
OV1369-R2,ENSG00000105991,HOXA1,TRUE,0,0
OV1369-R2,ENSG00000129007,CALML4,TRUE,0,0
OV1369-R2,ENSG00000230667,SETSIP,TRUE,0,0
OV1369-R2,ENSG00000189195,BTBD8,TRUE,0.0259922,6
OV1369-R2,ENSG00000100336,APOL4,TRUE,0,0
OV1369-R2,ENSG00000130363,RSPH3,TRUE,1.93291,228.945
OV1369-R2,ENSG00000075624,ACTB,TRUE,5.55393,573.95
OV1369-R2,ENSG00000169641,LUZP1,TRUE,11.8183,5789.52
OV1369-R2,ENSG00000197584,KCNMB2,TRUE,0,0
OV1369-R2,ENSG00000169994,MYO7B,TRUE,0,0
OV1369-R2,ENSG00000177084,POLE,TRUE,0.118038,2.286
OV1369-R2,ENSG00000105997,HOXA3,TRUE,0.473347,10.0847
OV1369-R2,ENSG00000261308,FIGNL2,TRUE,0.026988,7.23775
OV1369-R2,ENSG00000113811,SELENOK,TRUE,8.16006,306.095
OV1369-R2,ENSG00000160991,ORAI2,TRUE,0,0
OV1369-R2,ENSG00000100197,CYP2D6,TRUE,0,0
OV1369-R2,ENSG00000183662,FAM19A1,TRUE,0,0
OV1369-R2,ENSG00000092108,SCFD1,TRUE,0.0686856,1.28594
OV1369-R2,ENSG00000143409,MINDY1,TRUE,0.425067,62.0257
OV1369-R2,ENSG00000155368,DBI,TRUE,1.03338,35.2607
OV1369-R2,ENSG00000184983,NDUFA6,TRUE,27.2995,1455.87
OV1369-R2,ENSG00000109572,CLCN3,TRUE,2.18016,701.235
OV1369-R2,ENSG00000204842,ATXN2,TRUE,0.000127918,0.034374
OV1369-R2,ENSG00000162367,TAL1,TRUE,0,0
OV1369-R2,ENSG00000137509,PRCP,TRUE,0.0878075,2.02604
OV1369-R2,ENSG00000143434,SEMA6C,TRUE,0.0959681,10.083
OV1369-R2,ENSG00000105983,LMBR1,TRUE,5.9311,1602.62
OV1369-R2,ENSG00000168056,LTBP3,TRUE,0,0
OV1369-R2,ENSG00000181322,NME9,TRUE,0,0
OV1369-R2,ENSG00000182793,GSTA5,TRUE,0,0
OV1369-R2,ENSG00000183955,KMT5A,TRUE,0,0
OV1369-R2,ENSG00000087460,GNAS,TRUE,0,0
OV1369-R2,ENSG00000137101,CD72,TRUE,0.0305258,2.25239
OV1369-R2,ENSG00000055609,KMT2C,TRUE,0.632279388,627.118209
OV1369-R2,ENSG00000112761,WISP3,TRUE,0.1148131,9.01158
OV1369-R2,ENSG00000150990,DHX37,TRUE,3.66517,951.772
OV1369-R2,ENSG00000198001,IRAK4,TRUE,0,0
OV1369-R2,ENSG00000187867,PALM3,TRUE,0,0
OV1369-R2,ENSG00000083857,FAT1,TRUE,0.0659009,57.1176
OV1369-R2,ENSG00000136997,MYC,TRUE,18.6457,1310.38
OV1369-R2,ENSG00000188120,DAZ1,TRUE,0,0
OV1369-R2,ENSG00000067225,PKM,TRUE,2.259803,275.952
OV1369-R2,ENSG00000169488,OR4K15,TRUE,0,0
OV1369-R2,ENSG00000091129,NRCAM,TRUE,1.2213471,208.30414
OV1369-R2,ENSG00000122034,GTF3A,TRUE,11.5057,625.912
OV1369-R2,ENSG00000143799,PARP1,TRUE,74.8098,1312.96
OV1369-R2,ENSG00000128564,VGF,TRUE,0,0
OV1369-R2,ENSG00000080845,DLGAP4,TRUE,0,0
OV1369-R2,ENSG00000116785,CFHR3,TRUE,0.0395636,3.00865
OV1369-R2,ENSG00000089101,CFAP61,TRUE,0,0
OV1369-R2,ENSG00000132600,PRMT7,TRUE,7.50698,178.999
OV1369-R2,ENSG00000112394,SLC16A10,TRUE,0.205933,12.8315
OV1369-R2,ENSG00000124313,IQSEC2,TRUE,0,0
OV1369-R2,ENSG00000182070,OR52A1,TRUE,0,0
OV1369-R2,ENSG00000082175,PGR,TRUE,0,0
OV1369-R2,ENSG00000091157,WDR7,TRUE,0.0294025,8.87141
OV1369-R2,ENSG00000197128,ZNF772,TRUE,0,0
