gene_id,symbol,primary_assembly,median_TPM_restored,max_TPM_restored
ENSG00000177954,RPS27,TRUE,4496.61,15988.7
ENSG00000084207,GSTP1,TRUE,1892.55,3807.18
ENSG00000161970,RPL26,TRUE,1755.45,3734.05
ENSG00000124614,RPS10,TRUE,1691.81,4189.89
ENSG00000182774,RPS17,TRUE,910.305,3172.18
ENSG00000159335,PTMS,TRUE,604.156,2116.46
ENSG00000126267,COX6B1,TRUE,460.733,1126.7
ENSG00000135390,ATP5MC2,TRUE,338.294,887.323
ENSG00000147677,EIF3H,TRUE,174.289,300.907
ENSG00000187608,ISG15,TRUE,144.857,1705.69
ENSG00000114902,SPCS1,TRUE,142.711,338.228
ENSG00000166710,B2M,TRUE,136.93603,727.4941
ENSG00000174748,RPL15,TRUE,134.225,297.141
ENSG00000141543,EIF4A3,TRUE,118.559,222.143
ENSG00000280606,EIF3F,FALSE,112.747966,222.3723491
ENSG00000196683,TOMM7,TRUE,107.629,359.093
ENSG00000167747,C19orf48,TRUE,99.937598,454.118
ENSG00000155463,OXA1L,TRUE,98.7016,192.492
ENSG00000198467,TPM2,TRUE,97.1031859,480.3829
ENSG00000175390,EIF3F,TRUE,87.5909,167.793
ENSG00000186184,POLR1D,TRUE,85.44785,147.508
ENSG00000130429,ARPC1B,TRUE,79.1384,279.551
ENSG00000284493,UQCRC2,FALSE,77.0239803,131.5342297
ENSG00000100138,SNU13,TRUE,72.5663,131.391
ENSG00000233276,GPX1,TRUE,70.5844,232.541
ENSG00000135480,KRT7,TRUE,69.5316,658.918
ENSG00000138085,ATRAID,TRUE,69.483501824,190.0730981083
ENSG00000182871,COL18A1,TRUE,64.3097,511.095
ENSG00000281434,NDUFA10,FALSE,62.8242231,126.913783
ENSG00000130723,PRRC2B,TRUE,60.033737,166.455823
ENSG00000100983,GSS,TRUE,56.5836,278.682
ENSG00000170445,HARS,TRUE,54.3534,140.268
ENSG00000161057,PSMC2,TRUE,54.3212,128.69
ENSG00000160211,G6PD,TRUE,50.5073,279.652
ENSG00000104738,MCM4,TRUE,48.074604,132.914516
ENSG00000115275,MOGS,TRUE,47.1835,67.588
ENSG00000100714,MTHFD1,TRUE,46.2984,255.957
ENSG00000123562,MORF4L2,TRUE,46.2902,142.9796
ENSG00000100380,ST13,TRUE,43.6711,151.451
ENSG00000281013,NDUFA6,FALSE,43.1594,111.967
ENSG00000168303,MPLKIP,TRUE,41.1698,144.1
ENSG00000170606,HSPA4,TRUE,37.63044,129.0709
