cell_line,histotype_code,patient_id,rna_passage,wes_passage,tmt_plex,gene,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,rna_rank_all_models_desc,rna_n_measured_models,rna_rank_within_histotype_desc,rna_n_measured_within_histotype,rna_histotype_patient_median_log2_tpm_plus1,rna_histotype_measured_patients,rna_log2_tpm_plus1_delta_histotype_patient_median,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides,protein_log2_normalised,protein_rank_all_models_desc,protein_n_measured_models,interpretation
OV1369-R2,HGS,1369,p69,P66,1.0,CCNE1,ENSG00000105173,20.889146,4.452143764088775,23.0,31,13.0,15,5.363526958361573,12.0,-0.9113831942727977,CCNE1,P24864,True,5,12.5268281602376,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,CCNE1,ENSG00000105173,11.168444,3.6050727948204435,28.0,31,15.0,15,5.363526958361573,12.0,-1.758454163541129,CCNE1,P24864,True,5,12.87903110503067,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,CCNE1,ENSG00000105173,124.433068,6.97077392667497,3.0,31,2.0,15,5.363526958361573,12.0,1.6072469683133974,CCNE1,P24864,True,5,12.75083660083464,20.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,CCNE1,ENSG00000105173,63.68155599999999,6.0152824800452915,9.0,31,6.0,15,5.363526958361573,12.0,0.651755521683719,CCNE1,P24864,True,5,13.00837609647668,6.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,CCNE1,ENSG00000105173,26.052390000000003,4.75768415248219,19.0,31,10.0,15,5.363526958361573,12.0,-0.6058428058793828,CCNE1,P24864,True,5,12.85719232121803,14.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,CCNE1,ENSG00000105173,28.623159500000003,4.88865361640179,17.0,31,9.0,15,5.363526958361573,12.0,-0.4748733419597828,CCNE1,P24864,True,5,12.56462325526477,26.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,CCNE1,ENSG00000105173,95.830162,6.597384603026275,4.0,31,3.0,15,5.363526958361573,12.0,1.2338576446647025,CCNE1,P24864,True,5,13.08428902067678,2.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,CCNE1,ENSG00000105173,75.291538,6.253451141954366,6.0,31,4.0,15,5.363526958361573,12.0,0.8899241835927931,CCNE1,P24864,True,5,12.6728151115768,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,CCNE1,ENSG00000105173,65.88184899999999,6.063542827268137,8.0,31,5.0,15,5.363526958361573,12.0,0.7000158689065641,CCNE1,P24864,True,5,12.56484476560326,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV1369,HGS,1369,p65,P65,2.0,CCNE1,ENSG00000105173,14.21042915,3.9269889530018793,27.0,31,14.0,15,5.363526958361573,12.0,-1.4365380053596932,CCNE1,P24864,True,5,12.83822511212454,15.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2295-R,HGS,2295,NA,P57,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
