cell_line,gene,canonical_transcript,gene_span_bins,canonical_exon_bins,excluded_noncanonical_or_intronic_bins,zero_depth_canonical_exon_bins,canonical_exon_median_depth,canonical_exon_max_depth,min_normal_depth_across_canonical_bins,positive_canonical_exon_bin_median_log2
OV1369-R2,NF1,ENST00000358273.9,87,65,22,0,83.9144,528.861,18.3402,-0.262616358695652
OV2085,NF1,ENST00000358273.9,87,65,22,0,75.9963,426.484,18.3402,-0.1901311322300596
OV2295,NF1,ENST00000358273.9,87,65,22,0,47.6935,348.885,18.3402,-1.0170622430692435
OV2295-R2,NF1,ENST00000358273.9,87,65,22,0,75.3852,511.73,18.3402,-0.6353362208099691
OV3133-R,NF1,ENST00000358273.9,87,65,22,0,61.8934,398.902,18.3402,-0.6614955829713722
OV3133-R2,NF1,ENST00000358273.9,87,65,22,0,67.6612,456.303,18.3402,-0.6723927038983051
OV3291,NF1,ENST00000358273.9,87,65,22,0,57.4669,347.23,18.3402,-0.5656464959986989
OV3331,NF1,ENST00000358273.9,87,65,22,0,82.7562,553.32,18.3402,-0.1585518789411416
OV90,NF1,ENST00000358273.9,87,65,22,0,76.0289,417.107,18.3402,0.0727769310017157
TOV112D,NF1,ENST00000358273.9,87,65,22,0,102.198,675.828,18.3402,-0.0148711485468687
TOV1369,NF1,ENST00000358273.9,87,65,22,0,68.8677,517.664,18.3402,-0.5439713896551726
TOV21G,NF1,ENST00000358273.9,87,65,22,0,103.16,690.828,18.3402,-0.0776059219098512
TOV2295-R,NF1,ENST00000358273.9,87,65,22,0,55.0455,395.631,18.3402,-0.9322590050654284
TOV2414,NF1,ENST00000358273.9,87,65,22,0,87.0686,485.377,18.3402,0.1028719434780466
TOV2835EP,NF1,ENST00000358273.9,87,65,22,51,0.0,27.3934,18.3402,-7.842912164139161
TOV2881EP,NF1,ENST00000358273.9,87,65,22,0,92.1206,621.09,18.3402,-0.1564419555555554
TOV2929D,NF1,ENST00000358273.9,87,65,22,0,56.0945,484.934,18.3402,-0.8261746406458785
TOV3121D,NF1,ENST00000358273.9,87,65,22,38,0.0,281.549,18.3402,-6.40249921541502
TOV3121EP,NF1,ENST00000358273.9,87,65,22,28,0.532895,293.029,18.3402,-6.533687036057379
