cell_line,patient_id,histotype_code,rna_passage,wes_passage,tmt_plex,gene,ensembl_gene_id,panel_group,arm,segment_gene_covered_fraction,gene_segment_log2,gene_segment_min_log2,gene_segment_max_log2,n_segments_overlapping_gene,target_bins,positive_target_bins,zero_depth_target_bins,target_overlap_bp,target_bin_median_log2,target_bin_min_log2,target_bin_max_log2,target_bin_iqr_log2,gene_target_length_weighted_mean_depth,arm_median_log2,segment_minus_arm_log2,target_median_minus_arm_log2,segment_minus_target_median_log2,relative_screen_eligible,supported_relative_gain_screen,supported_relative_loss_screen,segment_bin_disagreement_flag,target_only_extreme_flag,zero_depth_followup_flag,status,rna_tpm,protein_log2_normalised,protein_isodoping,rna_tpm_rank_desc,rna_tpm_n_models,protein_log2_normalised_rank_desc,protein_log2_normalised_n_models,wes_measured
OV1369-R2,1369,HGS,p69,P66,1.0,CCNE1,ENSG00000105173,oncogene_gain_screen,19q,1.0,0.3627896413043479,0.3627896413043479,0.3627896413043479,1.0,7.0,7.0,0.0,1494.0,0.31536364130434796,-0.01617935869565204,0.746596641304348,0.415099,110.75711164658634,-0.3780363586956521,0.740826,0.6934,0.04742599999999991,True,False,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",20.889146,12.5268281602376,True,23.0,31.0,29.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,CCND1,ENSG00000110092,oncogene_gain_screen,11q,1.0,0.3739956413043479,0.3739956413043479,0.3739956413043479,1.0,3.0,3.0,0.0,692.0,1.409063641304348,0.31321064130434795,1.558933641304348,0.6228615,70.8828578034682,-0.315309358695652,0.689305,1.724373,-1.035068,True,False,False,True,True,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",207.04333999999997,10.27413154080797,False,9.0,31.0,8.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,CDK4,ENSG00000135446,oncogene_gain_screen,12q,1.0,0.3319196413043479,0.3319196413043479,0.3319196413043479,1.0,11.0,11.0,0.0,1963.0,0.13853504130434796,-0.747025358695652,1.1397536413043479,1.0704975,106.34433881813551,-0.219969358695652,0.551889,0.35850439999999995,0.19338459999999996,True,False,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",475.001325,10.2718616739229,False,3.0,31.0,20.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,CDK6,ENSG00000105810,oncogene_gain_screen,7q,0.9746083314661933,1.5925597968543035,1.324303641304348,1.802023641304348,2.0,16.0,16.0,0.0,2700.0,1.803898641304348,1.012530641304348,3.0152636413043483,0.6629474999999998,239.84247707407408,0.802473641304348,0.7900861555499555,1.0014250000000002,-0.21133884445004458,False,False,False,False,True,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",15.922828,11.75387217660297,False,2.0,31.0,2.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,MYC,ENSG00000136997,oncogene_gain_screen,8q,1.0,1.136763641304348,1.136763641304348,1.136763641304348,1.0,7.0,7.0,0.0,1587.0,1.334873641304348,0.701009641304348,3.237423641304348,0.5208355,127.74535741656368,0.3588726413043479,0.7778910000000001,0.9760010000000001,-0.19811,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",101.9871794,NA,NA,9.0,31.0,NA,0.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,MYCN,ENSG00000134323,oncogene_gain_screen,2p,1.0,-0.144345358695652,-0.144345358695652,-0.144345358695652,1.0,4.0,4.0,0.0,973.0,0.10090714130434797,-0.5247983586956521,2.019673641304348,0.8149802500000001,47.726137003968255,0.2408546413043479,-0.3851999999999999,-0.13994749999999992,-0.24525249999999996,True,False,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",0.250281,NA,NA,17.0,31.0,NA,0.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,MDM2,ENSG00000135679,oncogene_gain_screen,12q,1.0,0.3319196413043479,0.3319196413043479,0.3319196413043479,1.0,11.0,11.0,0.0,2165.0,0.422250641304348,-0.466014358695652,1.309073641304348,0.25772035000000004,124.8065696073903,-0.219969358695652,0.551889,0.64222,-0.09033100000000005,True,False,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",6.479747000000001,NA,NA,23.0,31.0,NA,0.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,MDM4,ENSG00000198625,oncogene_gain_screen,1q,1.0,-0.3044003586956521,-0.3044003586956521,-0.3044003586956521,1.0,14.0,14.0,0.0,3145.0,-0.45881885869565203,-1.5677763586956521,0.658371641304348,0.7081899205,94.16121653418125,-0.234167358695652,-0.07023300000000007,-0.22465150000000003,0.15441849999999996,True,False,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",1.1165772,NA,NA,28.0,31.0,NA,0.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,ERBB2,ENSG00000141736,oncogene_gain_screen,17q,1.0,0.3760626413043479,0.3760626413043479,0.3760626413043479,1.0,12.0,12.0,0.0,2686.0,0.23764504130434794,-2.765346358695652,1.420553641304348,1.38467275,55.275144869694714,0.3760626413043479,0.0,-0.13841759999999997,0.13841759999999997,True,False,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",28.9642363,13.09504753490508,True,30.0,31.0,27.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,EGFR,ENSG00000146648,oncogene_gain_screen,7p,1.0,0.622472641304348,0.622472641304348,0.622472641304348,1.0,31.0,31.0,0.0,6337.0,0.758438641304348,-2.438676358695652,1.829073641304348,0.8731675000000001,103.24172714218082,-0.2572443586956521,0.8797170000000001,1.0156830000000001,-0.13596600000000003,True,False,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",81.12112750177599,15.92052412404165,True,3.0,31.0,1.0,31.0,True
