cell_line,patient_id,histotype_code,rna_passage,wes_passage,tmt_plex,gene,ensembl_gene_id,panel_group,arm,segment_gene_covered_fraction,gene_segment_log2,gene_segment_min_log2,gene_segment_max_log2,n_segments_overlapping_gene,target_bins,positive_target_bins,zero_depth_target_bins,target_overlap_bp,target_bin_median_log2,target_bin_min_log2,target_bin_max_log2,target_bin_iqr_log2,gene_target_length_weighted_mean_depth,arm_median_log2,segment_minus_arm_log2,target_median_minus_arm_log2,segment_minus_target_median_log2,relative_screen_eligible,supported_relative_gain_screen,supported_relative_loss_screen,segment_bin_disagreement_flag,target_only_extreme_flag,zero_depth_followup_flag,status,rna_tpm,protein_log2_normalised,protein_isodoping,rna_tpm_rank_desc,rna_tpm_n_models,protein_log2_normalised_rank_desc,protein_log2_normalised_n_models,wes_measured
OV1369-R2,1369,HGS,p69,P66,1.0,CCND1,ENSG00000110092,oncogene_gain_screen,11q,1.0,0.3739956413043479,0.3739956413043479,0.3739956413043479,1.0,3.0,3.0,0.0,692.0,1.409063641304348,0.31321064130434795,1.558933641304348,0.6228615,70.8828578034682,-0.315309358695652,0.689305,1.724373,-1.035068,True,False,False,True,True,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",207.04333999999997,10.27413154080797,False,9.0,31.0,8.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,CDK6,ENSG00000105810,oncogene_gain_screen,7q,0.9746083314661933,1.5925597968543035,1.324303641304348,1.802023641304348,2.0,16.0,16.0,0.0,2700.0,1.803898641304348,1.012530641304348,3.0152636413043483,0.6629474999999998,239.84247707407408,0.802473641304348,0.7900861555499555,1.0014250000000002,-0.21133884445004458,False,False,False,False,True,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",15.922828,11.75387217660297,False,2.0,31.0,2.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,FGFR1,ENSG00000077782,oncogene_gain_screen,8p,1.0,0.3049796413043479,0.3049796413043479,0.3049796413043479,1.0,25.0,25.0,0.0,4562.0,0.9136156413043479,-0.22370835869565203,4.269363641304348,1.2725673999999998,97.87347325734326,0.3049796413043479,0.0,0.608636,-0.608636,True,False,False,True,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",104.8407160054878,9.313849383041966,False,6.0,31.0,7.0,19.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,AKT2,ENSG00000105221,oncogene_gain_screen,19q,1.0,-0.3780363586956521,-0.3780363586956521,-0.3780363586956521,1.0,6.0,6.0,0.0,1155.0,0.17870964130434797,-0.486802358695652,1.021715641304348,0.900442,46.55671203463204,-0.3780363586956521,0.0,0.5567460000000001,-0.5567460000000001,True,False,False,True,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",96.7830757,11.57517681726155,False,24.0,31.0,30.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,BCL2L1,ENSG00000171552,oncogene_gain_screen,20q,1.0,0.2973266413043479,0.2973266413043479,0.2973266413043479,1.0,5.0,5.0,0.0,1076.0,1.066603641304348,-0.10449735869565205,1.306813641304348,1.0078379000000002,73.44057667286245,0.4106816413043479,-0.11335500000000004,0.6559220000000001,-0.7692770000000002,True,False,False,True,True,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",156.957804,11.91365007228606,False,20.0,31.0,6.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,SOX2,ENSG00000181449,oncogene_gain_screen,3q,1.0,0.3953076413043479,0.3953076413043479,0.3953076413043479,1.0,2.0,2.0,0.0,521.0,1.464338641304348,1.245903641304348,1.682773641304348,0.21843499999999993,157.58192130518233,0.3637676413043479,0.03154000000000001,1.100571,-1.069031,False,False,False,True,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",0.555773,8.496785813878201,False,18.0,31.0,19.0,25.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,CDKN2A,ENSG00000147889,other_locus_screen,9p,1.0,-7.879366358695652,-7.879366358695652,-7.879366358695652,1.0,4.0,1.0,3.0,855.0,-5.967316358695652,-5.967316358695652,-5.967316358695652,0.0,0.15789475555555554,-1.246116358695652,-6.63325,-4.7212,-1.9120499999999998,False,False,False,True,False,True,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",0.2643403,10.687336205816,False,27.0,31.0,23.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,POLD1,ENSG00000062822,other_locus_screen,19q,1.0,-0.3780363586956521,-0.3780363586956521,-0.3780363586956521,1.0,2.0,2.0,0.0,289.0,0.991609141304348,0.283954641304348,1.699263641304348,0.7076544999999999,70.73704117647058,-0.3780363586956521,0.0,1.3696455,-1.3696455,False,False,False,True,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",55.566770000000005,14.07779544425682,False,11.0,31.0,3.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,CTNNB1,ENSG00000168036,other_locus_screen,3p,1.0,-1.206366358695652,-1.206366358695652,-1.206366358695652,1.0,20.0,15.0,5.0,4914.0,-1.721376358695652,-6.768276358695652,0.513308641304348,1.6439811,19.306053831501835,-0.228662358695652,-0.9777039999999999,-1.492714,0.5150100000000002,True,False,True,True,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",66.7863027,13.86176319650495,False,23.0,31.0,31.0,31.0,True
OV2085,OV2085,HGS,p68,P64,2.0,BCL2L1,ENSG00000171552,oncogene_gain_screen,20q,1.0,0.9230657677699403,0.9230657677699404,0.9230657677699404,1.0,5.0,5.0,0.0,1076.0,1.5228657677699402,0.9079257677699403,2.81037576776994,1.00148,140.07898754646843,0.7164537677699403,0.20661200000000002,0.8064119999999999,-0.5997999999999999,True,False,False,True,True,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",468.07251,12.06686267719832,False,2.0,31.0,4.0,31.0,True
