gene,histotype,event,models_with_WES,patients_with_WES,models_screen_eligible,patients_any_model_screen_eligible,models_screen_positive,patients_any_model_screen_positive
AKT2,CC,gain,2,2,2,2,0,0
AKT2,CC,loss,2,2,2,2,0,0
AKT2,EC,gain,1,1,1,1,0,0
AKT2,EC,loss,1,1,1,1,0,0
AKT2,HGS,gain,18,11,18,11,2,2
AKT2,HGS,loss,18,11,18,11,0,0
AKT2,LGS,gain,1,1,1,1,0,0
AKT2,LGS,loss,1,1,1,1,0,0
AKT2,MC,gain,1,1,1,1,0,0
AKT2,MC,loss,1,1,1,1,0,0
AKT2,MMMT,gain,0,0,0,0,0,0
AKT2,MMMT,loss,0,0,0,0,0,0
AKT2,SCCOHT,gain,0,0,0,0,0,0
AKT2,SCCOHT,loss,0,0,0,0,0,0
ARID1A,CC,gain,2,2,2,2,0,0
ARID1A,CC,loss,2,2,2,2,0,0
ARID1A,EC,gain,1,1,1,1,0,0
ARID1A,EC,loss,1,1,1,1,0,0
ARID1A,HGS,gain,18,11,18,11,0,0
ARID1A,HGS,loss,18,11,18,11,0,0
ARID1A,LGS,gain,1,1,1,1,0,0
ARID1A,LGS,loss,1,1,1,1,0,0
ARID1A,MC,gain,1,1,1,1,0,0
ARID1A,MC,loss,1,1,1,1,0,0
ARID1A,MMMT,gain,0,0,0,0,0,0
ARID1A,MMMT,loss,0,0,0,0,0,0
ARID1A,SCCOHT,gain,0,0,0,0,0,0
ARID1A,SCCOHT,loss,0,0,0,0,0,0
ARID1B,CC,gain,2,2,2,2,0,0
ARID1B,CC,loss,2,2,2,2,0,0
ARID1B,EC,gain,1,1,1,1,0,0
ARID1B,EC,loss,1,1,1,1,0,0
ARID1B,HGS,gain,18,11,17,10,0,0
ARID1B,HGS,loss,18,11,17,10,1,1
ARID1B,LGS,gain,1,1,1,1,0,0
ARID1B,LGS,loss,1,1,1,1,0,0
ARID1B,MC,gain,1,1,1,1,0,0
ARID1B,MC,loss,1,1,1,1,0,0
ARID1B,MMMT,gain,0,0,0,0,0,0
ARID1B,MMMT,loss,0,0,0,0,0,0
ARID1B,SCCOHT,gain,0,0,0,0,0,0
ARID1B,SCCOHT,loss,0,0,0,0,0,0
ATM,CC,gain,2,2,2,2,0,0
ATM,CC,loss,2,2,2,2,0,0
ATM,EC,gain,1,1,1,1,0,0
ATM,EC,loss,1,1,1,1,0,0
ATM,HGS,gain,18,11,18,11,0,0
ATM,HGS,loss,18,11,18,11,0,0
ATM,LGS,gain,1,1,1,1,0,0
ATM,LGS,loss,1,1,1,1,0,0
ATM,MC,gain,1,1,1,1,0,0
ATM,MC,loss,1,1,1,1,0,0
ATM,MMMT,gain,0,0,0,0,0,0
ATM,MMMT,loss,0,0,0,0,0,0
ATM,SCCOHT,gain,0,0,0,0,0,0
ATM,SCCOHT,loss,0,0,0,0,0,0
BCL2L1,CC,gain,2,2,2,2,0,0
BCL2L1,CC,loss,2,2,2,2,0,0
BCL2L1,EC,gain,1,1,1,1,0,0
BCL2L1,EC,loss,1,1,1,1,0,0
BCL2L1,HGS,gain,18,11,18,11,1,1
BCL2L1,HGS,loss,18,11,18,11,0,0
BCL2L1,LGS,gain,1,1,1,1,0,0
BCL2L1,LGS,loss,1,1,1,1,0,0
BCL2L1,MC,gain,1,1,1,1,0,0
BCL2L1,MC,loss,1,1,1,1,0,0
BCL2L1,MMMT,gain,0,0,0,0,0,0
BCL2L1,MMMT,loss,0,0,0,0,0,0
BCL2L1,SCCOHT,gain,0,0,0,0,0,0
BCL2L1,SCCOHT,loss,0,0,0,0,0,0
BRAF,CC,gain,2,2,1,1,0,0
BRAF,CC,loss,2,2,1,1,0,0
BRAF,EC,gain,1,1,0,0,0,0
BRAF,EC,loss,1,1,0,0,0,0
BRAF,HGS,gain,18,11,12,7,0,0
BRAF,HGS,loss,18,11,12,7,0,0
BRAF,LGS,gain,1,1,0,0,0,0
BRAF,LGS,loss,1,1,0,0,0,0
BRAF,MC,gain,1,1,0,0,0,0
BRAF,MC,loss,1,1,0,0,0,0
BRAF,MMMT,gain,0,0,0,0,0,0
BRAF,MMMT,loss,0,0,0,0,0,0
BRAF,SCCOHT,gain,0,0,0,0,0,0
BRAF,SCCOHT,loss,0,0,0,0,0,0
BRCA1,CC,gain,2,2,2,2,0,0
BRCA1,CC,loss,2,2,2,2,0,0
BRCA1,EC,gain,1,1,1,1,0,0
BRCA1,EC,loss,1,1,1,1,0,0
BRCA1,HGS,gain,18,11,18,11,0,0
BRCA1,HGS,loss,18,11,18,11,1,1
BRCA1,LGS,gain,1,1,1,1,0,0
BRCA1,LGS,loss,1,1,1,1,0,0
BRCA1,MC,gain,1,1,1,1,0,0
BRCA1,MC,loss,1,1,1,1,0,0
BRCA1,MMMT,gain,0,0,0,0,0,0
BRCA1,MMMT,loss,0,0,0,0,0,0
BRCA1,SCCOHT,gain,0,0,0,0,0,0
BRCA1,SCCOHT,loss,0,0,0,0,0,0
BRCA2,CC,gain,2,2,2,2,0,0
BRCA2,CC,loss,2,2,2,2,0,0
BRCA2,EC,gain,1,1,1,1,0,0
BRCA2,EC,loss,1,1,1,1,0,0
BRCA2,HGS,gain,18,11,18,11,0,0
BRCA2,HGS,loss,18,11,18,11,1,1
BRCA2,LGS,gain,1,1,1,1,0,0
BRCA2,LGS,loss,1,1,1,1,0,0
BRCA2,MC,gain,1,1,1,1,0,0
BRCA2,MC,loss,1,1,1,1,0,0
BRCA2,MMMT,gain,0,0,0,0,0,0
BRCA2,MMMT,loss,0,0,0,0,0,0
BRCA2,SCCOHT,gain,0,0,0,0,0,0
BRCA2,SCCOHT,loss,0,0,0,0,0,0
BRIP1,CC,gain,2,2,2,2,0,0
BRIP1,CC,loss,2,2,2,2,0,0
BRIP1,EC,gain,1,1,1,1,0,0
BRIP1,EC,loss,1,1,1,1,0,0
BRIP1,HGS,gain,18,11,18,11,0,0
BRIP1,HGS,loss,18,11,18,11,0,0
BRIP1,LGS,gain,1,1,1,1,0,0
BRIP1,LGS,loss,1,1,1,1,0,0
BRIP1,MC,gain,1,1,1,1,0,0
BRIP1,MC,loss,1,1,1,1,0,0
BRIP1,MMMT,gain,0,0,0,0,0,0
BRIP1,MMMT,loss,0,0,0,0,0,0
BRIP1,SCCOHT,gain,0,0,0,0,0,0
BRIP1,SCCOHT,loss,0,0,0,0,0,0
CCND1,CC,gain,2,2,2,2,0,0
CCND1,CC,loss,2,2,2,2,0,0
CCND1,EC,gain,1,1,1,1,0,0
CCND1,EC,loss,1,1,1,1,0,0
CCND1,HGS,gain,18,11,18,11,3,1
CCND1,HGS,loss,18,11,18,11,0,0
CCND1,LGS,gain,1,1,1,1,0,0
CCND1,LGS,loss,1,1,1,1,0,0
CCND1,MC,gain,1,1,1,1,0,0
CCND1,MC,loss,1,1,1,1,0,0
CCND1,MMMT,gain,0,0,0,0,0,0
CCND1,MMMT,loss,0,0,0,0,0,0
CCND1,SCCOHT,gain,0,0,0,0,0,0
CCND1,SCCOHT,loss,0,0,0,0,0,0
CCNE1,CC,gain,2,2,2,2,0,0
CCNE1,CC,loss,2,2,2,2,0,0
CCNE1,EC,gain,1,1,1,1,0,0
CCNE1,EC,loss,1,1,1,1,0,0
CCNE1,HGS,gain,18,11,18,11,5,5
CCNE1,HGS,loss,18,11,18,11,0,0
CCNE1,LGS,gain,1,1,1,1,0,0
CCNE1,LGS,loss,1,1,1,1,0,0
CCNE1,MC,gain,1,1,1,1,0,0
CCNE1,MC,loss,1,1,1,1,0,0
