cell_line,gene,n_bins,model_zero_bins,model_median_depth,model_min_depth,model_max_depth,median_reference_normal_bin_depth,min_any_reference_normal_bin_depth,n_bins_positive_all_five_normals,positive_model_bin_median_log2
OV1369-R2,AKT2,6,0,47.08005,12.5933,108.0,3.30851,0.379791,6,0.17870964130434797
OV1369-R2,CCND1,3,0,74.7645,37.3843,105.341,1.2562,0.0,2,1.409063641304348
OV1369-R2,CCNE1,7,0,116.07,72.2893,162.523,137.343,10.9711,7,0.3153636413043479
OV1369-R2,CDKN2A,4,3,0.0,0.0,0.888158,9.70227,1.22667,4,-5.967316358695652
OV1369-R2,ERBB2,12,0,51.13435,6.35246,116.053,3.033825,0.0,7,0.23764504130434788
OV1369-R2,NF1,87,0,80.4608,30.6115,528.861,174.165,18.3402,87,-0.306771358695652
OV2085,AKT2,6,0,66.3276,14.7733,97.2871,3.30851,0.379791,6,0.3817462677699403
OV2085,CCND1,3,0,40.5579,31.5083,45.625,1.2562,0.0,2,-0.0132443322300596
OV2085,CCNE1,7,0,441.992,373.475,656.864,137.343,10.9711,7,2.41354576776994
OV2085,CDKN2A,4,0,36.1208,21.9804,64.7368,9.70227,1.22667,4,-0.04252423223005965
OV2085,ERBB2,12,0,40.29255,18.877,57.1765,3.033825,0.0,7,-0.5540772322300597
OV2085,NF1,87,0,73.6992,31.2302,426.484,174.165,18.3402,87,-0.2350232322300597
OV2295,AKT2,6,0,52.141,20.02,127.495,3.30851,0.379791,6,0.3448672569307565
OV2295,CCND1,3,0,69.562,29.8471,84.6971,1.2562,0.0,2,1.1098487569307565
OV2295,CCNE1,7,0,96.7574,54.562,146.0,137.343,10.9711,7,-0.0598240530692434
OV2295,CDKN2A,4,0,56.29265,41.9336,100.132,9.70227,1.22667,4,0.26185475693075655
OV2295,ERBB2,12,0,27.13605,4.65574,41.2566,3.033825,0.0,7,-0.9922497430692436
OV2295,NF1,87,0,45.8643,13.7961,348.885,174.165,18.3402,87,-1.1045412430692434
OV2295-R2,AKT2,6,0,73.37145000000001,15.5,161.743,3.30851,0.379791,6,0.6490672791900309
OV2295-R2,CCND1,3,0,76.9174,39.5124,104.418,1.2562,0.0,2,1.221043779190031
OV2295-R2,CCNE1,7,0,99.8388,76.062,167.795,137.343,10.9711,7,0.0377659791900309
OV2295-R2,CDKN2A,4,0,58.93715,43.2691,108.428,9.70227,1.22667,4,0.24886577919003086
OV2295-R2,ERBB2,12,0,37.6072,7.83607,57.8934,3.033825,0.0,7,-0.4495187208099691
OV2295-R2,NF1,87,0,70.4733,19.3882,511.73,174.165,18.3402,87,-0.673611220809969
OV3133-R,AKT2,6,0,80.82285,16.64,159.614,3.30851,0.379791,6,0.7358394170286278
OV3133-R,CCND1,3,0,167.736,69.7645,182.178,1.2562,0.0,2,2.270337417028628
OV3133-R,CCNE1,7,0,133.186,70.2603,188.78,137.343,10.9711,7,0.4751964170286278
OV3133-R,CDKN2A,4,0,39.62520000000001,25.5681,82.5329,9.70227,1.22667,4,-0.2197435829713723
OV3133-R,ERBB2,12,0,27.54815,6.0,53.011,3.033825,0.0,7,-0.8878430829713722
OV3133-R,NF1,87,0,59.5083,20.1645,398.902,174.165,18.3402,87,-0.7331285829713722
OV3133-R2,AKT2,6,0,71.521,17.06,150.238,3.30851,0.379791,6,0.6047382961016949
OV3133-R2,CCND1,3,0,152.525,61.0785,182.716,1.2562,0.0,2,2.1515902961016953
OV3133-R2,CCNE1,7,0,105.732,75.4793,172.864,137.343,10.9711,7,0.1006487961016949
OV3133-R2,CDKN2A,4,0,35.11665,31.9902,73.6447,9.70227,1.22667,4,-0.21322770389830512
OV3133-R2,ERBB2,12,0,31.2866,9.83607,74.1184,3.033825,0.0,7,-0.7216137038983051
OV3133-R2,NF1,87,0,64.9728,25.7842,456.303,174.165,18.3402,87,-0.6856597038983051
OV3291,AKT2,6,0,61.3595,19.1,123.98,3.30851,0.379791,6,0.5003010040013012
OV3291,CCND1,3,0,62.5661,53.1033,87.7019,1.2562,0.0,2,0.6378885040013011
OV3291,CCNE1,7,0,237.508,190.64,345.598,137.343,10.9711,7,1.5602475040013013
OV3291,CDKN2A,4,0,75.35395,55.1471,110.724,9.70227,1.22667,4,0.7307450040013013
OV3291,ERBB2,12,0,91.3657,49.3689,121.671,3.033825,0.0,7,0.4516030040013012
OV3291,NF1,87,0,56.6298,17.554,347.23,174.165,18.3402,87,-0.5972294959986988
OV3331,AKT2,6,0,348.30449999999996,86.5733,733.257,3.30851,0.379791,6,3.219126121058858
OV3331,CCND1,3,0,65.4463,34.4339,103.361,1.2562,0.0,2,1.4436311210588584
OV3331,CCNE1,7,0,70.3967,51.0165,103.97,137.343,10.9711,7,-0.2018478789411417
OV3331,CDKN2A,4,0,63.456250000000004,49.9136,121.079,9.70227,1.22667,4,0.7267103710588583
OV3331,ERBB2,12,0,37.83455,11.2049,68.6382,3.033825,0.0,7,0.0615308910588583
OV3331,NF1,87,0,80.2686,25.1447,553.32,174.165,18.3402,87,-0.1845048789411416
OV90,AKT2,6,0,97.70734999999999,32.34,170.119,3.30851,0.379791,6,1.149785831001716
OV90,CCND1,3,0,48.7404,39.9835,62.9463,1.2562,0.0,2,0.6982268310017157
OV90,CCNE1,7,0,118.197,72.0537,199.121,137.343,10.9711,7,0.4937078310017156
OV90,CDKN2A,4,0,37.8511,14.7157,73.4013,9.70227,1.22667,4,-0.0888706689982843
OV90,ERBB2,12,0,54.1858,20.6148,78.4211,3.033825,0.0,7,-0.3557436689982843
OV90,NF1,87,0,74.2984,30.9353,417.107,174.165,18.3402,87,-0.0269634689982843
TOV112D,AKT2,6,0,51.6934,10.94,112.97,3.30851,0.379791,6,0.5203148514531313
TOV112D,CCND1,3,0,62.8719,27.9545,85.2837,1.2562,0.0,2,1.1258053514531312
TOV112D,CCNE1,7,0,89.1581,42.938,123.091,137.343,10.9711,7,-0.0244576485468686
TOV112D,CDKN2A,4,0,56.579350000000005,34.4983,99.2303,9.70227,1.22667,4,0.08996685145313132
TOV112D,ERBB2,12,0,46.12205,5.5082,87.6842,3.033825,0.0,7,0.1180564514531313
TOV112D,NF1,87,0,98.6139,40.1452,675.828,174.165,18.3402,87,-0.0224027485468687
