cell_line,patient_id,histotype_code,rna_passage,wes_passage,tmt_plex,gene,ensembl_gene_id,panel_group,arm,segment_gene_covered_fraction,gene_segment_log2,gene_segment_min_log2,gene_segment_max_log2,n_segments_overlapping_gene,target_bins,positive_target_bins,zero_depth_target_bins,target_overlap_bp,target_bin_median_log2,target_bin_min_log2,target_bin_max_log2,target_bin_iqr_log2,gene_target_length_weighted_mean_depth,arm_median_log2,segment_minus_arm_log2,target_median_minus_arm_log2,segment_minus_target_median_log2,relative_screen_eligible,supported_relative_gain_screen,supported_relative_loss_screen,segment_bin_disagreement_flag,target_only_extreme_flag,zero_depth_followup_flag,status,rna_tpm,protein_log2_normalised,protein_isodoping,rna_tpm_rank_desc,rna_tpm_n_models,protein_log2_normalised_rank_desc,protein_log2_normalised_n_models,wes_measured
OV1369-R2,1369,HGS,p69,P66,1.0,MYC,ENSG00000136997,oncogene_gain_screen,8q,1.0,1.136763641304348,1.136763641304348,1.136763641304348,1.0,7.0,7.0,0.0,1587.0,1.334873641304348,0.701009641304348,3.237423641304348,0.5208355,127.74535741656368,0.3588726413043479,0.7778910000000001,0.9760010000000001,-0.19811,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",101.9871794,NA,NA,9.0,31.0,NA,0.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,KRAS,ENSG00000133703,oncogene_gain_screen,12p,1.0,1.5083936413043482,1.508393641304348,1.508393641304348,1.0,10.0,10.0,0.0,1977.0,1.901078641304348,0.8563626413043479,2.335843641304348,0.49682749999999976,322.383373292868,0.885827641304348,0.6225660000000002,1.015251,-0.39268499999999973,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",5.852861,10.86428417266596,False,16.0,31.0,8.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,NRAS,ENSG00000213281,oncogene_gain_screen,1p,1.0,-1.222606358695652,-1.222606358695652,-1.222606358695652,1.0,8.0,8.0,0.0,1776.0,-1.1305113586956521,-1.519526358695652,-0.37005235869565206,0.4771457499999999,47.66160168918919,-0.220800358695652,-1.001806,-0.9097110000000002,-0.09209499999999982,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",2.88581,11.50827145383628,False,31.0,31.0,31.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,SMARCA2,ENSG00000080503,other_locus_screen,9p,1.0,-1.246116358695652,-1.246116358695652,-1.246116358695652,1.0,36.0,36.0,0.0,6833.0,-1.338696358695652,-3.655216358695652,0.754683641304348,0.7684949999999999,35.85393577637934,-1.246116358695652,0.0,-0.09257999999999988,0.09257999999999988,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",9.70772025,11.68551531584097,False,17.0,31.0,18.0,31.0,True
OV1369-R2,1369,HGS,p69,P66,1.0,CTNNB1,ENSG00000168036,other_locus_screen,3p,1.0,-1.206366358695652,-1.206366358695652,-1.206366358695652,1.0,20.0,15.0,5.0,4914.0,-1.721376358695652,-6.768276358695652,0.513308641304348,1.6439811,19.306053831501835,-0.228662358695652,-0.9777039999999999,-1.492714,0.5150100000000002,True,False,True,True,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",66.7863027,13.86176319650495,False,23.0,31.0,31.0,31.0,True
OV2085,OV2085,HGS,p68,P64,2.0,CCNE1,ENSG00000105173,oncogene_gain_screen,19q,1.0,2.2394257677699403,2.2394257677699403,2.2394257677699403,1.0,7.0,7.0,0.0,1494.0,2.41354576776994,1.97651576776994,2.5577657677699404,0.3222800000000001,438.41357563587684,0.2938417677699403,1.945584,2.1197039999999996,-0.17411999999999983,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",124.433068,12.75083660083464,True,3.0,31.0,20.0,31.0,True
OV2295-R2,2295,HGS,p67,P70,3.0,PRKCI,ENSG00000163558,oncogene_gain_screen,3q,1.0,1.376723779190031,1.376723779190031,1.376723779190031,1.0,16.0,16.0,0.0,3436.0,1.305118779190031,0.5713007791900309,2.499653779190031,0.7108800000000001,272.61638969732246,0.2427857791900309,1.1339380000000001,1.062333,0.07160500000000014,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",24.0141068,12.70547160073863,False,13.0,31.0,27.0,31.0,True
OV2295-R2,2295,HGS,p67,P70,3.0,MECOM,ENSG00000085276,oncogene_gain_screen,3q,1.0,1.376723779190031,1.376723779190031,1.376723779190031,1.0,30.0,30.0,0.0,7323.0,1.3893287791900308,0.561991779190031,2.683973779190031,0.6229175,272.8316976448294,0.2427857791900309,1.1339380000000001,1.1465429999999999,-0.012604999999999755,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",3.691834267846,11.41431379976768,False,19.0,31.0,14.0,31.0,True
OV2295-R2,2295,HGS,p67,P70,3.0,ARID1B,ENSG00000049618,other_locus_screen,6q,1.0,-1.017206220809969,-1.017206220809969,-1.017206220809969,1.0,25.0,25.0,0.0,5605.0,-1.042986220809969,-2.218166220809969,0.10733327919003091,0.6654260000000001,29.946300356824263,0.2472417791900309,-1.264448,-1.290228,0.025779999999999914,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",3.546129799999999,12.25749001788944,False,31.0,31.0,29.0,31.0,True
OV3133-R,3133,HGS,p64,P71,1.0,CCND1,ENSG00000110092,oncogene_gain_screen,11q,1.0,1.7018874170286278,1.7018874170286278,1.7018874170286278,1.0,3.0,3.0,0.0,692.0,2.270337417028628,1.0446674170286276,2.390747417028628,0.6730400000000001,137.81523843930634,-0.0702866829713722,1.7721741,2.3406241000000003,-0.5684500000000003,True,True,False,True,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",189.66442,10.37448193875577,False,14.0,31.0,5.0,31.0,True
