cell_line,patient_id,histotype_code,rna_tpm,rna_log2_tpm_plus1,protein_log2_normalised,cohort,gene,ranking_direction,rna_preference_percentile,protein_preference_percentile,joint_mean_score,joint_weaker_assay_score,joint_rna25_score,joint_rna75_score,joint_mean_rank,joint_weaker_assay_rank,joint_rna25_rank,joint_rna75_rank,rank_best_across_methods,rank_worst_across_methods,absolute_assay_percentile_gap,both_assays_same_direction,n_ranked,protein_isodoping
OV1369-R2,1369,HGS,28.9642363,4.905169699223096,13.09504753490508,matched_models,ERBB2,higher,0.034482758620689655,0.13793103448275862,0.08620689655172414,0.034482758620689655,0.11206896551724138,0.06034482758620689,27.0,28.0,27.0,28.0,27.0,28.0,0.10344827586206896,False,30.0,True
OV1946,OV1946,HGS,29.245250799999997,4.918636718755813,12.91974977298359,matched_models,ERBB2,higher,0.06896551724137931,0.0,0.034482758620689655,0.0,0.017241379310344827,0.05172413793103448,29.0,29.0,30.0,29.0,29.0,30.0,0.06896551724137931,False,30.0,True
OV2085,OV2085,HGS,37.752488199999995,5.276217040075657,13.32622273451726,matched_models,ERBB2,higher,0.20689655172413793,0.5862068965517241,0.396551724137931,0.20689655172413793,0.4913793103448275,0.3017241379310345,20.0,21.0,17.0,22.0,17.0,22.0,0.3793103448275862,False,30.0,True
OV2295,2295,HGS,78.473694,6.3124054984783005,13.31748998068187,matched_models,ERBB2,higher,0.7931034482758621,0.5172413793103449,0.6551724137931034,0.5172413793103449,0.5862068965517242,0.7241379310344828,10.0,9.0,12.0,8.0,8.0,12.0,0.27586206896551724,True,30.0,True
OV2295-R2,2295,HGS,30.0697819,4.957440209121728,13.02457850468207,matched_models,ERBB2,higher,0.10344827586206896,0.06896551724137931,0.08620689655172414,0.06896551724137931,0.07758620689655173,0.09482758620689655,27.0,27.0,28.0,27.0,27.0,28.0,0.034482758620689655,False,30.0,True
OV3133-R,3133,HGS,35.41434829400001,5.186435120416432,13.28486085076809,matched_models,ERBB2,higher,0.1724137931034483,0.4482758620689655,0.3103448275862069,0.1724137931034483,0.3793103448275862,0.2413793103448276,22.0,23.0,20.0,24.0,20.0,24.0,0.27586206896551724,False,30.0,True
OV4453,OV4453,HGS,71.50283500000002,6.179965503262875,13.31465407734208,matched_models,ERBB2,higher,0.6551724137931034,0.4827586206896552,0.5689655172413793,0.4827586206896552,0.5258620689655172,0.6120689655172413,12.0,11.0,15.0,12.0,11.0,15.0,0.17241379310344823,False,30.0,True
OV4485,OV4485,HGS,49.852913,5.668258513026857,13.40150299877742,matched_models,ERBB2,higher,0.3448275862068966,0.7931034482758621,0.5689655172413793,0.3448275862068966,0.6810344827586208,0.45689655172413796,12.0,16.0,10.0,17.0,10.0,17.0,0.4482758620689655,False,30.0,True
OV866-2,OV866-2,HGS,50.27316926272701,5.680132170276312,13.35384769669199,matched_models,ERBB2,higher,0.3793103448275862,0.6551724137931034,0.5172413793103448,0.3793103448275862,0.5862068965517241,0.44827586206896547,17.0,14.0,13.0,18.0,13.0,18.0,0.27586206896551724,False,30.0,True
TOV1369,1369,HGS,68.26814343199999,6.114120101226086,13.27537182275428,matched_models,ERBB2,higher,0.5862068965517241,0.3793103448275862,0.48275862068965514,0.3793103448275862,0.43103448275862066,0.5344827586206896,18.0,14.0,18.0,14.0,14.0,18.0,0.2068965517241379,False,30.0,True
TOV3041G,TOV3041G,HGS,34.920132,5.166720746619972,13.20788972133084,matched_models,ERBB2,higher,0.13793103448275862,0.27586206896551724,0.20689655172413793,0.13793103448275862,0.24137931034482757,0.1724137931034483,26.0,25.0,24.0,26.0,24.0,26.0,0.13793103448275862,False,30.0,True
TOV3133G,3133,HGS,39.8507628243149,5.352291113590777,13.18033538081043,matched_models,ERBB2,higher,0.2413793103448276,0.20689655172413793,0.22413793103448276,0.20689655172413793,0.21551724137931036,0.23275862068965517,25.0,21.0,25.0,25.0,21.0,25.0,0.03448275862068967,False,30.0,True
TOV3291G,3291,HGS,66.73972635,6.081930253637127,13.2537472053774,matched_models,ERBB2,higher,0.5517241379310345,0.3448275862068966,0.4482758620689655,0.3448275862068966,0.39655172413793105,0.5,19.0,16.0,19.0,15.0,15.0,19.0,0.2068965517241379,False,30.0,True
OV3331,OV3331,HGS,110.83956845746062,6.805286888849257,13.3360871237342,matched_models,ERBB2,higher,0.9310344827586207,0.6206896551724138,0.7758620689655172,0.6206896551724138,0.6982758620689655,0.853448275862069,6.0,7.0,9.0,3.0,3.0,9.0,0.31034482758620685,True,30.0,True
OV90,OV90,HGS,23.301119430000004,4.602950867932892,12.99980529408047,matched_models,ERBB2,higher,0.0,0.034482758620689655,0.017241379310344827,0.0,0.02586206896551724,0.008620689655172414,30.0,29.0,29.0,30.0,29.0,30.0,0.034482758620689655,False,30.0,True
TOV21G,TOV21G,CC,58.525746800000015,5.895441910305661,13.24664001241301,matched_models,ERBB2,higher,0.41379310344827586,0.3103448275862069,0.3620689655172414,0.3103448275862069,0.33620689655172414,0.3879310344827586,21.0,18.0,22.0,20.0,18.0,22.0,0.10344827586206895,False,30.0,True
TOV3392D,TOV3392D,CC,216.377008563498,7.764055547869947,13.90404094331423,matched_models,ERBB2,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,30.0,True
