gene,panel_group,cohort,n_observations,n_patients,spearman,bootstrap_lo,bootstrap_hi,bootstrap_valid,interval_method,protein_isodoping,interpretation
ERBB2,Surface,matched_models,30,27,0.5862068965517242,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
ERBB2,Surface,selected_patient_representatives,27,27,0.5238095238095237,0.16277048872084737,0.7794375406989362,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
ERBB2,Surface,patient_means_of_matched_models,27,27,0.5641025641025642,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
ERBB2,Surface,HGS_selected_representatives,12,12,0.6923076923076923,0.11825852370565952,0.955719557195572,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
ERBB2,Surface,CC_selected_representatives,6,6,0.37142857142857144,-0.8,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,True,unadjusted association; subtype/centre/plex/passage not controlled
FOLR1,Surface,matched_models,30,27,0.8852057842046718,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
FOLR1,Surface,selected_patient_representatives,27,27,0.923687423687424,0.824321624943936,0.9612575819964208,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
FOLR1,Surface,patient_means_of_matched_models,27,27,0.8943833943833945,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
FOLR1,Surface,HGS_selected_representatives,12,12,0.8741258741258743,0.5497797881204618,0.978494623655914,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
FOLR1,Surface,CC_selected_representatives,6,6,0.8285714285714286,0.0,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSLN,Surface,matched_models,30,27,0.8450924496287188,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
MSLN,Surface,selected_patient_representatives,27,27,0.8387295395106106,0.6568522409086358,0.9192196214427449,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSLN,Surface,patient_means_of_matched_models,27,27,0.8295664345632988,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
MSLN,Surface,HGS_selected_representatives,12,12,0.8161133356141733,0.45427396469596415,0.9587212667147633,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
MSLN,Surface,CC_selected_representatives,6,6,0.7714285714285715,0.0,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
TACSTD2,Surface,matched_models,30,27,0.896546264203802,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
TACSTD2,Surface,selected_patient_representatives,27,27,0.8824291210523107,0.7398438149946713,0.938253313500077,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
TACSTD2,Surface,patient_means_of_matched_models,27,27,0.8885528484711332,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
TACSTD2,Surface,HGS_selected_representatives,12,12,0.9790209790209791,0.8704563356613979,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
TACSTD2,Surface,CC_selected_representatives,6,6,0.08571428571428572,-1.0,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SLC34A2,Surface,matched_models,30,27,0.7815350389321468,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
SLC34A2,Surface,selected_patient_representatives,27,27,0.736874236874237,0.45573104898025896,0.8793738438255896,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SLC34A2,Surface,patient_means_of_matched_models,27,27,0.7466422466422468,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
SLC34A2,Surface,HGS_selected_representatives,12,12,0.7972027972027972,0.3718308406395049,0.9574505676264943,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
SLC34A2,Surface,CC_selected_representatives,6,6,0.6571428571428571,-0.5,1.0,1999,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
CDH6,Surface,matched_models,30,27,0.7228031145717461,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
CDH6,Surface,selected_patient_representatives,27,27,0.6862026862026861,0.44680194133006834,0.834498684433625,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
CDH6,Surface,patient_means_of_matched_models,27,27,0.7222222222222222,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
CDH6,Surface,HGS_selected_representatives,12,12,0.6013986013986015,-0.0653397240494144,0.9283154121863799,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
CDH6,Surface,CC_selected_representatives,6,6,0.6,-0.5,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
CD276,Surface,matched_models,30,27,0.689432703003337,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
CD276,Surface,selected_patient_representatives,27,27,0.6227106227106228,0.2784853389530546,0.8376928882444964,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
CD276,Surface,patient_means_of_matched_models,27,27,0.6428571428571429,NA,NA,0,not estimated,False,unadjusted association; subtype/centre/plex/passage not controlled
CD276,Surface,HGS_selected_representatives,12,12,0.41958041958041953,-0.15270800842704316,0.7833935018050542,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
CD276,Surface,CC_selected_representatives,6,6,0.37142857142857144,-0.7419354838709677,1.0,2000,patient-resampling percentile 95%; descriptive convenience-panel sensitivity,False,unadjusted association; subtype/centre/plex/passage not controlled
VTCN1,Surface,matched_models,30,27,0.8051167964404893,NA,NA,0,not estimated,True,unadjusted association; subtype/centre/plex/passage not controlled
