cell_line,patient_id,histotype_code,rna_tpm,rna_log2_tpm_plus1,protein_log2_normalised,cohort,gene,ranking_direction,rna_preference_percentile,protein_preference_percentile,joint_mean_score,joint_weaker_assay_score,joint_rna25_score,joint_rna75_score,joint_mean_rank,joint_weaker_assay_rank,joint_rna25_rank,joint_rna75_rank,rank_best_across_methods,rank_worst_across_methods,absolute_assay_percentile_gap,both_assays_same_direction,n_ranked,protein_isodoping,discordance_rank
OV3133-R,3133,HGS,6.6964617,2.9441953469667133,14.63350214075966,selected_patient_representatives,ARID1A,lower,1.0,0.11538461538461539,0.5576923076923077,0.11538461538461539,0.33653846153846156,0.7788461538461539,11.0,20.0,19.0,7.0,7.0,20.0,0.8846153846153846,False,27,True,1.0
VOA12539,VOA12539,CC,49.606802,5.661259403762433,13.70634573833832,selected_patient_representatives,ARID1A,lower,0.07692307692307693,0.9615384615384616,0.5192307692307693,0.07692307692307693,0.7403846153846154,0.2980769230769231,13.0,22.0,8.0,20.0,8.0,22.0,0.8846153846153846,False,27,True,1.0
OV2085,OV2085,HGS,20.8696113,4.450855673730349,14.94425621861471,selected_patient_representatives,ARID1A,lower,0.5769230769230769,0.0,0.28846153846153844,0.0,0.14423076923076922,0.43269230769230765,19.0,26.0,25.0,15.0,15.0,26.0,0.5769230769230769,False,27,True,3.0
VOA4395,VOA4395,EC,23.46405440160245,4.612591614875418,13.69009503517812,selected_patient_representatives,ARID1A,lower,0.4230769230769231,1.0,0.7115384615384616,0.4230769230769231,0.8557692307692307,0.5673076923076923,7.0,11.0,2.0,13.0,2.0,13.0,0.5769230769230769,False,27,True,3.0
VOA5217,VOA5217,MMMT,9.892834,3.445307445253695,13.06849257313587,selected_patient_representatives,CCNE1,higher,0.07692307692307693,0.9615384615384616,0.5192307692307693,0.07692307692307693,0.7403846153846154,0.2980769230769231,14.0,22.0,4.0,20.0,4.0,22.0,0.8846153846153846,False,27,True,1.0
TOV2414,TOV2414,MC,19.183159,4.335080092768469,13.05046147115815,selected_patient_representatives,CCNE1,higher,0.23076923076923078,0.8846153846153846,0.5576923076923077,0.23076923076923078,0.7211538461538461,0.3942307692307692,11.0,15.0,6.0,18.0,6.0,18.0,0.6538461538461537,False,27,True,2.0
VOA10816,VOA10816,CC,41.854107,5.4213615691107915,12.3923840433249,selected_patient_representatives,CCNE1,higher,0.6538461538461539,0.038461538461538464,0.34615384615384615,0.038461538461538464,0.19230769230769232,0.5,19.0,24.0,24.0,13.0,13.0,24.0,0.6153846153846154,False,27,True,3.0
COV434,COV434,SCCOHT,40.85811,5.387435266605569,12.3368761259082,selected_patient_representatives,CCNE1,higher,0.6153846153846154,0.0,0.3076923076923077,0.0,0.15384615384615385,0.46153846153846156,21.0,26.0,25.0,15.0,15.0,26.0,0.6153846153846154,False,27,True,3.0
VOA10816,VOA10816,CC,44.969499388,5.522605050048336,11.41406942952789,selected_patient_representatives,CD276,higher,0.19230769230769232,0.7692307692307693,0.4807692307692308,0.19230769230769232,0.6250000000000001,0.33653846153846156,13.0,18.0,9.0,18.0,9.0,18.0,0.576923076923077,False,27,False,1.0
OV4485,OV4485,HGS,37.18832920000001,5.255059896031237,11.29143679201831,selected_patient_representatives,CD276,higher,0.11538461538461539,0.6538461538461539,0.38461538461538464,0.11538461538461539,0.5192307692307693,0.25,17.0,21.0,14.0,21.0,14.0,21.0,0.5384615384615384,False,27,False,2.0
