cell_line,patient_id,histotype_code,rna_tpm,rna_log2_tpm_plus1,protein_log2_normalised,cohort,gene,ranking_direction,rna_preference_percentile,protein_preference_percentile,joint_mean_score,joint_weaker_assay_score,joint_rna25_score,joint_rna75_score,joint_mean_rank,joint_weaker_assay_rank,joint_rna25_rank,joint_rna75_rank,rank_best_across_methods,rank_worst_across_methods,absolute_assay_percentile_gap,both_assays_same_direction,n_ranked,protein_isodoping,patient_mean_rank,patient_mean_n,HGS_rank,HGS_n,CC_rank,CC_n,rna_passage,wes_passage,tmt_plex,tmt_channel,protein_unique_peptides_global
VOA5436,VOA5436,MMMT,9.2592002,3.358846358730002,13.8331083313369,selected_patient_representatives,ARID1A,lower,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,1.0,1.0,1.0,2.0,1.0,2.0,0.0,True,27,True,1.0,27,NA,NA,NA,NA,p35,NA,5.0,ch7,51
TOV3392D,TOV3392D,CC,7.5189469042,3.0906750982925923,14.00330512669052,selected_patient_representatives,ARID1A,lower,0.9615384615384616,0.7692307692307693,0.8653846153846154,0.7692307692307693,0.8173076923076924,0.9134615384615384,2.0,3.0,4.0,1.0,1.0,4.0,0.1923076923076923,True,27,True,2.0,27,NA,NA,3.0,6.0,p69,P69,1.0,ch7,51
VOA5217,VOA5217,MMMT,9.0806557,3.333517577412889,14.03222153875706,selected_patient_representatives,ARID1A,lower,0.9230769230769231,0.7307692307692307,0.8269230769230769,0.7307692307692307,0.7788461538461537,0.875,3.0,5.0,7.0,3.0,3.0,7.0,0.1923076923076924,True,27,True,3.0,27,NA,NA,NA,NA,p36,NA,4.0,ch8,51
OV4453,OV4453,HGS,95.830162,6.597384603026275,13.08428902067678,selected_patient_representatives,CCNE1,higher,0.8846153846153846,1.0,0.9423076923076923,0.8846153846153846,0.9711538461538461,0.9134615384615384,1.0,2.0,1.0,2.0,1.0,2.0,0.11538461538461542,True,27,True,1.0,27,1.0,12.0,NA,NA,p60,NA,4.0,ch2,5
VOA12539,VOA12539,CC,146.95400999999998,7.2090049882241996,13.05885865882953,selected_patient_representatives,CCNE1,higher,0.9615384615384616,0.9230769230769231,0.9423076923076923,0.9230769230769231,0.9326923076923077,0.9519230769230769,1.0,1.0,2.0,1.0,1.0,2.0,0.038461538461538436,True,27,True,1.0,27,NA,NA,1.0,6.0,p41,NA,2.0,ch7,5
TOV3291G,3291,HGS,158.021989,7.313082459862038,12.87129147333248,selected_patient_representatives,CCNE1,higher,1.0,0.5769230769230769,0.7884615384615384,0.5769230769230769,0.6826923076923077,0.8942307692307692,3.0,5.0,8.0,3.0,3.0,8.0,0.42307692307692313,True,27,True,3.0,27,2.0,12.0,NA,NA,p62,NA,2.0,ch8,5
VOA8762,VOA8762,MC,153.79534299999997,7.274218258596395,11.94736193120271,selected_patient_representatives,CD276,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,False,1.0,27,NA,NA,NA,NA,p27,NA,4.0,ch7,9
VOA8771,VOA8771,MC,139.237217610518,7.13172546734442,11.89756974947836,selected_patient_representatives,CD276,higher,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,27,False,2.0,27,NA,NA,NA,NA,p28,NA,5.0,ch8,9
BIN67,BIN67,SCCOHT,127.88388000000002,7.009928021368997,11.60126844966107,selected_patient_representatives,CD276,higher,0.8846153846153846,0.9230769230769231,0.9038461538461539,0.8846153846153846,0.9134615384615384,0.8942307692307692,3.0,3.0,3.0,4.0,3.0,4.0,0.03846153846153855,True,27,False,3.0,27,NA,NA,NA,NA,p51,NA,3.0,ch3,9
OV3331,OV3331,HGS,580.40567,9.183401330806829,14.717332809272,selected_patient_representatives,CDH6,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,False,1.0,27,1.0,12.0,NA,NA,p71,P54,4.0,ch3,29
TOV3041G,TOV3041G,HGS,121.3898,6.935339518208912,13.78205679982036,selected_patient_representatives,CDH6,higher,0.9615384615384616,0.9230769230769231,0.9423076923076923,0.9230769230769231,0.9326923076923077,0.9519230769230769,2.0,2.0,2.0,2.0,2.0,2.0,0.038461538461538436,True,27,False,2.0,27,2.0,12.0,NA,NA,p67,NA,3.0,ch4,29
OV90,OV90,HGS,53.973361,5.780660781463359,13.37868606530245,selected_patient_representatives,CDH6,higher,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,3.0,3.0,3.0,4.0,3.0,4.0,0.0,True,27,False,5.0,27,3.0,12.0,NA,NA,p70,P63,5.0,ch3,29
TOV3392D,TOV3392D,CC,216.377008563498,7.764055547869947,13.90404094331423,selected_patient_representatives,ERBB2,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,True,1.0,27,NA,NA,1.0,6.0,p69,P69,1.0,ch7,29
VOA12539,VOA12539,CC,72.5451607,6.200558509599236,13.65070045426861,selected_patient_representatives,ERBB2,higher,0.6923076923076923,0.9615384615384616,0.8269230769230769,0.6923076923076923,0.8942307692307692,0.7596153846153846,2.0,4.0,2.0,6.0,2.0,6.0,0.2692307692307693,True,27,True,2.0,27,NA,NA,2.0,6.0,p41,NA,2.0,ch7,29
VOA10816,VOA10816,CC,147.21650100000002,7.211562262153019,13.37558430657029,selected_patient_representatives,ERBB2,higher,0.9615384615384616,0.6538461538461539,0.8076923076923077,0.6538461538461539,0.7307692307692308,0.8846153846153846,3.0,5.0,7.0,2.0,2.0,7.0,0.3076923076923077,True,27,True,4.0,27,NA,NA,2.0,6.0,p20,NA,1.0,ch6,29
VOA8762,VOA8762,MC,78.3467398,6.310099041690741,13.63914457854373,selected_patient_representatives,ERBB2,higher,0.7307692307692307,0.8846153846153846,0.8076923076923077,0.7307692307692307,0.8461538461538461,0.7692307692307692,3.0,2.0,3.0,5.0,2.0,5.0,0.15384615384615385,True,27,True,3.0,27,NA,NA,NA,NA,p27,NA,4.0,ch7,29
