gene,panel_group,ranking_direction,interpretation
ERBB2,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
FOLR1,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
MSLN,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
TACSTD2,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
SLC34A2,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
CDH6,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
CD276,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
VTCN1,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
DPEP3,Surface,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
ESR1,Endocrine,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
PGR,Endocrine,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
MLH1,MMR,lower,"lower expression follow-up; no protein loss, biallelic loss or functional deficiency claim"
PMS2,MMR,lower,"lower expression follow-up; no protein loss, biallelic loss or functional deficiency claim"
MSH2,MMR,lower,"lower expression follow-up; no protein loss, biallelic loss or functional deficiency claim"
MSH6,MMR,lower,"lower expression follow-up; no protein loss, biallelic loss or functional deficiency claim"
SMARCA4,SWI/SNF,lower,"lower expression follow-up; no protein loss, biallelic loss or functional deficiency claim"
SMARCA2,SWI/SNF,lower,"lower expression follow-up; no protein loss, biallelic loss or functional deficiency claim"
ARID1A,SWI/SNF,lower,"lower expression follow-up; no protein loss, biallelic loss or functional deficiency claim"
CCNE1,Cell cycle,higher,"higher expression follow-up; no surface localisation, receptor activity or response claim"
