gene,panel_group,ranking_direction,n_models,n_rna_models,n_protein_models,n_rna_zero_models,n_rna_positive_models,n_paired_models,n_paired_patient_representatives,protein_isodoping,protein_unique_peptides_global,rna_tpm_min,rna_tpm_median,rna_tpm_max,protein_log2_normalised_min,protein_log2_normalised_median,protein_log2_normalised_max
ERBB2,Surface,higher,42,31,31,0,31,30,27,True,29.0,23.301119430000004,66.55604799999999,216.377008563498,12.91974977298359,13.31748998068187,13.90404094331423
FOLR1,Surface,higher,42,31,31,1,30,30,27,False,12.0,0.0,31.52373,712.6388,10.46720073664685,11.58875550024574,13.59713724823837
MSLN,Surface,higher,42,31,31,3,28,30,27,False,19.0,0.0,36.51453,629.12289,11.32517357920317,11.97889609013328,13.08073185568899
TACSTD2,Surface,higher,42,31,31,5,26,30,27,False,24.0,0.0,75.9223,930.943,12.7726526941866,13.06814189738202,15.18369396371216
SLC34A2,Surface,higher,42,31,31,0,31,30,27,False,13.0,0.0484255,31.155291,425.436165,9.972139437654532,11.60534676233463,13.57464614219026
CDH6,Surface,higher,42,31,31,0,31,30,27,False,29.0,0.0444445,10.210854,580.40567,12.37670499989213,12.85879075397508,14.717332809272
CD276,Surface,higher,42,31,31,0,31,30,27,False,9.0,16.389119,73.4636509,212.00632630000004,10.95157513709362,11.23499078003665,11.94736193120271
VTCN1,Surface,higher,42,31,31,0,31,30,27,True,4.0,0.0122173,6.272485114178,99.8904800312026,10.47113736434456,11.262004327702693,12.94709821567282
DPEP3,Surface,higher,42,31,0,25,6,0,0,NA,NA,0.0,0.0,23.1327,NA,NA,NA
ESR1,Endocrine,higher,42,31,31,3,28,30,27,True,3.0,0.0,0.2196417,18.6955463,11.73537742639042,12.4952180360979,12.95599197403834
PGR,Endocrine,higher,42,31,0,21,10,0,0,NA,NA,0.0,0.0,4.8157879999999995,NA,NA,NA
MLH1,MMR,lower,42,31,31,0,31,30,27,False,22.0,1.6853063446420002,21.457982,39.951994,12.16376862158856,12.65627733637608,13.24331478485268
PMS2,MMR,lower,42,31,31,0,31,30,27,False,16.0,3.51125102367,11.077709,21.618848,10.28744409539977,10.93789609212162,11.40255195024264
MSH2,MMR,lower,42,31,31,0,31,30,27,False,51.0,1.652102,16.07511748884,49.3425459,13.61989277148798,14.52858010070669,15.33555866863745
MSH6,MMR,lower,42,31,31,0,31,30,27,False,68.0,5.80272982572766,32.281082360599996,103.29135400000004,14.12840226742416,14.70078946259798,15.34002089994065
SMARCA4,SWI/SNF,lower,42,31,31,0,31,30,27,False,42.0,4.99496670433,67.7339098889204,302.4778165160143,13.30633588651286,14.03115605811618,14.83310730965481
SMARCA2,SWI/SNF,lower,42,31,31,0,31,30,27,False,18.0,0.02561418,12.050265799999998,215.3005165,10.96053806450502,11.70652494563973,12.7111243053821
ARID1A,SWI/SNF,lower,42,31,31,0,31,30,27,True,51.0,6.6964617,21.959475099999995,73.0812793,13.69009503517812,14.41902814777699,14.94425621861471
CCNE1,Cell cycle,higher,42,31,31,0,31,30,27,True,5.0,6.410148,29.947454900000004,158.021989,12.3368761259082,12.80308487163489,13.17151557273808
