"cell_line","substrate","reference","signature","count","fraction"
"OV1369-R2","baseline","genome_full","SBS1",29.9014590643467,0.050377769868791
"OV1369-R2","baseline","genome_full","SBS2",0,0
"OV1369-R2","baseline","genome_full","SBS3",223.605033058351,0.376728201546145
"OV1369-R2","baseline","genome_full","SBS4",0,0
"OV1369-R2","baseline","genome_full","SBS5",0,0
"OV1369-R2","baseline","genome_full","SBS6",0,0
"OV1369-R2","baseline","genome_full","SBS7a",0,0
"OV1369-R2","baseline","genome_full","SBS7b",0,0
"OV1369-R2","baseline","genome_full","SBS7c",0,0
"OV1369-R2","baseline","genome_full","SBS7d",0,0
"OV1369-R2","baseline","genome_full","SBS8",44.182345329275,0.0744381075342118
"OV1369-R2","baseline","genome_full","SBS9",0,0
"OV1369-R2","baseline","genome_full","SBS10a",0,0
"OV1369-R2","baseline","genome_full","SBS10b",0,0
"OV1369-R2","baseline","genome_full","SBS10c",0,0
"OV1369-R2","baseline","genome_full","SBS10d",0,0
"OV1369-R2","baseline","genome_full","SBS11",0,0
"OV1369-R2","baseline","genome_full","SBS12",0,0
"OV1369-R2","baseline","genome_full","SBS13",0,0
"OV1369-R2","baseline","genome_full","SBS14",0,0
"OV1369-R2","baseline","genome_full","SBS15",54.1693327005679,0.0912641142648806
"OV1369-R2","baseline","genome_full","SBS16",0,0
"OV1369-R2","baseline","genome_full","SBS17a",0,0
"OV1369-R2","baseline","genome_full","SBS17b",0,0
"OV1369-R2","baseline","genome_full","SBS18",0,0
"OV1369-R2","baseline","genome_full","SBS19",0,0
"OV1369-R2","baseline","genome_full","SBS20",0,0
"OV1369-R2","baseline","genome_full","SBS21",0,0
"OV1369-R2","baseline","genome_full","SBS22",0,0
"OV1369-R2","baseline","genome_full","SBS23",0,0
"OV1369-R2","baseline","genome_full","SBS24",70.6163007694884,0.118973851459724
"OV1369-R2","baseline","genome_full","SBS25",0,0
"OV1369-R2","baseline","genome_full","SBS26",0,0
"OV1369-R2","baseline","genome_full","SBS28",0,0
"OV1369-R2","baseline","genome_full","SBS29",0,0
"OV1369-R2","baseline","genome_full","SBS30",45.7593328679394,0.0770950051504057
"OV1369-R2","baseline","genome_full","SBS31",0,0
"OV1369-R2","baseline","genome_full","SBS32",34.5375844269214,0.0581886815736696
"OV1369-R2","baseline","genome_full","SBS33",0,0
"OV1369-R2","baseline","genome_full","SBS34",0,0
"OV1369-R2","baseline","genome_full","SBS35",0,0
"OV1369-R2","baseline","genome_full","SBS36",0,0
"OV1369-R2","baseline","genome_full","SBS37",0,0
"OV1369-R2","baseline","genome_full","SBS38",0,0
"OV1369-R2","baseline","genome_full","SBS39",32.0319040425165,0.0539671287223973
"OV1369-R2","baseline","genome_full","SBS40",0,0
"OV1369-R2","baseline","genome_full","SBS41",0,0
"OV1369-R2","baseline","genome_full","SBS42",0,0
"OV1369-R2","baseline","genome_full","SBS44",0,0
"OV1369-R2","baseline","genome_full","SBS84",0,0
"OV1369-R2","baseline","genome_full","SBS85",0,0
"OV1369-R2","baseline","genome_full","SBS86",0,0
"OV1369-R2","baseline","genome_full","SBS87",58.7414228445989,0.0989671398797744
"OV1369-R2","baseline","genome_full","SBS88",0,0
"OV1369-R2","baseline","genome_full","SBS89",0,0
"OV1369-R2","baseline","genome_full","SBS90",0,0
"OV1369-R2","baseline","genome_full","SBS91",0,0
"OV1369-R2","baseline","genome_full","SBS92",0,0
"OV1369-R2","baseline","genome_full","SBS93",0,0
"OV1369-R2","baseline","genome_full","SBS94",0,0
"OV2085","baseline","genome_full","SBS1",0,0
"OV2085","baseline","genome_full","SBS2",0,0
"OV2085","baseline","genome_full","SBS3",45.850529767561,0.0972893805068053
"OV2085","baseline","genome_full","SBS4",0,0
"OV2085","baseline","genome_full","SBS5",106.125181367338,0.225185035020151
"OV2085","baseline","genome_full","SBS6",0,0
"OV2085","baseline","genome_full","SBS7a",0,0
"OV2085","baseline","genome_full","SBS7b",0,0
"OV2085","baseline","genome_full","SBS7c",0,0
"OV2085","baseline","genome_full","SBS7d",0,0
"OV2085","baseline","genome_full","SBS8",0,0
"OV2085","baseline","genome_full","SBS9",0,0
"OV2085","baseline","genome_full","SBS10a",0,0
"OV2085","baseline","genome_full","SBS10b",16.5715159548332,0.0351627893827522
"OV2085","baseline","genome_full","SBS10c",0,0
"OV2085","baseline","genome_full","SBS10d",0,0
"OV2085","baseline","genome_full","SBS11",0,0
"OV2085","baseline","genome_full","SBS12",0,0
"OV2085","baseline","genome_full","SBS13",0,0
"OV2085","baseline","genome_full","SBS14",0,0
