"cell_line","substrate","from_reference","to_reference","paired_boot_delta_median","paired_boot_delta_lo95","paired_boot_delta_hi95","n_boots"
"OV1369-R2","baseline","genome_full","target_full",-0.130916892484085,-0.516578673802143,0.134339376944735,200
"OV1369-R2","baseline","genome_restricted","target_restricted",-0.232127965807214,-0.443595090600483,-0.0936613642265207,200
"OV1369-R2","baseline","target_full","target_restricted",0.06254432231395,-0.255763088290162,0.316252298853653,200
"OV1369-R2","rare_read_supported","genome_full","target_full",-0.055249860767752,-0.422789498294231,0.0432039534605009,200
"OV1369-R2","rare_read_supported","genome_restricted","target_restricted",-0.234690899107702,-0.40555098613987,-0.120086864256233,200
"OV1369-R2","rare_read_supported","target_full","target_restricted",0.198333084904349,0,0.433981718897523,200
"OV2085","baseline","genome_full","target_full",0,-0.237991446617587,0.191210756632547,200
"OV2085","baseline","genome_restricted","target_restricted",-0.230458042139268,-0.373222458639382,-0.111870913429617,200
"OV2085","baseline","target_full","target_restricted",0.0965620397372347,-0.166979928899601,0.28026021390572,200
"OV2085","rare_read_supported","genome_full","target_full",0,0,0,200
"OV2085","rare_read_supported","genome_restricted","target_restricted",-0.150774759247762,-0.337808951784952,0,200
"OV2085","rare_read_supported","target_full","target_restricted",0.00225594082092653,0,0.324980776663292,200
"OV2295","baseline","genome_full","target_full",0,-0.263316972868287,0.047687046602788,200
"OV2295","baseline","genome_restricted","target_restricted",-0.265062294445167,-0.455162474130667,-0.141912799249591,200
"OV2295","baseline","target_full","target_restricted",0.140200591952894,-0.056562307086778,0.336591826495376,200
"OV2295","rare_read_supported","genome_full","target_full",0,-0.320084349646734,0.0745538215928683,200
"OV2295","rare_read_supported","genome_restricted","target_restricted",-0.227665674132022,-0.43163353365301,-0.0522248171627889,200
"OV2295","rare_read_supported","target_full","target_restricted",0.211563040737243,0,0.477732135999001,200
"OV2295-R2","baseline","genome_full","target_full",0,-0.40172935465999,0,200
"OV2295-R2","baseline","genome_restricted","target_restricted",-0.316078477606738,-0.480023635008933,-0.143293416575912,200
"OV2295-R2","baseline","target_full","target_restricted",0,0,0.294385950688352,200
"OV2295-R2","rare_read_supported","genome_full","target_full",0,-0.0773527769999078,0,200
"OV2295-R2","rare_read_supported","genome_restricted","target_restricted",-0.245157962170695,-0.445274427910742,-0.14871649767382,200
"OV2295-R2","rare_read_supported","target_full","target_restricted",0.21295517184827,0,0.47063526317659,200
"OV3133-R","baseline","genome_full","target_full",0,-0.234252283833558,0,200
"OV3133-R","baseline","genome_restricted","target_restricted",-0.224853839191681,-0.398816442886366,0,200
"OV3133-R","baseline","target_full","target_restricted",0,-0.0640870703518936,0.146373918221753,200
"OV3133-R","rare_read_supported","genome_full","target_full",0,-0.256056078397466,0.174155797041331,200
"OV3133-R","rare_read_supported","genome_restricted","target_restricted",-0.135183016969516,-0.334787606349326,0,200
"OV3133-R","rare_read_supported","target_full","target_restricted",0,-0.198426959767383,0.238816681268192,200
"OV3133-R2","baseline","genome_full","target_full",0,-0.247700592503414,0.151440145010859,200
"OV3133-R2","baseline","genome_restricted","target_restricted",-0.168966608877543,-0.362319449669915,0,200
"OV3133-R2","baseline","target_full","target_restricted",0,-0.185124759530997,0.165895177442785,200
"OV3133-R2","rare_read_supported","genome_full","target_full",-0.0684234941491964,-0.366470542434531,0.0909736620006818,200
"OV3133-R2","rare_read_supported","genome_restricted","target_restricted",-0.203755371892237,-0.403266079060844,0,200
"OV3133-R2","rare_read_supported","target_full","target_restricted",0,-0.261311117676364,0.287163080444013,200
"OV3291","baseline","genome_full","target_full",0,-0.185791476790167,0.0729352585193549,200
"OV3291","baseline","genome_restricted","target_restricted",-0.316149755758608,-0.450919465256805,-0.1207936147202,200
"OV3291","baseline","target_full","target_restricted",0,-0.0477436508704787,0.225000189870256,200
"OV3291","rare_read_supported","genome_full","target_full",0,-0.255945378456909,0.175162130829224,200
"OV3291","rare_read_supported","genome_restricted","target_restricted",-0.267487437882181,-0.470872003001494,-0.119848843268077,200
"OV3291","rare_read_supported","target_full","target_restricted",0.197150247993003,-0.0250405769227235,0.494386622053798,200
"TOV1369","baseline","genome_full","target_full",-0.123191993118951,-0.540740694856837,0.0736420060713613,200
"TOV1369","baseline","genome_restricted","target_restricted",-0.210607458702926,-0.363441009058051,-0.108399105065677,200
"TOV1369","baseline","target_full","target_restricted",0.130382254798903,-0.115608149746388,0.329871771963286,200
"TOV1369","rare_read_supported","genome_full","target_full",-0.0869588067644523,-0.436234451647657,0.118641514574323,200
"TOV1369","rare_read_supported","genome_restricted","target_restricted",-0.232009449268377,-0.357204860155478,-0.0715557190034512,200
"TOV1369","rare_read_supported","target_full","target_restricted",0.333219762282948,0.0745061434940598,0.592936308961241,200
"TOV2295-R","baseline","genome_full","target_full",0,-0.21224926627563,0.235716355415665,200
"TOV2295-R","baseline","genome_restricted","target_restricted",-0.204918071710686,-0.392449337709096,-0.0456766962545037,200
"TOV2295-R","baseline","target_full","target_restricted",0.132065345840318,-0.123041556827322,0.367404074391519,200
"TOV2295-R","rare_read_supported","genome_full","target_full",0,-0.181156027822169,0.217518903167574,200
"TOV2295-R","rare_read_supported","genome_restricted","target_restricted",-0.189912676146509,-0.455671285514935,0.0567384193818492,200
"TOV2295-R","rare_read_supported","target_full","target_restricted",0.261378483401897,-0.000910496255409254,0.51660303514576,200
"TOV2835EP","baseline","genome_full","target_full",0,0,0,200
"TOV2835EP","baseline","genome_restricted","target_restricted",-0.217780090685365,-0.377756667788561,0,200
"TOV2835EP","baseline","target_full","target_restricted",0,0,0.154956458107841,200
"TOV2835EP","rare_read_supported","genome_full","target_full",0,-0.00181562923927223,0,200
"TOV2835EP","rare_read_supported","genome_restricted","target_restricted",-0.169424796725415,-0.371158486229966,0,200
"TOV2835EP","rare_read_supported","target_full","target_restricted",0,0,0.267830197308391,200
"TOV2881EP","baseline","genome_full","target_full",0,-0.00181365908245185,0,200
"TOV2881EP","baseline","genome_restricted","target_restricted",-0.246156336288939,-0.413887920768684,-0.0626719203894377,200
"TOV2881EP","baseline","target_full","target_restricted",0,0,0.223989862968733,200
"TOV2881EP","rare_read_supported","genome_full","target_full",0,-0.142664591370314,0.0504224366344505,200
"TOV2881EP","rare_read_supported","genome_restricted","target_restricted",-0.214510234198304,-0.413902751182546,-0.0680075573659056,200
"TOV2881EP","rare_read_supported","target_full","target_restricted",0.138447789589712,0,0.401821943592482,200
"TOV2929D","baseline","genome_full","target_full",0,0,0,200
"TOV2929D","baseline","genome_restricted","target_restricted",-0.268995499522692,-0.425774345962361,-0.0425974300809709,200
"TOV2929D","baseline","target_full","target_restricted",0,0,0.181186328743247,200
"TOV2929D","rare_read_supported","genome_full","target_full",0,-0.232518313841215,0,200
"TOV2929D","rare_read_supported","genome_restricted","target_restricted",-0.218055362063304,-0.391298472159673,-0.00757342017662228,200
"TOV2929D","rare_read_supported","target_full","target_restricted",0.0523389249605643,0,0.31573458274394,200
"TOV3121D","baseline","genome_full","target_full",0,0,0.139322317976557,200
"TOV3121D","baseline","genome_restricted","target_restricted",-0.22960965712677,-0.409630739320389,-0.0595585526235558,200
"TOV3121D","baseline","target_full","target_restricted",0,-0.0468807145813185,0.24712520983185,200
"TOV3121D","rare_read_supported","genome_full","target_full",0,-0.00111467395518087,0,200
"TOV3121D","rare_read_supported","genome_restricted","target_restricted",-0.224367179133737,-0.361314678636365,-0.0228118055551038,200
"TOV3121D","rare_read_supported","target_full","target_restricted",0.0874929999886305,0,0.30242035741918,200
"TOV3121EP","baseline","genome_full","target_full",0,-0.00132846490423266,0.091872613789478,200
"TOV3121EP","baseline","genome_restricted","target_restricted",-0.293083627745277,-0.468509247861044,-0.135932345788902,200
"TOV3121EP","baseline","target_full","target_restricted",0,-0.00314218248620895,0.233296098697022,200
"TOV3121EP","rare_read_supported","genome_full","target_full",0,-0.00214795117125244,0,200
"TOV3121EP","rare_read_supported","genome_restricted","target_restricted",-0.25550044049051,-0.416566102711328,0,200
"TOV3121EP","rare_read_supported","target_full","target_restricted",0.0776663070609149,0,0.34114840601088,200
"TOV3133D","baseline","genome_full","target_full",0,-0.105594286548528,0.227824580121261,200
"TOV3133D","baseline","genome_restricted","target_restricted",-0.220849335932947,-0.386614976633001,0,200
"TOV3133D","baseline","target_full","target_restricted",0,-0.195880756417602,0.253648224254519,200
"TOV3133D","rare_read_supported","genome_full","target_full",0,-0.269221198669977,0.221752796131818,200
"TOV3133D","rare_read_supported","genome_restricted","target_restricted",-0.162854253513127,-0.413018753099688,0.0142485279262849,200
"TOV3133D","rare_read_supported","target_full","target_restricted",0.00255051508584109,-0.228192757721818,0.471684170821615,200
"TOV3133G","baseline","genome_full","target_full",0,-0.174746835067054,0.127762861209459,200
"TOV3133G","baseline","genome_restricted","target_restricted",-0.197246845466624,-0.373409786084567,0,200
"TOV3133G","baseline","target_full","target_restricted",0,-0.00874749361333014,0.247572054745746,200
"TOV3133G","rare_read_supported","genome_full","target_full",0,-0.243595717322843,0.179010096544321,200
"TOV3133G","rare_read_supported","genome_restricted","target_restricted",-0.156966474180231,-0.354303931066696,0.0443820790975503,200
"TOV3133G","rare_read_supported","target_full","target_restricted",0,-0.256077403707494,0.306434000505933,200
"OV3331","baseline","genome_full","target_full",0,0,0.180070118532652,200
