"cell_line","substrate","reference","signature","bootstrap_count_correlation_with_sbs3"
"OV1369-R2","baseline","genome_full","SBS1",-0.0246570313031895
"OV1369-R2","baseline","genome_full","SBS2",-0.0193441480721476
"OV1369-R2","baseline","genome_full","SBS3",1
"OV1369-R2","baseline","genome_full","SBS4",-0.113868857734223
"OV1369-R2","baseline","genome_full","SBS5",-0.00777555488170607
"OV1369-R2","baseline","genome_full","SBS6",-0.120552105587051
"OV1369-R2","baseline","genome_full","SBS7a",-0.0285671003663047
"OV1369-R2","baseline","genome_full","SBS7b",-0.204521807496178
"OV1369-R2","baseline","genome_full","SBS7c",
"OV1369-R2","baseline","genome_full","SBS7d",
"OV1369-R2","baseline","genome_full","SBS8",-0.813596599827762
"OV1369-R2","baseline","genome_full","SBS9",
"OV1369-R2","baseline","genome_full","SBS10a",-0.0331145342302323
"OV1369-R2","baseline","genome_full","SBS10b",-0.144676156010666
"OV1369-R2","baseline","genome_full","SBS10c",
"OV1369-R2","baseline","genome_full","SBS10d",
"OV1369-R2","baseline","genome_full","SBS11",0.0436067885609436
"OV1369-R2","baseline","genome_full","SBS12",-0.502776481543396
"OV1369-R2","baseline","genome_full","SBS13",-0.0173710167691953
"OV1369-R2","baseline","genome_full","SBS14",0.000769277244980816
"OV1369-R2","baseline","genome_full","SBS15",0.0269032985322085
"OV1369-R2","baseline","genome_full","SBS16",-0.115279971807717
"OV1369-R2","baseline","genome_full","SBS17a",-0.133004234444868
"OV1369-R2","baseline","genome_full","SBS17b",-0.0817418193360121
"OV1369-R2","baseline","genome_full","SBS18",
"OV1369-R2","baseline","genome_full","SBS19",-0.180259032954926
"OV1369-R2","baseline","genome_full","SBS20",
"OV1369-R2","baseline","genome_full","SBS21",
"OV1369-R2","baseline","genome_full","SBS22",-0.0148872363500426
"OV1369-R2","baseline","genome_full","SBS23",-0.0792628347131483
"OV1369-R2","baseline","genome_full","SBS24",0.0804009255456996
"OV1369-R2","baseline","genome_full","SBS25",-0.0313120685987944
"OV1369-R2","baseline","genome_full","SBS26",
"OV1369-R2","baseline","genome_full","SBS28",-0.0792191426773747
"OV1369-R2","baseline","genome_full","SBS29",0.0622628727510669
"OV1369-R2","baseline","genome_full","SBS30",-0.325254913705075
"OV1369-R2","baseline","genome_full","SBS31",-0.086891678556857
"OV1369-R2","baseline","genome_full","SBS32",0.0683423930639605
"OV1369-R2","baseline","genome_full","SBS33",-0.22675959873805
"OV1369-R2","baseline","genome_full","SBS34",
"OV1369-R2","baseline","genome_full","SBS35",-0.0632554991252341
"OV1369-R2","baseline","genome_full","SBS36",
"OV1369-R2","baseline","genome_full","SBS37",-0.269508111754685
"OV1369-R2","baseline","genome_full","SBS38",
"OV1369-R2","baseline","genome_full","SBS39",-0.880510810035732
"OV1369-R2","baseline","genome_full","SBS40",
"OV1369-R2","baseline","genome_full","SBS41",
"OV1369-R2","baseline","genome_full","SBS42",0.00076927724498081
"OV1369-R2","baseline","genome_full","SBS44",
"OV1369-R2","baseline","genome_full","SBS84",
"OV1369-R2","baseline","genome_full","SBS85",
"OV1369-R2","baseline","genome_full","SBS86",-0.0938888614190184
"OV1369-R2","baseline","genome_full","SBS87",0.269205075719013
"OV1369-R2","baseline","genome_full","SBS88",
"OV1369-R2","baseline","genome_full","SBS89",-0.224702537166046
"OV1369-R2","baseline","genome_full","SBS90",
"OV1369-R2","baseline","genome_full","SBS91",-0.0526529763416431
"OV1369-R2","baseline","genome_full","SBS92",
"OV1369-R2","baseline","genome_full","SBS93",-0.114103560665395
"OV1369-R2","baseline","genome_full","SBS94",
"OV2085","baseline","genome_full","SBS1",-0.0319483702545212
"OV2085","baseline","genome_full","SBS2",-0.0184686378519634
"OV2085","baseline","genome_full","SBS3",1
"OV2085","baseline","genome_full","SBS4",-0.160228416072956
"OV2085","baseline","genome_full","SBS5",-0.355983498324095
"OV2085","baseline","genome_full","SBS6",0.0799643223785067
"OV2085","baseline","genome_full","SBS7a",0.0404203375211439
"OV2085","baseline","genome_full","SBS7b",0.0769792811987145
"OV2085","baseline","genome_full","SBS7c",
"OV2085","baseline","genome_full","SBS7d",
"OV2085","baseline","genome_full","SBS8",
"OV2085","baseline","genome_full","SBS9",0.00816777400328952
"OV2085","baseline","genome_full","SBS10a",-0.0426846244653366
"OV2085","baseline","genome_full","SBS10b",0.0497225241286649
"OV2085","baseline","genome_full","SBS10c",
"OV2085","baseline","genome_full","SBS10d",
"OV2085","baseline","genome_full","SBS11",0.0272352397156734
"OV2085","baseline","genome_full","SBS12",-0.00757671261450124
