"cell_line","substrate","reference","replicate","sbs3_count","total_fitted","sbs3_fraction"
"OV1369-R2","baseline","genome_full",1,279.864654596237,590.617480401785,0.473850950713228
"OV1369-R2","baseline","genome_full",2,158.242237742897,599.636411228168,0.263896979535961
"OV1369-R2","baseline","genome_full",3,0,589.159845919218,0
"OV1369-R2","baseline","genome_full",4,183.707864200591,586.893191572238,0.31301754192863
"OV1369-R2","baseline","genome_full",5,126.982939420091,576.467034930678,0.220277885335388
"OV1369-R2","baseline","genome_full",6,258.983105966197,591.688677712744,0.437701642301713
"OV1369-R2","baseline","genome_full",7,0,575.886260015888,0
"OV1369-R2","baseline","genome_full",8,286.85997770232,592.075139953664,0.484499277785534
"OV1369-R2","baseline","genome_full",9,284.778172234784,580.684828887005,0.49041779304036
"OV1369-R2","baseline","genome_full",10,258.499828256859,586.92597000595,0.44043003967645
"OV1369-R2","baseline","genome_full",11,329.487425999617,560.314885591829,0.588039751347311
"OV1369-R2","baseline","genome_full",12,0,590.308754538556,0
"OV1369-R2","baseline","genome_full",13,295.254802839414,587.965195340315,0.502163742308793
"OV1369-R2","baseline","genome_full",14,0,588.944273423524,0
"OV1369-R2","baseline","genome_full",15,292.747569274839,610.034930856987,0.479886567911091
"OV1369-R2","baseline","genome_full",16,206.068112605606,594.93376861717,0.346371518101215
"OV1369-R2","baseline","genome_full",17,0,585.903289395834,0
"OV1369-R2","baseline","genome_full",18,320.323982779529,607.085472923929,0.527642312435415
"OV1369-R2","baseline","genome_full",19,0,595.337067505471,0
"OV1369-R2","baseline","genome_full",20,236.014149480678,603.504662510155,0.391072619885032
"OV1369-R2","baseline","genome_full",21,143.939369868213,597.874331283468,0.240751881016896
"OV1369-R2","baseline","genome_full",22,310.937824155336,595.674354917608,0.521992967446692
"OV1369-R2","baseline","genome_full",23,0,585.97845011349,0
"OV1369-R2","baseline","genome_full",24,0,612.89146987121,0
"OV1369-R2","baseline","genome_full",25,286.123828046915,590.89304743082,0.484222702045607
"OV1369-R2","baseline","genome_full",26,38.803504329896,592.631156843461,0.0654766525212336
"OV1369-R2","baseline","genome_full",27,150.355459361039,582.122370169662,0.258288406468931
"OV1369-R2","baseline","genome_full",28,281.77582974753,604.452324139785,0.46616717066732
"OV1369-R2","baseline","genome_full",29,160.938268744298,594.562925610385,0.270683323517149
"OV1369-R2","baseline","genome_full",30,166.394672035773,586.100545885616,0.28390124050191
"OV1369-R2","baseline","genome_full",31,348.867620350486,590.071961190664,0.591228940359293
"OV1369-R2","baseline","genome_full",32,230.754125256473,591.357978360089,0.390210555535893
"OV1369-R2","baseline","genome_full",33,178.636444581162,606.470251595753,0.294551042052155
"OV1369-R2","baseline","genome_full",34,149.166100352046,587.340643689965,0.253968632946821
"OV1369-R2","baseline","genome_full",35,0,598.679329861705,0
"OV1369-R2","baseline","genome_full",36,84.2733425130454,588.18593630878,0.143276704373299
"OV1369-R2","baseline","genome_full",37,261.354819205519,604.916690312708,0.432050930964417
"OV1369-R2","baseline","genome_full",38,298.844924961759,585.13076235123,0.510731864038238
"OV1369-R2","baseline","genome_full",39,197.664209430145,576.177090775044,0.343061556238304
"OV1369-R2","baseline","genome_full",40,0,600.469638730593,0
"OV1369-R2","baseline","genome_full",41,213.564574966701,603.120211898413,0.354099515740774
"OV1369-R2","baseline","genome_full",42,329.288119361135,590.61770748785,0.55753174208362
"OV1369-R2","baseline","genome_full",43,0,582.146378278037,0
"OV1369-R2","baseline","genome_full",44,0,587.160347428526,0
"OV1369-R2","baseline","genome_full",45,0,591.065738551111,0
"OV1369-R2","baseline","genome_full",46,130.928514353846,586.946768199552,0.223067101562663
"OV1369-R2","baseline","genome_full",47,239.667913088855,599.358743174696,0.399873891585158
"OV1369-R2","baseline","genome_full",48,139.43014757785,571.672495153738,0.24389864609518
"OV1369-R2","baseline","genome_full",49,244.194989839931,581.529888567221,0.41991820995062
"OV1369-R2","baseline","genome_full",50,282.879287133113,583.601654612851,0.484712962852665
"OV1369-R2","baseline","genome_full",51,39.0913951465093,586.476124099667,0.0666547085894089
"OV1369-R2","baseline","genome_full",52,0,569.397340145708,0
"OV1369-R2","baseline","genome_full",53,106.493004802834,602.48981720163,0.176754862509477
"OV1369-R2","baseline","genome_full",54,0,568.673516108223,0
"OV1369-R2","baseline","genome_full",55,0,568.816525022467,0
"OV1369-R2","baseline","genome_full",56,272.08018306537,600.895209720856,0.45279139967144
"OV1369-R2","baseline","genome_full",57,0,613.567663340695,0
"OV1369-R2","baseline","genome_full",58,161.700019711206,575.331864815909,0.281055212825637
"OV1369-R2","baseline","genome_full",59,300.87495287599,577.855934942898,0.52067467803324
"OV1369-R2","baseline","genome_full",60,0,594.660679999237,0
"OV1369-R2","baseline","genome_full",61,316.848298323371,602.086816443649,0.526250184640981
"OV1369-R2","baseline","genome_full",62,264.584901739011,591.368420330972,0.447411279741536
"OV1369-R2","baseline","genome_full",63,147.03593374056,599.616434404206,0.245216650685464
