"cell_line","substrate","reference","dictionary","opportunity_model","n_snv","n_reference_signatures","n_selected","sbs3_count","total_fitted","sbs3_fraction","reconstruction_cosine","nnls_without_sbs3_delta_sse_per_n_squared","nnls_with_sbs3_cosine","nnls_without_sbs3_cosine","n_boots","seed","cache_sha256","boot_fraction_lo95","boot_fraction_hi95","boot_fraction_median","boot_selected_fraction","boot_count_lo95","boot_count_hi95","patient_id","subtype","patient_representative","interpretation"
"OV1369-R2","baseline","genome_full","full","genome",594,60,9,223.605033058351,593.544715104005,0.376728201546145,0.953603299959995,2.36993038912547e-05,0.957972610121367,0.957292342335325,200,44377251,"c5412535c5e68b354b8203497bbb16b6ed08d53c5150094641d04911303e6c0e",0,0.579620751274241,0.297928290059791,0.745,0,332.177826830031,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","rare","target_full","full","target",485,60,8,0,483.826294517526,0,0.945670616260078,2.06656005293777e-06,0.950743386060782,0.950676722569214,0,196068905,"9bac18382ef7078ef4c14e0fa64ae7ed11f2dddcb3cfc37070292c3be0d2c521",,,,,,,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","rare_read_supported","genome_full","full","genome",374,60,6,108.162183733899,371.790008756312,0.290922782179425,0.934542243124534,1.19400160131005e-05,0.944974150712761,0.944598997112314,200,79275449,"2c65fc6f2ca093bdd696e19089ba6f4e2c248103da115da4ef7f70ebf83619b1",0,0.485384364119025,0.129004137126685,0.565,0,178.31169202863,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","baseline","genome_restricted","restricted","genome",594,22,5,223.428864999266,580.544790918868,0.384860683437758,0.932005956852901,0.000333402360109659,0.93364978637227,0.923781789050455,200,44377251,"acec75940217e44d586537998fc73f0cb1f1a34b76e084daae17abbce167d579",0.233372757683178,0.676148292882833,0.415989177075959,0.995,135.653128583841,388.890313817718,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","rare","target_restricted","restricted","target",485,22,5,102.168473066699,478.247231231805,0.21363108115346,0.9237888518283,8.64506390006943e-05,0.925354644218913,0.922485039836694,0,196068905,"5c4ceaf2d3b7591a00f2aca9995f0301838c891a89a75e748eaa38b9e2ec9caf",,,,,,,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","baseline","target_full","full","target",594,60,7,0,594.289694885176,0,0.960372098830504,3.56175493316636e-06,0.9680490877236,0.967947945493728,200,44377251,"2350082a241bf85f8394b90b26900ca108ba37ec9e0386ec4d77c9be0643c9fb",0,0.521929249512069,0,0.45,0,304.340744322932,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","rare","genome_full","full","genome",485,60,8,146.043885950718,473.500967289601,0.308434187128903,0.944937787682877,2.26650314964664e-05,0.949532180547783,0.94879985824909,0,196068905,"0d0ec7533961128189d9ff4b4298ef5d161eb67d936a54356f1be7bc53ee4b50",,,,,,,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","baseline","target_restricted","restricted","target",594,22,6,108.626238374106,589.670720477472,0.184215079029443,0.950972055887351,7.56754142798867e-05,0.951158067417697,0.948968564948808,200,44377251,"eefba666ae8426ad6dd042e5b610baac71a6722dfb2499e4a616af5d4ed389f2",0,0.381750426183815,0.196520720261849,0.765,0,232.132288193778,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","rare","genome_restricted","restricted","genome",485,22,4,201.304266134446,472.968817041912,0.425618473948162,0.909516334008458,0.000454809946676245,0.912885479256246,0.897476186074859,0,196068905,"deaa5de143413773bb198068acaa4441461bbe3297dff28852ee1225341dcb5f",,,,,,,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV1369-R2","rare_read_supported","genome_restricted","restricted","genome",374,22,3,189.249121506436,374.434279214965,0.505426805214559,0.907875188090188,0.000475293263865858,0.913907726320761,0.898336860351728,200,79275449,"07a4b1be8a62cf4cd4b762d16e74e44dd705dcdf1d0b07db8c28c5c0d6a7bafb",0.25643818551646,0.733426278336107,0.477850398840732,1,96.806512203428,272.241006248922,"1369","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
