"cell_line","patient_id","subtype","substrate","n_snv","baseline_n_snv","baseline_read_supported","baseline_missing_population_annotation","population_af_max","min_AD_sum","min_AD_alt","min_caller_AF","n_nonzero_contexts","fraction_retained","count_band"
"OV1369-R2","1369","HGS","baseline",594,594,460,372,0.001,,,,93,1,">=500 SNVs"
"OV1369-R2","1369","HGS","rare",485,594,460,372,1e-05,,,,90,0.816498316498317,"200-499 SNVs"
"OV1369-R2","1369","HGS","rare_read_supported",374,594,460,372,1e-05,20,5,0.05,89,0.62962962962963,"200-499 SNVs"
"OV2085","OV2085","HGS","baseline",476,476,359,289,0.001,,,,88,1,"200-499 SNVs"
"OV2085","OV2085","HGS","rare",375,476,359,289,1e-05,,,,87,0.78781512605042,"200-499 SNVs"
"OV2085","OV2085","HGS","rare_read_supported",267,476,359,289,1e-05,20,5,0.05,81,0.560924369747899,"200-499 SNVs"
"OV2295","2295","HGS","baseline",403,403,293,220,0.001,,,,87,1,"200-499 SNVs"
"OV2295","2295","HGS","rare",318,403,293,220,1e-05,,,,85,0.789081885856079,"200-499 SNVs"
"OV2295","2295","HGS","rare_read_supported",223,403,293,220,1e-05,20,5,0.05,77,0.553349875930521,"200-499 SNVs"
"OV2295-R2","2295","HGS","baseline",572,572,334,363,0.001,,,,93,1,">=500 SNVs"
"OV2295-R2","2295","HGS","rare",475,572,334,363,1e-05,,,,92,0.83041958041958,"200-499 SNVs"
"OV2295-R2","2295","HGS","rare_read_supported",257,572,334,363,1e-05,20,5,0.05,84,0.449300699300699,"200-499 SNVs"
"OV3133-R","3133","HGS","baseline",437,437,292,266,0.001,,,,88,1,"200-499 SNVs"
"OV3133-R","3133","HGS","rare",340,437,292,266,1e-05,,,,85,0.778032036613272,"200-499 SNVs"
"OV3133-R","3133","HGS","rare_read_supported",209,437,292,266,1e-05,20,5,0.05,74,0.478260869565217,"200-499 SNVs"
"OV3133-R2","3133","HGS","baseline",395,395,300,228,0.001,,,,83,1,"200-499 SNVs"
"OV3133-R2","3133","HGS","rare",296,395,300,228,1e-05,,,,80,0.749367088607595,"200-499 SNVs"
"OV3133-R2","3133","HGS","rare_read_supported",214,395,300,228,1e-05,20,5,0.05,77,0.541772151898734,"200-499 SNVs"
"OV3291","3291","HGS","baseline",430,430,307,256,0.001,,,,89,1,"200-499 SNVs"
"OV3291","3291","HGS","rare",360,430,307,256,1e-05,,,,88,0.837209302325581,"200-499 SNVs"
"OV3291","3291","HGS","rare_read_supported",243,430,307,256,1e-05,20,5,0.05,83,0.565116279069767,"200-499 SNVs"
"TOV1369","1369","HGS","baseline",686,686,514,451,0.001,,,,94,1,">=500 SNVs"
"TOV1369","1369","HGS","rare",574,686,514,451,1e-05,,,,94,0.836734693877551,">=500 SNVs"
"TOV1369","1369","HGS","rare_read_supported",427,686,514,451,1e-05,20,5,0.05,92,0.622448979591837,"200-499 SNVs"
"TOV2295-R","2295","HGS","baseline",418,418,321,235,0.001,,,,86,1,"200-499 SNVs"
"TOV2295-R","2295","HGS","rare",334,418,321,235,1e-05,,,,83,0.799043062200957,"200-499 SNVs"
"TOV2295-R","2295","HGS","rare_read_supported",249,418,321,235,1e-05,20,5,0.05,77,0.595693779904306,"200-499 SNVs"
"TOV2835EP","TOV2835EP","HGS","baseline",514,514,300,306,0.001,,,,88,1,">=500 SNVs"
"TOV2835EP","TOV2835EP","HGS","rare",412,514,300,306,1e-05,,,,84,0.801556420233463,"200-499 SNVs"
"TOV2835EP","TOV2835EP","HGS","rare_read_supported",216,514,300,306,1e-05,20,5,0.05,71,0.420233463035019,"200-499 SNVs"
"TOV2881EP","TOV2881EP","HGS","baseline",559,559,366,354,0.001,,,,93,1,">=500 SNVs"
"TOV2881EP","TOV2881EP","HGS","rare",445,559,366,354,1e-05,,,,91,0.796064400715564,"200-499 SNVs"
"TOV2881EP","TOV2881EP","HGS","rare_read_supported",268,559,366,354,1e-05,20,5,0.05,85,0.479427549194991,"200-499 SNVs"
"TOV2929D","TOV2929D","HGS","baseline",883,883,370,613,0.001,,,,94,1,">=500 SNVs"
"TOV2929D","TOV2929D","HGS","rare",754,883,370,613,1e-05,,,,94,0.853907134767837,">=500 SNVs"
"TOV2929D","TOV2929D","HGS","rare_read_supported",290,883,370,613,1e-05,20,5,0.05,82,0.328425821064553,"200-499 SNVs"
"TOV3121D","3121","HGS","baseline",316,316,246,160,0.001,,,,79,1,"200-499 SNVs"
"TOV3121D","3121","HGS","rare",243,316,246,160,1e-05,,,,76,0.768987341772152,"200-499 SNVs"
"TOV3121D","3121","HGS","rare_read_supported",181,316,246,160,1e-05,20,5,0.05,71,0.572784810126582,"<200 SNVs"
"TOV3121EP","3121","HGS","baseline",400,400,234,235,0.001,,,,86,1,"200-499 SNVs"
"TOV3121EP","3121","HGS","rare",318,400,234,235,1e-05,,,,82,0.795,"200-499 SNVs"
"TOV3121EP","3121","HGS","rare_read_supported",165,400,234,235,1e-05,20,5,0.05,69,0.4125,"<200 SNVs"
"TOV3133D","3133","HGS","baseline",411,411,240,249,0.001,,,,82,1,"200-499 SNVs"
