source_url,source_record_ids,review_date,evidence_scope,retrieval_method
https://www.ncbi.nlm.nih.gov/clinvar/variation/9328/,VCV000009328.54;SCV000301287.2,2026-09-06,"ClinVar germline-disease pathogenicity; expert-panel assertion, not origin in this model",Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://doi.org/10.1158/1940-6207.CAPR-11-0547,PMID22401979;doi:10.1158/1940-6207.CAPR-11-0547,2026-09-06,"ClinVar germline-disease pathogenicity; expert-panel assertion, not origin in this model",Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://doi.org/10.1371/journal.pone.0001279,PMID18060073;doi:10.1371/journal.pone.0001279,2026-09-06,Primary exact-variant and published-stock evidence,Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://doi.org/10.1126/sciadv.ade7486,PMID37656784;doi:10.1126/sciadv.ade7486,2026-09-06,Primary exact-variant and published-stock evidence,Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://www.ncbi.nlm.nih.gov/clinvar/RCV000443868.1/,RCV000443868.1;SCV000504463.1,2026-09-06,ClinVar condition-level literature assertion; no assertion criteria provided,Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://ncbi.nlm.nih.gov/clinvar/RCV004549454.2/,RCV004549454.2;SCV004105185.1,2026-09-06,"ClinVar germline KRAS-related disorder; criteria provided, single submitter",Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://www.ncbi.nlm.nih.gov/clinvar/variation/12584/,VCV000012584.63;SCV005094262.2,2026-09-06,"ClinVar somatic oncogenicity; criteria provided, single submitter",Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://www.ncbi.nlm.nih.gov/clinvar/variation/39705/,VCV000039705.67,2026-09-06,ClinVar germline-disease aggregate plus exact protein functional evidence,Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://pubmed.ncbi.nlm.nih.gov/17376864/,PMID17376864,2026-09-06,ClinVar germline-disease aggregate plus exact protein functional evidence,Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://pmc.ncbi.nlm.nih.gov/articles/PMC5159945/,PMCIDPMC5159945,2026-09-06,Source VEP consequence plus published protein-position evidence; no new clinical P/LP assignment,Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://pubmed.ncbi.nlm.nih.gov/33328126/,PMID33328126,2026-09-06,Local source consequence; published histotype/protein-loss context,Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
https://pubmed.ncbi.nlm.nih.gov/26787835/,PMID26787835,2026-09-06,Exact local allele shared by four isolates from one patient,Public browser record or cited primary paper; selected metadata manually recorded; no full HTTP snapshot claimed
