cell_line,subtype,patient_id,fga_auto_0.2_archived,fga_auto_0.3_archived,total_assessed_autosome_mb_archived,n_segments_auto_archived,chrX_median_log2c_archived,fga_auto_0.2_target_only,fga_auto_0.3_target_only,total_assessed_autosome_mb_target_only,n_segments_auto_target_only,chrX_median_log2c_target_only,fga_auto_0.2_delta
TOV3392D,CC,TOV3392D,0.6705886841198657,0.5620478501851167,2753.276036,156,0.8262949671228679,0.687532304541946,0.5842557257487248,2665.977671,163,0.8466597922473105,0.016943620422080308
TOV21G,CC,TOV21G,0.0711031521696498,0.0546156348013154,2758.19482,103,0.6475783472317735,0.0780237189757594,0.0592814322706368,2670.560257,123,0.6464213821175415,0.006920566806109599
TOV112D,EC,TOV112D,0.225651865087324,0.2189673907402207,2755.989483,110,0.1662552861420052,0.2327581232079482,0.225296299926932,2668.301198,123,0.2419655517249936,0.007106258120624209
TOV3121D,HGS,3121,0.8440173194150944,0.6876558175753116,2754.557688,128,-0.2323305735204044,0.8343284419506053,0.6711374323167953,2666.284987,144,-0.1071184807940286,-0.009688877464489098
TOV2929D,HGS,TOV2929D,0.7689391922914176,0.6643718837435135,2750.555446,201,-1.2277293905856568,0.7678335545752669,0.6644409423021779,2664.180747,211,-1.2195186255096526,-0.001105637716150687
OV2085,HGS,OV2085,0.6887406811610582,0.5731305335122884,2728.262894,292,-0.2862290147294678,0.6809400755762669,0.5708185416130935,2639.994382,314,-0.2993398113407111,-0.0078006055847913425
TOV3121EP,HGS,3121,0.6794854794914204,0.6528719302723228,2754.494051,136,-0.2644895994679985,0.6668640578984347,0.6430352488950124,2666.148484,151,-0.2134140420290562,-0.012621421592985627
OV3291,HGS,3291,0.6787704995624562,0.5781530793537287,2709.028918,446,0.7068647085635493,0.6683377312977227,0.5758099591114372,2631.661827,456,0.7280925010971385,-0.010432768264733494
OV2295-R2,HGS,2295,0.6727799592309764,0.4825026865223553,2743.378437,191,-0.3319295917781863,0.6686283073221441,0.4936235337752089,2661.815244,205,-0.3232293635769471,-0.004151651908832377
OV3133-R2,HGS,3133,0.6721650280763802,0.5712054285794985,2723.382941,481,0.1202754421955533,0.6852308660392054,0.5835198491565641,2639.591956,485,0.0897229981750601,0.013065837962825122
TOV1369,HGS,1369,0.6539146367344505,0.5743699805324768,2734.113093,285,0.1058715653787742,0.6738048687098475,0.5707634061338716,2643.985122,290,0.0908965008041915,0.019890231975396966
OV1369-R2,HGS,1369,0.6414685141329869,0.5700009176514685,2741.89067,232,0.514654707012271,0.8591733609961716,0.5894901887742829,2652.975301,258,0.4029953506095899,0.2177048468631847
OV3133-R,HGS,3133,0.627589186656478,0.5371431377278202,2726.222869,426,0.1333661241499967,0.6264178016249966,0.5400061998303056,2641.26584,436,0.1411463501380595,-0.0011713850314813978
TOV2835EP,HGS,TOV2835EP,0.6223170768372762,0.542663731497143,2742.563681,182,-0.7986263425234931,0.6119860510851137,0.5446188488521796,2658.729249,194,-0.7899219604396867,-0.010331025752162493
TOV3133D,HGS,3133,0.6196691280147607,0.5785195106086178,2720.517542,378,0.0927089975100867,0.605230493573593,0.5834761850384707,2638.36076,388,0.0930049206350324,-0.014438634441167664
TOV2295-R,HGS,2295,0.5747033569581311,0.424828128236177,2750.54488,154,-0.2138180167979284,0.5678588363973472,0.4405723390227117,2662.457354,174,-0.1831401069814868,-0.006844520560783884
TOV3133G,HGS,3133,0.5645374119864854,0.5063222526182689,2718.493872,420,0.413315581953275,0.5796259584168272,0.5152907736692844,2638.569465,424,0.5184487755297661,0.015088546430341743
TOV2881EP,HGS,TOV2881EP,0.5581400962989393,0.4386821095056586,2746.464517,176,-0.2311287286875003,0.5694264596517212,0.4057591651540342,2658.790257,185,0.0619812346007372,0.01128636335278188
OV3331,HGS,OV3331,0.495204471627258,0.4857904679390467,2749.667289,185,0.5901180403097255,0.494947035307392,0.4867799390874831,2662.282703,199,0.586391041673455,-0.00025743631986602233
OV2295,HGS,2295,0.3925039892434701,0.3826676456400685,2749.877911,190,-0.2425139091282675,0.3960431845882345,0.3776118976189009,2663.441304,183,-0.2583451952641113,0.003539195344764434
OV90,HGS,OV90,0.2688576018072947,0.2351878562098265,2738.951672,169,0.6460663427283497,0.2798983523820555,0.2310125357548045,2660.492449,178,0.6220948294979564,0.011040750574760838
TOV81D,LGS,TOV81D,0.020859508481122,0.0064347723461202,2758.541413,88,0.6835667477568937,0.0226519369536914,0.0090494008228504,2670.152143,115,0.6942401790651962,0.0017924284725694024
TOV2414,MC,TOV2414,0.3211275087059476,0.2901653718091372,2756.96869,105,-0.3865677672367481,0.3310727469669927,0.2976700825800873,2669.509892,110,-0.2840767320775088,0.009945238261045097
