cell_line,fga_autosome_archived,high_fga_flag_archived,fga_autosome_target_only,high_fga_flag_target_only
OV1369-R2,0.641,False,0.859,True
TOV1369,0.654,False,0.674,False
OV2295,0.393,False,0.396,False
OV2295-R2,0.673,False,0.669,False
TOV2295-R,0.575,False,0.568,False
TOV3121D,0.844,True,0.834,True
TOV3121EP,0.679,False,0.667,False
OV3133-R,0.628,False,0.626,False
OV3133-R2,0.672,False,0.685,False
TOV3133D,0.62,False,0.605,False
TOV3133G,0.565,False,0.58,False
OV3291,0.679,False,0.668,False
OV2085,0.689,False,0.681,False
OV90,0.269,False,0.28,False
TOV2835EP,0.622,False,0.612,False
TOV2881EP,0.558,False,0.569,False
TOV2929D,0.769,True,0.768,True
TOV81D,0.021,False,0.023,False
TOV21G,0.071,False,0.078,False
TOV3392D,0.671,False,0.688,False
TOV112D,0.226,False,0.233,False
TOV2414,0.321,False,0.331,False
