"model","profile","center","autosomal_span_bp","fga"
"OV1369-R2","Archived",-0.3,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2999,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2998,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2997,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2996,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2995,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2994,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2993,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2992,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2991,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.299,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2989,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2988,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2987,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2986,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2985,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2984,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2983,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2982,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2981,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.298,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2979,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2978,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2977,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2976,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2975,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2974,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2973,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2972,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2971,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.297,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2969,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2968,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2967,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2966,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2965,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2964,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2963,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2962,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2961,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.296,2741890670,0.566209201185983
"OV1369-R2","Archived",-0.2959,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2958,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2957,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2956,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2955,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2954,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2953,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2952,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2951,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.295,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2949,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2948,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2947,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2946,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2945,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2944,2741890670,0.574336498252864
"OV1369-R2","Archived",-0.2943,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2942,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2941,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.294,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2939,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2938,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2937,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2936,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2935,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2934,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2933,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2932,2741890670,0.571175367105356
"OV1369-R2","Archived",-0.2931,2741890670,0.575087931934208
"OV1369-R2","Archived",-0.293,2741890670,0.575087931934208
"OV1369-R2","Archived",-0.2929,2741890670,0.575087931934208
"OV1369-R2","Archived",-0.2928,2741890670,0.575087931934208
"OV1369-R2","Archived",-0.2927,2741890670,0.575087931934208
"OV1369-R2","Archived",-0.2926,2741890670,0.575087931934208
"OV1369-R2","Archived",-0.2925,2741890670,0.575087931934208
"OV1369-R2","Archived",-0.2924,2741890670,0.575087931934208
"OV1369-R2","Archived",-0.2923,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2922,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2921,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.292,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2919,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2918,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2917,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2916,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2915,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2914,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2913,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2912,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2911,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.291,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2909,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2908,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2907,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2906,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2905,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2904,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2903,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2902,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2901,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.29,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2899,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2898,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2897,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2896,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2895,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2894,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2893,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2892,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2891,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.289,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2889,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2888,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2887,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2886,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2885,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2884,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2883,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2882,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2881,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.288,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2879,2741890670,0.576266091236964
"OV1369-R2","Archived",-0.2878,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2877,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2876,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2875,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2874,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2873,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2872,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2871,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.287,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2869,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2868,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2867,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2866,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2865,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2864,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2863,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2862,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2861,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.286,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2859,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2858,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2857,2741890670,0.575301430235364
