cell_line,archived_autosome_center,baseline_source,baseline_source_sha256,archived_cns_source,archived_cns_sha256,centering_method
OV1369-R2,-0.18947446748229213,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cns,8db5ae3d3f19553a5bf3a4368965a47ae1a67264112c849a60c0da91ae63cfda,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
OV2085,0.10052623191800873,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cns,c53983fed37622ea9718b4fb362d1d5e7fd25bf3a3edbeb1836b8d69f7ee9c5a,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
OV2295,0.05410228072289157,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cns,0b1e02d7a2ea899f48476cca446bc43c2424424e0f41897b0609cdbb3a340bd5,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
OV2295-R2,-0.006275086832151416,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cns,3a70d92c21bc0f568ed7d35a602835be1d985405c0553cb30b71909f84cebc68,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
OV3133-R,-0.011704809322033882,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cns,9290874b743c48afbe383ea9abf2196605df28b06c5e1f6d3e375ca3f72435c8,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
OV3133-R2,-0.0044496540599601175,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cns,390588a9e2ed7fc8d35009c8b2229d777c49f5a0ac99ab51891e7ce9f94893eb,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
OV3291,0.05092230917838603,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cns,ca96c881a84d3b7e5d51958276087af07e7256d50fcdbd90294998fee1e66a91,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
OV3331,-0.059610879414374485,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cns,3c224c864908f988485f36dd07f638b4d84eae2d0b3ea3c855195fb7b54ca857,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
OV90,-0.02882767368101885,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cns,5a0dfeee44875cce110dfd358231853d2837cf5db87c631b51a051f27d337aa0,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV112D,-0.03230984826013154,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cns,0850746dbb15a9e46b9f8a7151d998fcd50abae74aaf2dceae40001de4441eec,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV1369,0.09733547931034486,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cns,2d8933c59fa21051ca1d911b973d7c607cecf06eb6401f8c02d20c070e04ae6c,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV21G,0.011174118450347187,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cns,308e5100cf9affc7d331229c81e2b252fbaeccc3492350e8e4787f915e1be7d1,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV2295-R,0.145489588835212,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cns,4f16127f4af49e1f0ac261b5b3f69efecbec3834ebd9a3016f950d789e3e4923,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV2414,0.00044631856846720497,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cns,22932b67e79434715631fb3d512b203f1cf7512cffb690e559c01515e24f4cc7,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV2835EP,0.14932031511997634,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cns,e21c77422908205d41e201b2ef5b23ec82cb0e9223362deab76d7af2e503396e,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV2881EP,-0.03912414458109166,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cns,7c8d5b300c1f366e28eafdc29f15f9ec3c2f4b9be7bff7064dccd064b2462793,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV2929D,0.11407937027546486,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cns,2d888765435c2887e9b856b210730ac53cebc1b5da26e816dc3f61d8181f3965,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV3121D,0.14154602904564317,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cns,01bfa6611f54fa505de5d2b78974c16499aadfd5471155825b200a2ff37f26c8,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV3121EP,-0.028206098594537293,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cns,e0c6eeb2cd95a45d27672e3016e6529101c603fb4a7fe56dd434f3c749e04e3f,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV3133D,0.002957170552905397,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cns,a7dc3a880aaea5f15657d0429de2fe9360eab5bdf52ba60b75445413f8444220,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV3133G,-0.03978418696290856,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cns,90751440b4bbfe1b8f76d89e6195e51b8c0b132869f5d544d54cd343d4d85210,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV3392D,0.030357219787985903,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cns,c5930ccf3f2243053bcda624e00569f2ea9cab925a5f8a51dc003b3ad1544256,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
TOV81D,0.0014618426013071847,output/wes_cnv_segments.csv,ce30e2decceeb35a019124495d60e47be1a2f9cfe23e61823395786f395c02a6,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cns,383202fcba6135e8008b5da566cfd6e7b535b9450bd6c42033d67c75a71eb2f6,"matrixStats weightedMedian of archived autosomal CNS log2, weighted by probes; pinned before target-only correction"
