cell_line,sample_id,positive_target_bins,positive_antitarget_bins,target_weight_min,target_weight_median,target_weight_max,antitarget_weight_min,antitarget_weight_max
OV1369-R2,OV1369_R2_P66,203927,4,0.0001,0.814525,0.948731,0.797068,0.977197
OV2085,OV2085_P64,204028,4,0.0291143,0.835323,0.963345,0.797355,0.977484
OV2295,OV2295_P61,203984,4,0.00781328,0.819922,0.952491,0.794251,0.974378
OV2295-R2,OV2295_R2_P70,204037,4,0.00250265,0.816145,0.949871,0.797647,0.977777
OV3133-R,OV3133_R_P71,204033,4,0.0001,0.814366,0.948623,0.791426,0.971549
OV3133-R2,OV3133_R2_P58,204033,4,0.0001,0.807491,0.943802,0.793046,0.973172
OV3291,OV3291_P46,204061,4,0.0252745,0.832507,0.961388,0.795614,0.975742
OV3331,OV3331_P54,203961,4,0.00352392,0.816778,0.950305,0.794118,0.974244
OV90,OV90_P63,204029,4,0.0290354,0.835265,0.963305,0.798138,0.978268
TOV112D,TOV112D_P83,204013,4,0.0276525,0.834258,0.9626,0.738533,0.918604
TOV1369,TOV1369_P65,203913,4,0.0001,0.813378,0.947936,0.794226,0.974353
TOV21G,TOV21G_P59,204062,4,0.0342015,0.8389715,0.965937,0.790086,0.970208
TOV2295-R,TOV2295_R_P57,204035,4,0.00919938,0.820885,0.953197,0.798899,0.979031
TOV2414,TOV2414_P65,204042,4,0.0507912,0.850967,0.97439,0.798479,0.978609
TOV2835EP,TOV2835EP_P64,203956,4,0.0119853,0.822878,0.954617,0.793551,0.973677
TOV2881EP,TOV2881EP_P64,204036,4,0.0108195,0.8220585,0.954023,0.690208,0.875685
TOV2929D,TOV2929D_P57,204011,4,0.00745465,0.819596,0.952308,0.795978,0.976106
TOV3121D,TOV3121D_P68,203959,4,0.0219142,0.830106,0.959676,0.79597,0.976099
TOV3121EP,TOV3121EP_P68,203988,4,0.0182938,0.827473,0.957831,0.795236,0.975364
TOV3133D,TOV3133D_P66,204035,4,0.00703928,0.819324,0.952097,0.798717,0.978848
TOV3133G,TOV3133G_P65,204040,4,0.0001,0.814602,0.948796,0.773961,0.954068
TOV3392D,TOV3392D_P69,204045,4,0.0367146,0.840802,0.967218,0.797742,0.977872
TOV81D,TOV81D_P23,204064,4,0.0327578,0.8379460000000001,0.965201,0.758549,0.938639
