chromosome,start,end,gene,depth,log2,weight,log2c_auto,cell_line,gene_symbol,target_bin_width,gene_overlap_bp,normal_n,normal_min_depth,normal_median_depth,normal_max_depth
chr19,29817087,29817329,chr19:30307995-30308236,96.8926,0.589473,0.893349,0.707346641304348,OV1369-R2,CCNE1,242,242,5,10.9711,25.4339,80.4008
chr19,29817351,29817593,chr19:30308259-30308500,121.897,0.628723,0.890377,0.746596641304348,OV1369-R2,CCNE1,242,242,5,76.9504,137.343,152.207
chr19,29820622,29820894,chr19:30311530-30311801,116.07,0.23422,0.870971,0.3520936413043479,OV1369-R2,CCNE1,272,272,5,91.9485,139.25,169.717
chr19,29821707,29821829,chr19:30312615-30312736,90.6475,-0.0423268,0.8808,0.0755468413043479,OV1369-R2,CCNE1,122,122,5,109.623,140.541,154.148
chr19,29821940,29822182,chr19:30312848-30313089,72.2893,0.0358218,0.930494,0.1536954413043479,OV1369-R2,CCNE1,242,242,5,44.6488,77.3058,114.091
chr19,29822229,29822361,chr19:30313137-30313268,162.523,-0.134053,0.573334,-0.016179358695652,OV1369-R2,CCNE1,132,132,5,176.174,269.045,421.75
chr19,29822402,29822644,chr19:30313310-30313551,127.88,0.19749,0.763466,0.3153636413043479,OV1369-R2,CCNE1,242,242,5,25.8802,61.7975,164.149
chr11,69643789,69644031,chr11:69458558-69458799,74.7645,1.29119,0.716665,1.409063641304348,OV1369-R2,CCND1,242,242,5,0.0,0.834711,2.02479
chr11,69647945,69648187,chr11:69462714-69462955,37.3843,0.195337,0.868769,0.3132106413043479,OV1369-R2,CCND1,242,242,5,0.702479,1.2562,4.41736
chr11,69652140,69652348,chr11:69466909-69467116,105.341,1.44106,0.497969,1.558933641304348,OV1369-R2,CCND1,208,208,5,33.5433,56.1875,77.1394
chr17,39708275,39708547,chr17:37864529-37864800,92.7059,1.03446,0.691277,1.152333641304348,OV1369-R2,ERBB2,272,272,5,0.0,0.606618,6.60294
chr17,39709232,39709504,chr17:37865486-37865757,61.2206,0.160465,0.685657,0.2783386413043479,OV1369-R2,ERBB2,272,272,5,2.16544,5.38971,36.9375
chr17,39709784,39709906,chr17:37866038-37866159,6.35246,-2.88322,0.121791,-2.765346358695652,OV1369-R2,ERBB2,122,122,5,0.0,0.622951,8.81967
chr17,39711835,39712058,chr17:37868089-37868757,60.6278,0.0790778,0.669872,0.1969514413043479,OV1369-R2,ERBB2,223,223,5,4.38565,5.25561,60.0852
chr17,39712281,39712504,chr17:37868089-37868757,57.8206,0.26532,0.796237,0.3831936413043479,OV1369-R2,ERBB2,223,223,5,0.0,3.49327,27.5874
chr17,39715230,39715382,chr17:37871484-37871635,29.4671,-0.901048,0.348608,-0.783174358695652,OV1369-R2,ERBB2,152,152,5,0.0,1.40789,7.72368
chr17,39717247,39717519,chr17:37873501-37873772,47.125,0.817151,0.6253,0.935024641304348,OV1369-R2,ERBB2,272,272,5,0.286765,0.996324,3.875
chr17,39719718,39719870,chr17:37875972-37876123,53.6447,-0.816272,0.242144,-0.698398358695652,OV1369-R2,ERBB2,152,152,5,3.30263,5.05263,77.0461
chr17,39723868,39724020,chr17:37880122-37880273,116.053,1.30268,0.491133,1.420553641304348,OV1369-R2,ERBB2,152,152,5,6.07237,18.8158,85.5987
chr17,39724696,39724938,chr17:37880950-37881191,35.5165,-0.670981,0.0860729,-0.5531073586956521,OV1369-R2,ERBB2,242,242,5,2.05785,5.22314,15.0289
chr17,39725004,39725246,chr17:37881258-37881499,48.624,0.630775,0.711042,0.7486486413043479,OV1369-R2,ERBB2,242,242,5,1.1281,2.57438,7.86777
