cell_line,subtype,chromosome,start,end,probes,weight,log2_raw,log2c,log2c_auto
OV1369-R2,HGS,chr1,14425,2561894,235,161.016,0.651811,0.75826547761194,0.8412854674822922
OV1369-R2,HGS,chr1,2562740,17019004,1294,1057.26,0.306754,0.41320847761193996,0.4962284674822922
OV1369-R2,HGS,chr1,17022516,49843152,3915,3207.19,-0.31191,-0.20545552238806009,-0.12243553251770786
OV1369-R2,HGS,chr1,49844608,54018201,416,405.467,0.312782,0.41923647761193994,0.5022564674822921
OV1369-R2,HGS,chr1,54031617,55504706,216,173.228,1.03043,1.1368844776119398,1.219904467482292
OV1369-R2,HGS,chr1,55731371,57145479,79,86.7808,-1.46814,-1.3616855223880602,-1.2786655325177079
OV1369-R2,HGS,chr1,57290894,109758120,3031,3146.78,-0.338674,-0.23221952238806004,-0.14919953251770782
OV1369-R2,HGS,chr1,109759190,118115495,1032,926.898,-1.34048,-1.23402552238806,-1.1510055325177078
OV1369-R2,HGS,chr1,118151176,120319932,152,138.881,-0.470262,-0.3638075223880601,-0.2807875325177078
OV1369-R2,HGS,chr1,120321920,125307700,43,59.0989,0.2182,0.32465447761193994,0.4076744674822922
OV1369-R2,HGS,chr1,143401653,248937126,10126,9068.3,-0.225829,-0.11937452238806008,-0.036354532517707844
OV1369-R2,HGS,chr2,41500,25433062,1227,1217.54,-0.262219,-0.15576452238806004,-0.07274453251770782
OV1369-R2,HGS,chr2,25433850,36548468,1160,1010.09,0.165721,0.27217547761193994,0.35519546748229214
OV1369-R2,HGS,chr2,36548490,55249584,1227,1252.99,0.309944,0.41639847761193993,0.49941846748229213
OV1369-R2,HGS,chr2,55252442,55319043,28,25.1597,-0.536901,-0.43044652238806,-0.34742653251770783
OV1369-R2,HGS,chr2,55322487,55866766,66,63.3576,0.515787,0.6222414776119399,0.7052614674822921
OV1369-R2,HGS,chr2,55866766,59255325,53,70.443,-0.230911,-0.12445652238806008,-0.04143653251770785
OV1369-R2,HGS,chr2,59277440,70948472,805,803.686,0.374692,0.48114647761193996,0.5641664674822922
OV1369-R2,HGS,chr2,70957977,84697802,750,704.613,0.122981,0.22943547761193991,0.31245546748229214
OV1369-R2,HGS,chr2,84699541,87980851,504,419.863,0.361306,0.46776047761193995,0.5507804674822921
OV1369-R2,HGS,chr2,87985688,90501211,170,152.521,0.0150574,0.12151187761193992,0.20453186748229216
OV1369-R2,HGS,chr2,91345693,102758571,1080,942.519,0.259619,0.3660734776119399,0.4490934674822922
OV1369-R2,HGS,chr2,102762204,111429680,588,564.399,-0.0943783,0.012076177611939923,0.09509616748229216
OV1369-R2,HGS,chr2,111494826,149859174,1818,1835.37,0.630846,0.73730047761194,0.8203204674822921
OV1369-R2,HGS,chr2,150468610,152092259,274,234.993,1.16569,1.2721444776119397,1.355164467482292
OV1369-R2,HGS,chr2,152119914,152714703,64,61.8866,1.72556,1.8320144776119398,1.9150344674822921
OV1369-R2,HGS,chr2,152718823,157308767,75,99.4706,0.89503,1.0014844776119398,1.0845044674822921
OV1369-R2,HGS,chr2,157311125,161231561,308,312.294,1.67731,1.78376447761194,1.8667844674822922
OV1369-R2,HGS,chr2,161232668,178650337,1762,1722.72,0.667303,0.7737574776119399,0.8567774674822921
OV1369-R2,HGS,chr2,178650691,178664692,32,25.3793,1.39343,1.4998844776119398,1.582904467482292
OV1369-R2,HGS,chr2,178664692,182186105,356,347.287,0.572133,0.6785874776119399,0.7616074674822921
OV1369-R2,HGS,chr2,182186405,183161396,79,85.9783,1.28563,1.3920844776119399,1.4751044674822922
OV1369-R2,HGS,chr2,184598901,191054611,503,485.022,0.329622,0.43607647761193996,0.5190964674822922
OV1369-R2,HGS,chr2,191058002,203457662,1070,1041.23,-0.240801,-0.13434652238806005,-0.05132653251770783
OV1369-R2,HGS,chr2,203459845,221502643,1447,1302.18,-0.413664,-0.30720952238806004,-0.22418953251770782
OV1369-R2,HGS,chr2,221519445,242175714,1637,1482.69,-0.250195,-0.14374052238806007,-0.06072053251770784
OV1369-R2,HGS,chr3,150500,33866557,1908,1878.99,-0.346536,-0.24008152238806008,-0.15706153251770785
OV1369-R2,HGS,chr3,35679806,46545269,1216,1075.68,-1.32424,-1.2177855223880603,-1.134765532517708
OV1369-R2,HGS,chr3,46551406,58849460,2083,1643.66,-0.281793,-0.17533852238806008,-0.09231853251770786
OV1369-R2,HGS,chr3,58863490,61200741,19,37.3289,-1.65947,-1.5530155223880602,-1.4699955325177079
OV1369-R2,HGS,chr3,61562227,71542149,485,507.749,-0.311982,-0.20552752238806005,-0.12250753251770782
OV1369-R2,HGS,chr3,71684058,89210549,306,405.801,-1.33213,-1.2256755223880602,-1.142655532517708
OV1369-R2,HGS,chr3,89340871,90234516,24,27.9644,0.363941,0.47039547761193995,0.5534154674822922
OV1369-R2,HGS,chr3,90257176,105853718,590,653.865,-0.464985,-0.35853052238806005,-0.27551053251770785
OV1369-R2,HGS,chr3,105867371,107774907,22,35.4078,0.0562675,0.1627219776119399,0.24574196748229216
OV1369-R2,HGS,chr3,107778322,125014042,1473,1423.58,0.85758,0.9640344776119399,1.0470544674822921
OV1369-R2,HGS,chr3,125014711,127035679,229,191.589,0.27389,0.38034447761193996,0.4633644674822922
OV1369-R2,HGS,chr3,127036376,128160313,79,64.8868,-1.39929,-1.29283552238806,-1.2098155325177078
OV1369-R2,HGS,chr3,128246787,160438972,2217,2208.6,0.245894,0.35234847761193994,0.4353684674822922
OV1369-R2,HGS,chr3,160438972,174282051,577,625.68,0.640007,0.7464614776119399,0.8294814674822921
OV1369-R2,HGS,chr3,174282175,177025128,32,53.5509,0.0969652,0.2034196776119399,0.28643966748229216
OV1369-R2,HGS,chr3,177025342,180970377,208,212.62,-0.40139,-0.2949355223880601,-0.21191553251770787
OV1369-R2,HGS,chr3,180975256,189974741,799,701.799,0.277434,0.38388847761193995,0.4669084674822922
OV1369-R2,HGS,chr3,189982990,198228398,651,611.117,1.15306,1.2595144776119398,1.342534467482292
OV1369-R2,HGS,chr4,59370,44650879,2063,2064.09,-0.28129,-0.17483552238806005,-0.09181553251770783
OV1369-R2,HGS,chr4,44651486,49197316,292,304.683,0.500133,0.60658747761194,0.6896074674822922
OV1369-R2,HGS,chr4,49342914,190060527,6352,6820.04,-0.359755,-0.25330052238806006,-0.17028053251770783
OV1369-R2,HGS,chr5,90456,32420141,925,986.115,0.983997,1.0904514776119398,1.1734714674822921
OV1369-R2,HGS,chr5,32523080,36108687,261,256.675,0.266851,0.37330547761193994,0.4563254674822922
OV1369-R2,HGS,chr5,36111105,37294518,163,148.528,1.0532,1.1596544776119397,1.242674467482292
OV1369-R2,HGS,chr5,37298822,43556034,453,452.888,0.248043,0.35449747761193995,0.43751746748229214
OV1369-R2,HGS,chr5,43609118,47364976,42,61.8462,0.878159,0.98461347761194,1.0676334674822923
OV1369-R2,HGS,chr5,49488324,70795967,1104,1138.88,-0.384039,-0.2775845223880601,-0.19456453251770786
OV1369-R2,HGS,chr5,70813590,112239813,1956,2104.7,-1.32685,-1.2203955223880603,-1.137375532517708
OV1369-R2,HGS,chr5,112240662,133022973,1011,1036.45,0.269155,0.3756094776119399,0.45862946748229216
OV1369-R2,HGS,chr5,133064891,139127891,571,522.074,-0.233575,-0.1271205223880601,-0.04410053251770785
OV1369-R2,HGS,chr5,139276034,139364773,22,22.2093,-1.27182,-1.1653655223880601,-1.0823455325177078
