gene,ensembl_gene_id,chromosome,start,end,arm,coordinate_convention,assembly,source_url,annotation_version,panel_group
CCNE1,ENSG00000105173,chr19,29811990,29824312,19q,0-based half-open,GRCh38,https://www.ncbi.nlm.nih.gov/gene/898,RS_2025_08; accessed 2026-09-06,oncogene_gain_screen
CCND1,ENSG00000110092,chr11,69641069,69654474,11q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000110092,{'releases': [116]},oncogene_gain_screen
CDK4,ENSG00000135446,chr12,57746042,57756013,12q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000135446,{'releases': [116]},oncogene_gain_screen
CDK6,ENSG00000105810,chr7,92604920,92837004,7q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000105810,{'releases': [116]},oncogene_gain_screen
MYC,ENSG00000136997,chr8,127735433,127742951,8q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000136997,{'releases': [116]},oncogene_gain_screen
MYCN,ENSG00000134323,chr2,15938395,15947022,2p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000134323,{'releases': [116]},oncogene_gain_screen
MDM2,ENSG00000135679,chr12,68808140,68845544,12q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000135679,{'releases': [116]},oncogene_gain_screen
MDM4,ENSG00000198625,chr1,204516368,204558120,1q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000198625,{'releases': [116]},oncogene_gain_screen
ERBB2,ENSG00000141736,chr17,39688093,39728658,17q,0-based half-open,GRCh38,https://www.ncbi.nlm.nih.gov/gene/2064,RS_2025_08; accessed 2026-09-06,oncogene_gain_screen
EGFR,ENSG00000146648,chr7,55018819,55211628,7p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000146648,{'releases': [116]},oncogene_gain_screen
MET,ENSG00000105976,chr7,116672050,116798391,7q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000105976,{'releases': [116]},oncogene_gain_screen
FGFR1,ENSG00000077782,chr8,38400214,38468834,8p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000077782,{'releases': [116]},oncogene_gain_screen
FGFR2,ENSG00000066468,chr10,121478330,121598770,10q,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000066468,{'releases': [116]},oncogene_gain_screen
FGFR3,ENSG00000068078,chr4,1793285,1808873,4p,0-based half-open,GRCh38,https://rest.ensembl.org/lookup/id/ENSG00000068078,{'releases': [116]},oncogene_gain_screen
