cell_line,arm,call_archived,call_target_only
OV1369-R2,1p,neutral,loss
OV1369-R2,12q,neutral,loss
OV1369-R2,15q,neutral,loss
OV1369-R2,3p,neutral,loss
OV1369-R2,4q,neutral,loss
OV1369-R2,5q,neutral,loss
OV1369-R2,7p,neutral,loss
OV2085,19q,gain,neutral
OV2295-R2,6p,neutral,gain
OV3133-R,18p,loss,neutral
OV3133-R,7p,loss,neutral
OV3133-R2,21q,loss,neutral
OV3291,9q,gain,neutral
TOV1369,21q,neutral,gain
TOV1369,6q,neutral,loss
TOV2295-R,21q,neutral,gain
TOV2835EP,10q,loss,neutral
TOV3121EP,21q,gain,neutral
TOV3133D,14q,gain,neutral
TOV3133D,7p,gain,neutral
TOV3133G,7p,loss,neutral
TOV3392D,3p,loss,neutral
TOV3392D,9q,neutral,loss
