cell_line,subtype,chromosome,start,end,probes,weight,log2_raw,log2c,log2c_auto
OV1369-R2,HGS,chr1,14425,2561894,235,137.512,0.651811,0.5787026057627119,0.769684641304348
OV1369-R2,HGS,chr1,2562740,17019004,1294,875.397,0.306754,0.23364560576271193,0.42462764130434794
OV1369-R2,HGS,chr1,17022516,49843152,3915,2706.36,-0.31191,-0.3850183942372881,-0.19403635869565208
OV1369-R2,HGS,chr1,49844608,54018201,416,329.011,0.312782,0.2396736057627119,0.43065564130434797
OV1369-R2,HGS,chr1,54031617,55504706,216,153.539,1.03043,0.9573216057627119,1.148303641304348
OV1369-R2,HGS,chr1,55731371,57145479,79,64.4952,-1.46814,-1.541248394237288,-1.350266358695652
OV1369-R2,HGS,chr1,57290894,109758120,3031,2474.18,-0.338674,-0.4117823942372881,-0.22080035869565204
OV1369-R2,HGS,chr1,109759190,118115495,1032,796.986,-1.34048,-1.413588394237288,-1.222606358695652
OV1369-R2,HGS,chr1,118151176,120319932,152,114.601,-0.470262,-0.5433703942372881,-0.3523883586956521
OV1369-R2,HGS,chr1,120321920,121568884,43,30.3448,0.2182,0.1450916057627119,0.3360736413043479
OV1369-R2,HGS,chr1,143401653,143488023,16,11.0751,0.530567,0.4574586057627119,0.648440641304348
OV1369-R2,HGS,chr1,143544100,143874909,16,10.3099,-1.38685,-1.459958394237288,-1.268976358695652
OV1369-R2,HGS,chr1,143875996,145508650,49,35.0821,0.321334,0.2482256057627119,0.439207641304348
OV1369-R2,HGS,chr1,145509056,152315507,1248,883.595,-0.352041,-0.4251493942372881,-0.23416735869565206
OV1369-R2,HGS,chr1,152349596,152354258,15,10.5131,-1.58783,-1.6609383942372882,-1.469956358695652
OV1369-R2,HGS,chr1,152354258,156367914,956,644.328,-0.267896,-0.3410043942372881,-0.15002235869565209
OV1369-R2,HGS,chr1,156381307,169131603,1444,1029.98,-0.48322,-0.5563283942372881,-0.365346358695652
OV1369-R2,HGS,chr1,169132087,173521434,458,370.808,0.17841,0.10530160576271191,0.2962836413043479
OV1369-R2,HGS,chr1,173523909,173864501,57,47.9198,-0.449328,-0.522436394237288,-0.3314543586956521
OV1369-R2,HGS,chr1,173864765,177960472,241,181.273,0.0707378,-0.0023705942372880956,0.18861144130434793
OV1369-R2,HGS,chr1,177960742,182905692,541,415.502,-0.43762,-0.5107283942372881,-0.31974635869565204
OV1369-R2,HGS,chr1,182939162,194161288,590,483.983,0.232068,0.1589596057627119,0.3499416413043479
OV1369-R2,HGS,chr1,194166361,220267523,2307,1715.86,-0.422274,-0.4953823942372881,-0.3044003586956521
OV1369-R2,HGS,chr1,220579333,228483835,627,482.431,0.318194,0.24508560576271188,0.43606764130434794
OV1369-R2,HGS,chr1,228488903,236591001,620,480.822,-0.18605,-0.2591583942372881,-0.06817635869565206
OV1369-R2,HGS,chr1,236591929,242449455,371,302.657,-0.481518,-0.5546263942372881,-0.36364435869565204
OV1369-R2,HGS,chr1,242514967,246967503,289,235.408,0.392956,0.31984760576271193,0.5108296413043479
OV1369-R2,HGS,chr1,246986948,248937126,280,203.234,-9.40189e-4,-0.0740485832372881,0.11693345230434794
OV1369-R2,HGS,chr2,41500,25433062,1227,941.14,-0.262219,-0.3353273942372881,-0.14434535869565204
OV1369-R2,HGS,chr2,25433850,36548468,1160,846.508,0.165721,0.09261260576271191,0.28359464130434797
OV1369-R2,HGS,chr2,36548490,55249584,1227,996.104,0.309944,0.2368356057627119,0.42781764130434796
OV1369-R2,HGS,chr2,55252442,55319043,28,24.3357,-0.536901,-0.6100093942372881,-0.419027358695652
OV1369-R2,HGS,chr2,55322487,55866766,66,56.0627,0.515787,0.4426786057627119,0.633660641304348
OV1369-R2,HGS,chr2,55866766,59255325,53,43.2638,-0.230911,-0.3040193942372881,-0.11303735869565207
OV1369-R2,HGS,chr2,59277440,70948472,805,648.433,0.374692,0.3015836057627119,0.492565641304348
OV1369-R2,HGS,chr2,70957977,84697802,750,544.113,0.122981,0.049872605762711894,0.24085464130434792
OV1369-R2,HGS,chr2,84699541,87980851,504,375.862,0.361306,0.2881976057627119,0.479179641304348
OV1369-R2,HGS,chr2,87985688,92034838,215,146.419,0.0726777,-4.306942372881012e-4,0.19055134130434792
OV1369-R2,HGS,chr2,94795789,102758571,1035,761.769,0.258923,0.18581460576271192,0.376796641304348
OV1369-R2,HGS,chr2,102762204,111429680,588,457.773,-0.0943783,-0.1674866942372881,0.02349534130434794
OV1369-R2,HGS,chr2,111494826,149859174,1818,1389.56,0.630846,0.5577376057627119,0.748719641304348
OV1369-R2,HGS,chr2,150468610,152092259,274,221.973,1.16569,1.0925816057627118,1.2835636413043479
OV1369-R2,HGS,chr2,152119914,152714703,64,53.5281,1.72556,1.6524516057627119,1.843433641304348
OV1369-R2,HGS,chr2,152718823,157308767,75,59.8909,0.89503,0.8219216057627119,1.012903641304348
OV1369-R2,HGS,chr2,157311125,161231561,308,250.046,1.67731,1.604201605762712,1.795183641304348
OV1369-R2,HGS,chr2,161232668,178650337,1762,1461.65,0.667303,0.5941946057627119,0.7851766413043479
OV1369-R2,HGS,chr2,178650691,178664692,32,25.3793,1.39343,1.3203216057627118,1.511303641304348
OV1369-R2,HGS,chr2,178664692,182186105,356,304.793,0.572133,0.4990246057627119,0.690006641304348
OV1369-R2,HGS,chr2,182186405,183161396,79,70.249,1.28563,1.212521605762712,1.403503641304348
OV1369-R2,HGS,chr2,184598901,191054611,503,423.062,0.329622,0.2565136057627119,0.44749564130434794
OV1369-R2,HGS,chr2,191058002,203457662,1070,875.109,-0.240801,-0.3139093942372881,-0.12292735869565205
OV1369-R2,HGS,chr2,203459845,221502643,1447,1068.62,-0.413664,-0.4867723942372881,-0.29579035869565207
OV1369-R2,HGS,chr2,221519445,242175714,1637,1182.55,-0.250195,-0.3233033942372881,-0.13232135869565206
OV1369-R2,HGS,chr3,319719,33866557,1908,1438.97,-0.346536,-0.4196443942372881,-0.22866235869565207
OV1369-R2,HGS,chr3,35679806,46545269,1216,902.992,-1.32424,-1.3973483942372882,-1.2063663586956521
OV1369-R2,HGS,chr3,46551406,58849460,2083,1433.34,-0.281793,-0.3549013942372881,-0.16391935869565208
OV1369-R2,HGS,chr3,58863490,61200741,19,18.9799,-1.65947,-1.732578394237288,-1.541596358695652
OV1369-R2,HGS,chr3,61562227,71542149,485,381.623,-0.311982,-0.3850903942372881,-0.19410835869565204
OV1369-R2,HGS,chr3,71684058,89210549,306,240.783,-1.33213,-1.4052383942372881,-1.214256358695652
OV1369-R2,HGS,chr3,89340871,90257378,25,21.1517,0.346877,0.2737686057627119,0.46475064130434796
OV1369-R2,HGS,chr3,93874202,105853718,589,489.518,-0.465672,-0.5387803942372881,-0.347798358695652
