gene_symbol,chromosome,start,end,depth,sample_id
CCNE1,chr19,29817087,29817329,10.9711,SRR4039087
CCNE1,chr19,29817351,29817593,76.9504,SRR4039087
CCNE1,chr19,29820622,29820894,169.717,SRR4039087
CCNE1,chr19,29821707,29821829,109.623,SRR4039087
CCNE1,chr19,29821940,29822182,51.0041,SRR4039087
CCNE1,chr19,29822229,29822361,177.621,SRR4039087
CCNE1,chr19,29822402,29822644,25.8802,SRR4039087
CCND1,chr11,69643789,69644031,0.834711,SRR4039087
CCND1,chr11,69647945,69648187,1.2562,SRR4039087
CCND1,chr11,69652140,69652348,36.9327,SRR4039087
ERBB2,chr17,39708275,39708547,1.13603,SRR4039087
ERBB2,chr17,39709232,39709504,4.33456,SRR4039087
ERBB2,chr17,39709784,39709906,0.0,SRR4039087
ERBB2,chr17,39711835,39712058,4.41256,SRR4039087
ERBB2,chr17,39712281,39712504,3.49327,SRR4039087
ERBB2,chr17,39715230,39715382,0.842105,SRR4039087
ERBB2,chr17,39717247,39717519,0.996324,SRR4039087
ERBB2,chr17,39719718,39719870,3.30263,SRR4039087
ERBB2,chr17,39723868,39724020,6.07237,SRR4039087
ERBB2,chr17,39724696,39724938,2.6157,SRR4039087
ERBB2,chr17,39725004,39725246,2.05785,SRR4039087
ERBB2,chr17,39727238,39727600,0.709945,SRR4039087
AKT2,chr19,40232303,40232404,12.2079,SRR4039087
AKT2,chr19,40234870,40235157,1.87456,SRR4039087
AKT2,chr19,40236198,40236440,2.15702,SRR4039087
AKT2,chr19,40255146,40255279,0.661654,SRR4039087
AKT2,chr19,40256867,40257109,10.4421,SRR4039087
AKT2,chr19,40282516,40282666,1.88667,SRR4039087
NF1,chr17,31147562,31147664,640.539,SRR4039087
NF1,chr17,31155932,31156174,271.231,SRR4039087
NF1,chr17,31158959,31159111,183.901,SRR4039087
NF1,chr17,31163158,31163400,56.9959,SRR4039087
NF1,chr17,31169880,31170007,166.843,SRR4039087
NF1,chr17,31181393,31181515,478.926,SRR4039087
NF1,chr17,31181685,31181807,373.377,SRR4039087
NF1,chr17,31182464,31182706,238.074,SRR4039087
NF1,chr17,31200386,31200628,328.351,SRR4039087
NF1,chr17,31200945,31201217,432.504,SRR4039087
NF1,chr17,31201385,31201507,61.0492,SRR4039087
NF1,chr17,31206183,31206425,231.174,SRR4039087
NF1,chr17,31214395,31214637,650.0,SRR4039087
NF1,chr17,31218994,31219133,57.0288,SRR4039087
NF1,chr17,31223353,31223625,291.897,SRR4039087
NF1,chr17,31225050,31225292,154.397,SRR4039087
NF1,chr17,31226377,31226739,25.4972,SRR4039087
NF1,chr17,31227472,31227624,1525.51,SRR4039087
NF1,chr17,31228972,31229228,53.1875,SRR4039087
NF1,chr17,31229228,31229484,459.918,SRR4039087
NF1,chr17,31229752,31230024,338.89,SRR4039087
NF1,chr17,31230198,31230440,579.876,SRR4039087
NF1,chr17,31230821,31230943,1985.34,SRR4039087
NF1,chr17,31232062,31232250,136.559,SRR4039087
NF1,chr17,31232668,31232910,66.6116,SRR4039087
NF1,chr17,31232985,31233227,163.851,SRR4039087
NF1,chr17,31235569,31235811,251.876,SRR4039087
NF1,chr17,31235907,31236031,355.718,SRR4039087
NF1,chr17,31248929,31249171,138.983,SRR4039087
NF1,chr17,31249916,31250018,148.49,SRR4039087
NF1,chr17,31252906,31253028,98.3689,SRR4039087
NF1,chr17,31258300,31258542,356.826,SRR4039087
NF1,chr17,31259018,31259140,207.164,SRR4039087
NF1,chr17,31260319,31260561,372.831,SRR4039087
NF1,chr17,31261661,31261903,223.831,SRR4039087
NF1,chr17,31265218,31265349,528.069,SRR4039087
NF1,chr17,31294947,31295235,243.392,SRR4039087
