chromosome,arm,arm_start,arm_end,arm_bp,assessable
chr1,1p,0,121700000,121700000,TRUE
chr10,10p,0,38000000,38000000,TRUE
chr11,11p,0,51000000,51000000,TRUE
chr12,12p,0,33200000,33200000,TRUE
chr13,13p,0,16500000,16500000,FALSE
chr14,14p,0,16100000,16100000,FALSE
chr15,15p,0,17500000,17500000,FALSE
chr16,16p,0,35300000,35300000,TRUE
chr17,17p,0,22700000,22700000,TRUE
chr18,18p,0,15400000,15400000,TRUE
chr19,19p,0,24200000,24200000,TRUE
chr2,2p,0,91800000,91800000,TRUE
chr20,20p,0,25700000,25700000,TRUE
chr21,21p,0,10900000,10900000,FALSE
chr22,22p,0,13700000,13700000,FALSE
chr3,3p,0,87800000,87800000,TRUE
chr4,4p,0,48200000,48200000,TRUE
chr5,5p,0,46100000,46100000,TRUE
chr6,6p,0,58500000,58500000,TRUE
chr7,7p,0,58100000,58100000,TRUE
chr8,8p,0,43200000,43200000,TRUE
chr9,9p,0,42200000,42200000,TRUE
chr1,1q,125100000,248956422,123856422,TRUE
chr10,10q,41600000,133797422,92197422,TRUE
chr11,11q,55800000,135086622,79286622,TRUE
chr12,12q,37800000,133275309,95475309,TRUE
chr13,13q,18900000,114364328,95464328,TRUE
chr14,14q,18200000,107043718,88843718,TRUE
chr15,15q,20500000,101991189,81491189,TRUE
chr16,16q,38400000,90338345,51938345,TRUE
chr17,17q,27400000,83257441,55857441,TRUE
chr18,18q,21500000,80373285,58873285,TRUE
chr19,19q,28100000,58617616,30517616,TRUE
chr2,2q,96000000,242193529,146193529,TRUE
chr20,20q,30400000,64444167,34044167,TRUE
chr21,21q,13000000,46709983,33709983,TRUE
chr22,22q,17400000,50818468,33418468,TRUE
chr3,3q,94000000,198295559,104295559,TRUE
chr4,4q,51800000,190214555,138414555,TRUE
chr5,5q,51400000,181538259,130138259,TRUE
chr6,6q,62600000,170805979,108205979,TRUE
chr7,7q,62100000,159345973,97245973,TRUE
chr8,8q,47200000,145138636,97938636,TRUE
chr9,9q,45500000,138394717,92894717,TRUE
