cell_line,subtype,chromosome,start,end,probes,weight,log2_raw,log2c,log2c_auto
OV1369-R2,HGS,chr19,60655,8065860,721,419.502,-0.186721,-0.2598293942372881,-0.068847358695652
OV1369-R2,HGS,chr19,8071970,8868618,94,54.8909,-0.556611,-0.6297193942372881,-0.438737358695652
OV1369-R2,HGS,chr19,8871444,9036068,197,140.31,-1.26954,-1.342648394237288,-1.151666358695652
OV1369-R2,HGS,chr19,9093233,9810700,141,108.708,-0.59915,-0.6722583942372881,-0.481276358695652
OV1369-R2,HGS,chr19,9820254,12465249,530,342.743,-0.087887,-0.1609953942372881,0.0299866413043479
OV1369-R2,HGS,chr19,12465249,19680310,1026,579.986,0.330321,0.2572126057627119,0.4481946413043479
OV1369-R2,HGS,chr19,19711318,24162489,402,315.34,-0.155916,-0.2290243942372881,-0.038042358695652
OV1369-R2,HGS,chr19,28724163,36238506,629,407.521,0.244916,0.1718076057627119,0.3627896413043479
OV1369-R2,HGS,chr19,36315351,58599511,4124,2688.27,-0.49591,-0.5690183942372882,-0.3780363586956521
OV2085,HGS,chr19,60655,2515204,126,74.8855,-0.181594,-0.2738070491452992,-0.2807082322300596
OV2085,HGS,chr19,2524240,8603925,663,398.791,-0.688931,-0.7811440491452991,-0.7880452322300596
OV2085,HGS,chr19,8730988,9094196,227,164.986,-0.313683,-0.4058960491452991,-0.4127972322300596
OV2085,HGS,chr19,9102236,9566883,108,84.7437,0.176025,0.0838119508547008,0.0769107677699403
OV2085,HGS,chr19,9566883,10560484,180,113.714,-0.197115,-0.2893280491452992,-0.2962292322300596
OV2085,HGS,chr19,10560979,13506104,569,385.273,0.262084,0.1698709508547008,0.1629697677699403
OV2085,HGS,chr19,13751747,15822317,306,184.83,0.941567,0.8493539508547009,0.8424527677699404
OV2085,HGS,chr19,15823711,17205359,182,106.662,0.307821,0.2156079508547008,0.2087067677699403
OV2085,HGS,chr19,17209525,22769380,651,430.778,-0.436715,-0.5289280491452992,-0.5358292322300596
OV2085,HGS,chr19,22783963,24162489,99,80.8314,0.741342,0.6491289508547008,0.6422277677699403
OV2085,HGS,chr19,28724163,33694343,238,175.912,2.33854,2.246326950854701,2.2394257677699403
OV2085,HGS,chr19,33770376,34381552,50,32.4636,0.271123,0.1789099508547008,0.1720087677699403
OV2085,HGS,chr19,34393215,34944871,78,58.4285,-0.910486,-1.0026990491452992,-1.0096002322300597
OV2085,HGS,chr19,34957921,37347372,452,306.185,0.765226,0.6730129508547008,0.6661117677699403
OV2085,HGS,chr19,37347762,39341150,353,227.878,1.19064,1.0984269508547009,1.0915257677699404
OV2085,HGS,chr19,39369644,39604699,71,44.3502,0.235854,0.1436409508547008,0.1367397677699403
OV2085,HGS,chr19,39605160,40075747,92,65.2474,-0.371731,-0.4639440491452991,-0.4708452322300596
OV2085,HGS,chr19,40075747,42297401,330,185.986,0.392956,0.3007429508547009,0.2938417677699403
OV2085,HGS,chr19,42300113,45180530,512,363.634,0.942417,0.8502039508547008,0.8433027677699403
OV2085,HGS,chr19,45180530,48663562,413,244.97,-0.74914,-0.8413530491452992,-0.8482542322300597
OV2085,HGS,chr19,48663721,50060315,304,180.749,-0.101353,-0.1935660491452991,-0.2004672322300596
OV2085,HGS,chr19,50060315,50927340,100,51.8699,-0.747144,-0.8393570491452992,-0.8462582322300597
OV2085,HGS,chr19,50927340,51034163,28,18.5009,-2.04887,-2.141083049145299,-2.1479842322300597
OV2085,HGS,chr19,51034540,51581573,98,61.936,-0.856532,-0.9487450491452992,-0.9556462322300596
OV2085,HGS,chr19,51581772,52970185,345,268.56,-0.227658,-0.3198710491452992,-0.3267722322300596
OV2085,HGS,chr19,52970185,54947537,466,314.913,0.273546,0.1813329508547008,0.1744317677699403
OV2085,HGS,chr19,54969973,55287316,62,36.9697,-0.15064,-0.2428530491452991,-0.2497542322300596
OV2085,HGS,chr19,55289397,56151666,147,102.34,-0.722427,-0.8146400491452992,-0.8215412322300597
OV2085,HGS,chr19,56180547,56665512,107,78.6272,-1.74077,-1.8329830491452992,-1.8398842322300597
OV2085,HGS,chr19,56672806,58142607,412,314.86,-0.953869,-1.0460820491452991,-1.0529832322300596
OV2085,HGS,chr19,58183919,58599511,95,57.9998,0.743184,0.6509709508547008,0.6440697677699403
OV2295,HGS,chr19,60655,2524362,127,73.6682,-0.17872,-0.2453670574468084,-0.2478912430692435
OV2295,HGS,chr19,2524367,8868618,688,405.142,-0.78527,-0.8519170574468085,-0.8544412430692436
OV2295,HGS,chr19,8871444,9093473,198,141.875,-1.7625,-1.8291470574468085,-1.8316712430692432
OV2295,HGS,chr19,9093473,11616907,451,283.279,-0.837232,-0.9038790574468084,-0.9064032430692436
OV2295,HGS,chr19,11616907,12581764,237,186.146,-1.14999,-1.2166370574468086,-1.2191612430692436
OV2295,HGS,chr19,12582787,24162489,1410,887.839,-0.67064,-0.7372870574468084,-0.7398112430692436
OV2295,HGS,chr19,28724163,35768594,530,353.894,0.189691,0.1230439425531915,0.1205197569307564
OV2295,HGS,chr19,35777803,37887585,417,308.68,-0.167604,-0.2342510574468085,-0.2367752430692435
OV2295,HGS,chr19,37887585,42583351,760,435.287,0.0826805,0.0160334425531915,0.0135092569307564
OV2295,HGS,chr19,42588728,43267965,94,72.7192,-0.688301,-0.7549480574468086,-0.7574722430692437
OV2295,HGS,chr19,43267965,44892486,340,236.417,-0.136501,-0.2031480574468085,-0.2056722430692436
OV2295,HGS,chr19,44892820,50859632,843,478.512,0.244919,0.1782719425531915,0.1757477569307564
OV2295,HGS,chr19,50859927,52416490,350,250.086,-0.0661288,-0.1327758574468084,-0.1353000430692436
OV2295,HGS,chr19,52416490,52970426,131,98.9257,-0.625478,-0.6921250574468085,-0.6946492430692436
OV2295,HGS,chr19,53009345,53050856,16,11.0294,0.845407,0.7787599425531915,0.7762357569307564
OV2295,HGS,chr19,53068027,53762455,198,144.026,-0.349765,-0.4164120574468085,-0.4189362430692436
OV2295,HGS,chr19,53787830,58599511,1074,731.068,-0.0111984,-0.0778454574468084,-0.0803696430692435
OV2295-R2,HGS,chr19,60655,2515204,126,72.3994,0.261046,0.3013388942386831,0.2699797791900309
OV2295-R2,HGS,chr19,2524240,8868618,687,403.332,-0.428201,-0.3879081057613169,-0.419267220809969
OV2295-R2,HGS,chr19,8871444,9094196,201,143.53,-1.38035,-1.3400571057613169,-1.371416220809969
OV2295-R2,HGS,chr19,9102236,11616907,448,279.225,-0.453612,-0.4133191057613169,-0.444678220809969
OV2295-R2,HGS,chr19,11616907,12581499,236,184.399,-0.787425,-0.747132105761317,-0.778491220809969
OV2295-R2,HGS,chr19,12581499,19711832,1011,569.274,-0.385124,-0.3448311057613169,-0.376190220809969
OV2295-R2,HGS,chr19,19711832,22392247,261,203.956,-1.0014,-0.961107105761317,-0.992466220809969
OV2295-R2,HGS,chr19,22392247,24162489,139,110.356,-0.323188,-0.2828951057613169,-0.314254220809969
OV2295-R2,HGS,chr19,28724163,35768594,530,351.908,0.32751,0.3678028942386831,0.336443779190031
OV2295-R2,HGS,chr19,35777803,37740242,388,284.662,-0.0233555,0.016937394238683,-0.014421720809969
OV2295-R2,HGS,chr19,37769988,42589090,790,455.849,0.210293,0.2505858942386831,0.2192267791900309
OV2295-R2,HGS,chr19,42589413,43259175,91,70.0153,-0.599531,-0.5592381057613169,-0.590597220809969
OV2295-R2,HGS,chr19,43261787,44892486,342,236.704,-0.0093763,0.030916594238683,-0.0004425208099690277
OV2295-R2,HGS,chr19,44892820,50825617,837,472.131,0.330579,0.3708718942386831,0.339512779190031
OV2295-R2,HGS,chr19,50825719,52416490,356,251.99,0.078811,0.1191038942386831,0.0877447791900309
OV2295-R2,HGS,chr19,52416490,52970426,131,98.4764,-0.455991,-0.4156981057613169,-0.447057220809969
OV2295-R2,HGS,chr19,53009345,53050856,16,10.98,0.991783,1.032075894238683,1.0007167791900309
OV2295-R2,HGS,chr19,53068027,53796195,203,146.437,-0.189676,-0.1493831057613169,-0.180742220809969
OV2295-R2,HGS,chr19,53803914,58599511,1069,724.175,0.132781,0.1730738942386831,0.1417147791900309
OV3133-R,HGS,chr19,60655,8868618,815,474.265,0.155014,0.1585724417965165,0.1694214170286277
OV3133-R,HGS,chr19,8871444,9094196,201,143.2,-0.972424,-0.9688655582034834,-0.9580165829713724
OV3133-R,HGS,chr19,9102236,12581764,685,463.357,-0.10422,-0.1006615582034834,-0.0898125829713722
OV3133-R,HGS,chr19,12582787,17202315,659,383.634,0.342981,0.3465394417965164,0.3573884170286277
OV3133-R,HGS,chr19,17205237,19714180,357,187.807,0.00833032,0.0118887617965165,0.0227377370286277
OV3133-R,HGS,chr19,19714301,21807817,191,148.605,-0.410067,-0.4065085582034835,-0.3956595829713722
OV3133-R,HGS,chr19,21807817,22664791,81,62.2209,-0.919989,-0.9164305582034834,-0.9055815829713724
OV3133-R,HGS,chr19,22664791,22976573,32,26.0286,-1.67048,-1.6669215582034835,-1.6560725829713725
OV3133-R,HGS,chr19,22976573,24162489,90,71.8868,-0.944256,-0.9406975582034834,-0.9298485829713724
OV3133-R,HGS,chr19,28724163,31279770,53,37.8634,0.254658,0.2582164417965165,0.2690654170286277
OV3133-R,HGS,chr19,32347181,33814222,192,137.27,1.05447,1.0580284417965165,1.0688774170286277
OV3133-R,HGS,chr19,34022622,35768594,285,175.828,0.165276,0.1688344417965165,0.1796834170286277
OV3133-R,HGS,chr19,35777803,38946103,619,413.982,-0.107284,-0.1037255582034835,-0.0928765829713722
OV3133-R,HGS,chr19,38952515,42729187,566,329.792,0.227827,0.2313854417965165,0.2422344170286277
OV3133-R,HGS,chr19,42729187,43267965,86,66.0422,-0.713842,-0.7102835582034834,-0.6994345829713723
OV3133-R,HGS,chr19,43267965,43608177,47,25.2195,-0.0544297,-0.0508712582034834,-0.0400222829713722
OV3133-R,HGS,chr19,43610887,47169933,554,357.102,0.493254,0.4968124417965165,0.5076614170286278
OV3133-R,HGS,chr19,47197193,52416490,932,574.281,0.206239,0.2097974417965165,0.2206464170286277
OV3133-R,HGS,chr19,52416490,58599511,1419,977.697,-0.100616,-0.0970575582034835,-0.0862085829713722
OV3133-R2,HGS,chr19,60655,8868618,815,468.585,-0.333901,-0.33017524275,-0.3253707038983051
OV3133-R2,HGS,chr19,8871444,9094196,201,141.919,-1.49025,-1.48652424275,-1.4817197038983052
OV3133-R2,HGS,chr19,9102236,10155100,227,153.614,-0.721107,-0.7173812427500001,-0.7125767038983052
OV3133-R2,HGS,chr19,10155836,11003428,123,68.948,-0.173444,-0.16971824275,-0.1649137038983051
OV3133-R2,HGS,chr19,11007810,13960642,536,351.839,-0.696162,-0.69243624275,-0.6876317038983051
OV3133-R2,HGS,chr19,13961669,15822317,277,162.162,0.141783,0.1455087572499999,0.1503132961016949
OV3133-R2,HGS,chr19,15823711,21933248,740,442.24,-0.689251,-0.68552524275,-0.6807207038983051
OV3133-R2,HGS,chr19,21970648,21974302,13,11.0941,-1.80042,-1.79669424275,-1.791889703898305
OV3133-R2,HGS,chr19,21974302,22215692,23,16.1961,-1.1487,-1.14497424275,-1.1401697038983052
OV3133-R2,HGS,chr19,22303698,24162489,156,123.238,-2.16519,-2.16146424275,-2.156659703898305
OV3133-R2,HGS,chr19,28724163,31279770,53,37.5035,-0.0292185,-0.02549274275,-0.0206882038983051
OV3133-R2,HGS,chr19,32347181,33811862,190,134.785,0.875303,0.87902875725,0.8838332961016949
OV3133-R2,HGS,chr19,33813628,40036375,1079,691.577,-0.158947,-0.15522124275,-0.1504167038983051
OV3133-R2,HGS,chr19,40036375,40443842,54,32.8225,0.670501,0.6742267572499999,0.6790312961016949
OV3133-R2,HGS,chr19,40447845,42589090,332,181.097,-0.136814,-0.13308824275,-0.1282837038983051
OV3133-R2,HGS,chr19,42589413,43267965,93,70.7499,-0.798673,-0.7949472427500001,-0.7901427038983051
OV3133-R2,HGS,chr19,43267965,43608177,47,24.901,-0.269161,-0.26543524275,-0.260630703898305
OV3133-R2,HGS,chr19,43610887,47169933,554,353.299,0.441098,0.4448237572499999,0.4496282961016949
OV3133-R2,HGS,chr19,47197193,52416490,932,567.891,0.065767,0.0694927572499999,0.0742972961016949
OV3133-R2,HGS,chr19,52416490,58599511,1419,968.509,-0.225802,-0.22207624275,-0.2172717038983051
OV3291,HGS,chr19,60655,7122813,607,364.031,0.340778,0.2691346161634103,0.2840855040013013
OV3291,HGS,chr19,7125222,8862966,203,122.144,-0.33414,-0.4057833838365897,-0.3908324959986987
OV3291,HGS,chr19,8863238,9094196,206,149.671,-0.903689,-0.9753323838365896,-0.9603814959986988
OV3291,HGS,chr19,9102236,16086601,1190,781.928,0.225638,0.1539946161634102,0.1689455040013012
OV3291,HGS,chr19,16089020,18788935,373,197.919,0.663619,0.5919756161634102,0.6069265040013012
OV3291,HGS,chr19,18790504,24162489,532,401.23,0.0715577,-8.568383658971723e-05,0.0148652040013012
OV3291,HGS,chr19,28724163,30549282,39,28.3614,1.2973,1.2256566161634102,1.2406075040013012
OV3291,HGS,chr19,30557098,33811862,204,150.057,0.258925,0.1872816161634103,0.2022325040013012
OV3291,HGS,chr19,33813628,44428506,1830,1209.98,-0.0632897,-0.1349330838365897,-0.1199821959986987
OV3291,HGS,chr19,44428506,45407245,133,82.435,0.438414,0.3667706161634103,0.3817215040013013
OV3291,HGS,chr19,45408048,47081632,185,108.644,1.2057,1.1340566161634102,1.1490075040013012
OV3291,HGS,chr19,47082147,48212022,134,79.909,0.420881,0.3492376161634103,0.3641885040013012
OV3291,HGS,chr19,48215299,48617433,52,31.4814,1.79876,1.7271166161634102,1.7420675040013012
OV3291,HGS,chr19,48617771,48704295,16,9.77087,0.854886,0.7832426161634103,0.7981935040013013
OV3291,HGS,chr19,48704295,54157073,1152,775.976,-0.449755,-0.5213983838365898,-0.5064474959986988
OV3291,HGS,chr19,54158219,56247551,422,271.486,-0.213265,-0.2849083838365897,-0.2699574959986988
OV3291,HGS,chr19,56373215,58599511,586,431.345,-0.503704,-0.5753473838365898,-0.5603964959986988
OV3331,HGS,chr19,60655,327314,24,18.1002,0.529377,0.5838473040575245,0.5890681210588583
OV3331,HGS,chr19,327804,4423899,268,149.603,-0.815428,-0.7609576959424755,-0.7557368789411417
OV3331,HGS,chr19,4429655,8868618,523,308.538,-0.0674491,-0.0129787959424755,-0.0077579789411416
OV3331,HGS,chr19,8871444,9036068,197,140.719,-0.976858,-0.9223876959424756,-0.9171668789411416
OV3331,HGS,chr19,9093233,12581764,689,467.901,-0.230567,-0.1760966959424755,-0.1708758789411416
OV3331,HGS,chr19,12582787,19624592,985,552.646,-0.0109203,0.0435500040575244,0.0487708210588583
OV3331,HGS,chr19,19626461,24162489,425,330.867,-0.435712,-0.3812416959424755,-0.3760208789411416
OV3331,HGS,chr19,28724163,33811862,243,174.558,0.105078,0.1595483040575244,0.1647691210588583
OV3331,HGS,chr19,33813628,37207135,564,374.295,-0.232255,-0.1777846959424755,-0.1725638789411416
OV3331,HGS,chr19,37230395,38946103,342,218.813,2.28246,2.336930304057524,2.3421511210588584
OV3331,HGS,chr19,38952515,40441312,225,140.029,2.9045,2.9589703040575244,2.9641911210588585
