cell_line,sample_id,chromosome,segment_start,segment_end,segment_log2,segment_probes,segment_recorded_weight,contributing_target_bins,contributing_antitarget_bins,contributing_target_weight,contributing_antitarget_weight,antitarget_fraction_contributing_weight,target_only_raw_weighted_mean,all_bins_raw_weighted_mean,raw_weighted_mean_change_removing_antitargets,archived_segment_minus_target_only_raw_mean,archived_autosome_centered_log2,target_only_log2_at_unchanged_autosome_center,autosomal_gain_loss_label_changes_at_fixed_center
OV1369-R2,OV1369_R2_P66,chr1,143401653,248937126,-0.225829,10126,9068.3,10125,1,7540.3503093,0.927647,0.00012300925723405297,-0.22802049631874258,-0.2258291945882125,-0.0021913017305300875,0.002191496318742575,-0.03635453251770787,-0.03854602883645045,False
OV1369-R2,OV1369_R2_P66,chr9,60383628,87010210,-0.22767,1343,1320.7,1342,1,1018.0665738,0.820495,0.0008052855170360956,-0.23922781802605966,-0.2276697741842422,-0.011558043841817467,0.011557818026059652,-0.03819553251770788,-0.04975335054376753,False
OV1369-R2,OV1369_R2_P66,chrX,49529817,156023232,0.339322,5723,4616.72,5721,2,3680.548939458,1.774265,0.0004818330443813265,0.3307183676854866,0.3393222130182381,-0.008603845332751492,0.008603632314513388,0.5287964674822921,0.5201928351677787,False
OV2085,OV2085_P64,chr1,143401653,212100525,0.850576,7459,6558.59,7458,1,5584.0017798,0.927787,0.00016612331255085006,0.8476464528358663,0.8505764284317516,-0.00292997559588537,0.002929547164133739,0.7500497680819913,0.7471202209178576,False
OV2085,OV2085_P64,chr9,60383628,129667614,-0.775231,4979,4630.56,4978,1,3726.4015849,0.820585,0.0002201599375070298,-0.7781495321166261,-0.7752311911600139,-0.002918340956612142,0.0029185321166260714,-0.8757572319180087,-0.8786757640346348,False
OV2085,OV2085_P64,chrX,131544775,156023232,0.430412,1419,1159.59,1417,2,932.226991,1.774839,0.0019002521654588192,0.3963666483667786,0.43041227768292173,-0.03404562931614313,0.03404535163322142,0.32988576808199127,0.29584041644876985,False
OV2295,OV2295_P61,chr1,143401653,145290970,0.514619,74,67.2207,73,1,50.675882,0.926278,0.017950372620060866,0.20609735928903022,0.5146194360980721,-0.3085220768090419,0.3085216407109698,0.46051671927710847,0.15199507856613864,True
OV2295,OV2295_P61,chr1,145242301,147474206,-0.20205,326,269.698,326,0,244.0964303,0,0.0,-0.20205030304843422,-0.20205030304843422,0.0,3.0304843420814187e-07,-0.2561522807228916,-0.25615258377132577,False
OV2295,OV2295_P61,chr9,60383628,138243727,0.152561,5844,5200.17,5843,1,4180.4377059,0.819613,0.00019602070322130352,0.14970022073866382,0.15256120166512038,-0.0028609809264565633,0.0028607792613361827,0.09845871927710843,0.09559794001577225,False
OV2295,OV2295_P61,chrX,49529817,156023232,-0.193117,5723,4645.67,5721,2,3711.40971458,1.768629,0.00047631135279508426,-0.2013474528745238,-0.1931169912211616,-0.008230461653362192,0.008230452874523786,-0.24721928072289157,-0.25544973359741535,False
OV2295-R2,OV2295_R2_P70,chr1,143401653,220882375,-0.14061,7982,6984.14,7981,1,5880.282509,0.927929,0.00015777857462885773,-0.14340060360341683,-0.140610399860872,-0.0027902037425448223,0.002790603603416819,-0.1343349131678486,-0.13712551677126542,False
OV2295-R2,OV2295_R2_P70,chr9,60383628,138243727,-0.38567,5844,5180.47,5843,1,4158.25574265,0.820677,0.0001973219333317907,-0.38856380754992775,-0.38566995041382796,-0.0028938571360997978,0.0028938075499277405,-0.37939491316784857,-0.3822887207177763,False
OV2295-R2,OV2295_R2_P70,chrX,49529817,156023232,-0.34383,5723,4626.47,5721,2,3689.90500292,1.7754240000000001,0.0004809257017626662,-0.3524881758882409,-0.3438302417700229,-0.00865793411821797,0.00865817588824086,-0.3375549131678486,-0.3462130890560895,False
OV3133-R,OV3133_R_P71,chr1,143401653,156347042,1.00939,2300,1783.31,2299,1,1594.1374168,0.924904,0.0005798544595650134,0.9994664161510438,1.0093919783655005,-0.009925562214456729,0.009923583848956197,1.021094809322034,1.0111712254730776,False
OV3133-R,OV3133_R_P71,chr9,60383628,98771090,0.116757,2319,2183.12,2318,1,1714.4759364,0.818728,0.00047731041027075443,0.10998551892516174,0.11675741501388688,-0.006771896088725138,0.0067714810748382565,0.12846180932203388,0.12169032824719563,False
OV3133-R,OV3133_R_P71,chrX,118444304,141590718,1.3913,1389,1134.94,1387,2,937.8035599,1.762975,0.0018763705757013122,1.3596092271609015,1.391298767598413,-0.03168954043751149,0.03169077283909849,1.403004809322034,1.3713140364829353,False
OV3133-R2,OV3133_R2_P58,chr1,143875996,156347042,1.14734,2268,1742.76,2267,1,1558.7010293,0.925692,0.0005935343293095192,1.1372434672577798,1.147336255314647,-0.010092788056867086,0.010096532742220221,1.1517896540599601,1.14169312131774,False
OV3133-R2,OV3133_R2_P58,chr9,60383628,98771090,0.0699783,2319,2167.41,2318,1,1698.26736149,0.819235,0.0004821620049810226,0.06301543757237286,0.06997828342669248,-0.00696284585431961,0.006962862427627128,0.07442795405996011,0.06746509163233298,False
OV3133-R2,OV3133_R2_P58,chrX,118444304,135883135,0.977865,1082,876.202,1080,2,720.9414926,1.766218,0.002443889796794428,0.9350981166140137,0.9778651184006835,-0.04276700178666981,0.04276688338598633,0.9823146540599601,0.9395477706739738,False
