cell_line,histotype_code,patient_id,rna_passage,wes_passage,tmt_plex,gene,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,rna_rank_all_models_desc,rna_n_measured_models,rna_rank_within_histotype_desc,rna_n_measured_within_histotype,rna_histotype_patient_median_log2_tpm_plus1,rna_histotype_measured_patients,rna_log2_tpm_plus1_delta_histotype_patient_median,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides,protein_log2_normalised,protein_rank_all_models_desc,protein_n_measured_models,interpretation,chromosome,gene_start,gene_end,segments_overlapping_gene,segment_start_min,segment_end_max,locus_segment_span_mb,gene_segment_log2_raw,gene_segment_log2c_auto,ratio_to_autosomal_baseline,autosomal_center,arm_length_weighted_median_log2,locus_minus_arm_log2,target_bins_overlapping_gene,positive_target_bins,gene_target_median_log2c_auto,gene_target_min_log2c_auto,gene_target_max_log2c_auto,strong_relative_gain_screen,clinical_amplification_status,wes_available
OV1369-R2,HGS,1369,p69,P66,1.0,CCNE1,ENSG00000105173,20.889146,4.452143764088775,23.0,31,13.0,15,5.363526958361573,12.0,-0.9113831942727977,CCNE1,P24864,True,5,12.5268281602376,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,36238506.0,7.514343,0.24491600000000002,0.3627896413043479,1.2859099718230904,-0.11787364130434796,-0.3780363586956521,0.740826,7.0,7.0,0.31536364130434796,-0.01617935869565204,0.746596641304348,False,not established: absolute copy number/ploidy unavailable,True
OV1946,HGS,OV1946,p64,NA,5.0,CCNE1,ENSG00000105173,11.168444,3.6050727948204435,28.0,31,15.0,15,5.363526958361573,12.0,-1.758454163541129,CCNE1,P24864,True,5,12.87903110503067,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
OV2085,HGS,OV2085,p68,P64,2.0,CCNE1,ENSG00000105173,124.433068,6.97077392667497,3.0,31,2.0,15,5.363526958361573,12.0,1.6072469683133974,CCNE1,P24864,True,5,12.75083660083464,20.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,33694343.0,4.97018,2.33854,2.2394257677699403,4.722090749872109,0.09911423223005969,0.2938417677699403,1.945584,7.0,7.0,2.41354576776994,1.97651576776994,2.5577657677699404,True,not established: absolute copy number/ploidy unavailable,True
OV2295,HGS,2295,p64,P61,5.0,CCNE1,ENSG00000105173,63.68155599999999,6.0152824800452915,9.0,31,6.0,15,5.363526958361573,12.0,0.651755521683719,CCNE1,P24864,True,5,13.00837609647668,6.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,35768594.0,7.044431,0.18969100000000003,0.1205197569307564,1.087126448910872,0.0691712430692435,0.0135092569307564,0.1070105,7.0,7.0,-0.059824053069243495,-0.6007752430692435,0.2658287569307565,False,not established: absolute copy number/ploidy unavailable,True
OV2295-R2,HGS,2295,p67,P70,3.0,CCNE1,ENSG00000105173,26.052390000000003,4.75768415248219,19.0,31,10.0,15,5.363526958361573,12.0,-0.6058428058793828,CCNE1,P24864,True,5,12.85719232121803,14.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,35768594.0,7.044431,0.32751,0.33644377919003104,1.2626403659812804,-0.00893377919003091,0.2192267791900309,0.11721700000000015,7.0,7.0,0.03776597919003091,-0.11832922080996908,0.6355057791900309,False,not established: absolute copy number/ploidy unavailable,True
OV3133-R,HGS,3133,p64,P71,1.0,CCNE1,ENSG00000105173,28.623159500000003,4.88865361640179,17.0,31,9.0,15,5.363526958361573,12.0,-0.4748733419597828,CCNE1,P24864,True,5,12.56462325526477,26.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,31279770.0,2.555607,0.254658,0.2690654170286277,1.2050269540510943,-0.0144074170286278,0.2206464170286277,0.04841899999999999,7.0,7.0,0.4751964170286278,-0.0004244829713722,0.9532924170286278,False,not established: absolute copy number/ploidy unavailable,True
OV3133-R2,HGS,3133,NA,P58,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,31279770.0,2.555607,-0.0292185,-0.0206882038983051,0.985762357460592,-0.008530296101694895,-0.1282837038983051,0.1075955,7.0,7.0,0.1006487961016949,-0.1410197038983051,0.6850952961016948,False,not established: absolute copy number/ploidy unavailable,True
OV3291,HGS,3291,NA,P46,NA,CCNE1,ENSG00000105173,NA,NA,NA,31,NA,15,5.363526958361573,12.0,NA,CCNE1,P24864,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,chr19,29811990.0,29824312.0,1.0,28724163.0,30549282.0,1.825119,1.2973,1.2406075040013012,2.3629801399551553,0.0566924959986988,-0.1199821959986987,1.3605896999999998,7.0,7.0,1.5602475040013013,1.1418975040013013,1.7425375040013014,True,not established: absolute copy number/ploidy unavailable,True
OV4453,HGS,OV4453,p60,NA,4.0,CCNE1,ENSG00000105173,95.830162,6.597384603026275,4.0,31,3.0,15,5.363526958361573,12.0,1.2338576446647025,CCNE1,P24864,True,5,13.08428902067678,2.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
OV4485,HGS,OV4485,p60,NA,2.0,CCNE1,ENSG00000105173,75.291538,6.253451141954366,6.0,31,4.0,15,5.363526958361573,12.0,0.8899241835927931,CCNE1,P24864,True,5,12.6728151115768,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
OV866-2,HGS,OV866-2,p67,NA,1.0,CCNE1,ENSG00000105173,65.88184899999999,6.063542827268137,8.0,31,5.0,15,5.363526958361573,12.0,0.7000158689065641,CCNE1,P24864,True,5,12.56484476560326,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed: WES unavailable,False
