chromosome,start,end,log2,probes,span_bp,log2_at_archived_center,log2_at_new_center
chr1,57290894,109758120,-0.338674,3031,52467226,-0.14919953251770782,-0.22080035869565204
chr1,145509056,152315507,-0.352041,1248,6806451,-0.16256653251770783,-0.23416735869565206
chr3,319719,33866557,-0.346536,1908,33546838,-0.15706153251770785,-0.22866235869565207
chr4,36067342,44650879,-0.320109,547,8583537,-0.13063453251770782,-0.20223535869565204
chr4,49197114,190060527,-0.359791,6353,140863413,-0.17031653251770787,-0.2419173586956521
chr5,50399179,70795967,-0.384039,1104,20396788,-0.19456453251770786,-0.26616535869565205
chr5,141478264,147418658,-0.384836,367,5940394,-0.19536153251770785,-0.2669623586956521
chr6,155946740,170745941,-0.350981,851,14799201,-0.16150653251770783,-0.23310735869565205
chr7,6824626,37342711,-0.375118,1620,30518085,-0.18564353251770785,-0.2572443586956521
chr7,38216989,53780051,-0.348621,805,15563062,-0.15914653251770786,-0.23074735869565208
chr9,27378275,43042488,-0.335531,1316,15664213,-0.14605653251770787,-0.2176573586956521
chr9,81584108,87010210,-0.341401,362,5426102,-0.15192653251770785,-0.22352735869565207
chr11,7728033,20408059,-0.363269,1160,12680026,-0.17379453251770785,-0.24539535869565207
chr12,100047519,133227152,-0.337843,3169,33179633,-0.14836853251770785,-0.21996935869565207
chr14,35831392,51728832,-0.358698,699,15897440,-0.16922353251770786,-0.24082435869565208
chr15,35450621,45689247,-0.381838,1606,10238626,-0.19236353251770785,-0.26396435869565205
chr15,47242190,59158392,-0.353964,1158,11916202,-0.16448953251770784,-0.23609035869565206
chr15,75943583,101976614,-0.334405,1863,26033031,-0.14493053251770785,-0.21653135869565207
chr16,71374697,79595604,-0.320363,604,8220907,-0.13088853251770785,-0.20248935869565207
chr17,7669557,16949040,-0.386764,1104,9279483,-0.19728953251770784,-0.26889035869565203
chr17,26981748,36157015,-0.350114,1289,9175267,-0.16063953251770782,-0.23224035869565204
chr21,8594486,18561810,-0.318555,304,9967324,-0.12908053251770782,-0.20068135869565204
chr21,20998481,29654896,-0.344789,238,8656415,-0.15531453251770785,-0.22691535869565208
chr22,17696113,27060356,-0.348595,1090,9364243,-0.15912053251770783,-0.23072135869565205
