ensembl_gene_id,external_gene_name,gene_biotype,seq_region,primary_assembly
ENSG00000237235,TRDD2,TR_D_gene,14,TRUE
ENSG00000228985,TRDD3,TR_D_gene,14,TRUE
ENSG00000223997,TRDD1,TR_D_gene,14,TRUE
ENSG00000282431,TRBD1,TR_D_gene,7,TRUE
ENSG00000282253,TRBD1,TR_D_gene,CHR_HSCHR7_2_CTG6,FALSE
ENSG00000237197,IGHD1-7,IG_D_gene,14,TRUE
ENSG00000211918,IGHD2-15,IG_D_gene,14,TRUE
ENSG00000237020,IGHD1-20,IG_D_gene,14,TRUE
ENSG00000227800,IGHD4-17,IG_D_gene,14,TRUE
ENSG00000211907,IGHD1-26,IG_D_gene,14,TRUE
ENSG00000211930,IGHD3-3,IG_D_gene,14,TRUE
ENSG00000211920,IGHD6-13,IG_D_gene,14,TRUE
ENSG00000211911,IGHD3-22,IG_D_gene,14,TRUE
ENSG00000227196,IGHD4-23,IG_D_gene,14,TRUE
ENSG00000232543,IGHD4-11,IG_D_gene,14,TRUE
ENSG00000211917,IGHD3-16,IG_D_gene,14,TRUE
ENSG00000211914,IGHD6-19,IG_D_gene,14,TRUE
ENSG00000211912,IGHD2-21,IG_D_gene,14,TRUE
ENSG00000211909,IGHD5-24,IG_D_gene,14,TRUE
ENSG00000211928,IGHD5-5,IG_D_gene,14,TRUE
ENSG00000228131,IGHD6-6,IG_D_gene,14,TRUE
ENSG00000211925,IGHD2-8,IG_D_gene,14,TRUE
ENSG00000225825,IGHD6-25,IG_D_gene,14,TRUE
ENSG00000233655,IGHD4-4,IG_D_gene,14,TRUE
ENSG00000211915,IGHD5-18,IG_D_gene,14,TRUE
ENSG00000236597,IGHD7-27,IG_D_gene,14,TRUE
ENSG00000211924,IGHD3-9,IG_D_gene,14,TRUE
ENSG00000211923,IGHD3-10,IG_D_gene,14,TRUE
ENSG00000211921,IGHD5-12,IG_D_gene,14,TRUE
ENSG00000236170,IGHD1-1,IG_D_gene,14,TRUE
ENSG00000227108,IGHD1-14,IG_D_gene,14,TRUE
ENSG00000211931,IGHD2-2,IG_D_gene,14,TRUE
ENSG00000282010,IGHD6-6,IG_D_gene,CHR_HSCHR14_3_CTG1,FALSE
ENSG00000281939,IGHD3-9,IG_D_gene,CHR_HSCHR14_3_CTG1,FALSE
ENSG00000282455,IGHD7-27,IG_D_gene,CHR_HSCHR14_3_CTG1,FALSE
ENSG00000282323,IGHD1-26,IG_D_gene,CHR_HSCHR14_3_CTG1,FALSE
ENSG00000282592,IGHD1-20,IG_D_gene,CHR_HSCHR14_3_CTG1,FALSE
ENSG00000282769,IGHD5-5,IG_D_gene,CHR_HSCHR14_3_CTG1,FALSE
ENSG00000282232,IGHD3-16,IG_D_gene,CHR_HSCHR14_3_CTG1,FALSE
ENSG00000282346,IGHD5-18,IG_D_gene,CHR_HSCHR14_3_CTG1,FALSE
