ensembl_transcript_id,ensembl_gene_id,external_gene_name,gene_biotype,transcript_id_versioned,gene_id_versioned,seq_region,primary_assembly,transcript_length
ENST00000434970,ENSG00000237235,TRDD2,TR_D_gene,ENST00000434970.2,ENSG00000237235.2,14,True,9
ENST00000448914,ENSG00000228985,TRDD3,TR_D_gene,ENST00000448914.1,ENSG00000228985.1,14,True,13
ENST00000415118,ENSG00000223997,TRDD1,TR_D_gene,ENST00000415118.1,ENSG00000223997.1,14,True,8
ENST00000632684,ENSG00000282431,TRBD1,TR_D_gene,ENST00000632684.1,ENSG00000282431.1,7,True,12
ENST00000631435,ENSG00000282253,TRBD1,TR_D_gene,ENST00000631435.1,ENSG00000282253.1,CHR_HSCHR7_2_CTG6,False,12
ENST00000430425,ENSG00000237197,IGHD1-7,IG_D_gene,ENST00000430425.1,ENSG00000237197.1,14,True,17
ENST00000390578,ENSG00000211918,IGHD2-15,IG_D_gene,ENST00000390578.1,ENSG00000211918.1,14,True,31
ENST00000450276,ENSG00000237020,IGHD1-20,IG_D_gene,ENST00000450276.1,ENSG00000237020.1,14,True,17
ENST00000431870,ENSG00000227800,IGHD4-17,IG_D_gene,ENST00000431870.1,ENSG00000227800.1,14,True,16
ENST00000390567,ENSG00000211907,IGHD1-26,IG_D_gene,ENST00000390567.1,ENSG00000211907.1,14,True,20
ENST00000390590,ENSG00000211930,IGHD3-3,IG_D_gene,ENST00000390590.1,ENSG00000211930.1,14,True,31
ENST00000390580,ENSG00000211920,IGHD6-13,IG_D_gene,ENST00000390580.1,ENSG00000211920.1,14,True,21
ENST00000390571,ENSG00000211911,IGHD3-22,IG_D_gene,ENST00000390571.1,ENSG00000211911.1,14,True,31
ENST00000437320,ENSG00000227196,IGHD4-23,IG_D_gene,ENST00000437320.1,ENSG00000227196.1,14,True,19
ENST00000431440,ENSG00000232543,IGHD4-11,IG_D_gene,ENST00000431440.2,ENSG00000232543.2,14,True,16
ENST00000390577,ENSG00000211917,IGHD3-16,IG_D_gene,ENST00000390577.1,ENSG00000211917.1,14,True,37
ENST00000390574,ENSG00000211914,IGHD6-19,IG_D_gene,ENST00000390574.1,ENSG00000211914.1,14,True,21
ENST00000390572,ENSG00000211912,IGHD2-21,IG_D_gene,ENST00000390572.1,ENSG00000211912.1,14,True,28
