cell_line,sample_id,chromosome,antitarget_start,antitarget_end,antitarget_length,overlapping_target_bins,target_overlap_bp,depth,cnr_log2,cnr_weight,segment_start,segment_end,segment_log2,segment_probes,segment_recorded_weight,bin_weight_fraction_of_segment_recorded_weight,bin_is_contributor_to_segment,cnr_source,cns_source
OV1369-R2,OV1369_R2_P66,chr1,145242279,145290970,48691,2,265,0.750775,17.5861,0.927647,143401653,248937126,-0.225829,10126,9068.3,0.00010229557910523472,True,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cnr,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cns
OV1369-R2,OV1369_R2_P66,chr9,67727116,67844434,117318,1,88,0.0552174,14.1135,0.820495,60383628,87010210,-0.22767,1343,1320.7,0.000621257666389036,True,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cnr,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cns
OV1369-R2,OV1369_R2_P66,chrX,135764982,135776495,11513,44,11513,0.300443,18.3282,0.797068,49529817,156023232,0.339322,5723,4616.72,0.0001726481138124036,True,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cnr,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cns
OV1369-R2,OV1369_R2_P66,chrX,135782267,135793757,11490,44,11490,0.236989,18.0722,0.977197,49529817,156023232,0.339322,5723,4616.72,0.00021166477499176903,True,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cnr,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cns
OV2085,OV2085_P64,chr1,145242279,145290970,48691,2,265,1.37305,18.485,0.927787,143401653,212100525,0.850576,7459,6558.59,0.00014146135068665675,True,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cns
OV2085,OV2085_P64,chr9,67727116,67844434,117318,1,88,0.0174227,12.4774,0.820585,60383628,129667614,-0.775231,4979,4630.56,0.00017721074772813653,True,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cns
OV2085,OV2085_P64,chrX,135764982,135776495,11513,44,11513,0.266395,18.1826,0.797355,131544775,156023232,0.430412,1419,1159.59,0.0006876180374097743,True,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cns
OV2085,OV2085_P64,chrX,135782267,135793757,11490,44,11490,0.295561,18.4189,0.977484,131544775,156023232,0.430412,1419,1159.59,0.0008429565622332032,True,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cns
OV2295,OV2295_P61,chr1,145242279,145290970,48691,2,265,0.665503,17.3936,0.926278,143401653,145290970,0.514619,74,67.2207,0.013779654183904663,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cns
OV2295,OV2295_P61,chr1,145242279,145290970,48691,2,265,0.665503,17.3936,0.926278,145242301,147474206,-0.20205,326,269.698,0.00343450081201937,False,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cns
OV2295,OV2295_P61,chr9,67727116,67844434,117318,1,88,0.0866448,14.745,0.819613,60383628,138243727,0.152561,5844,5200.17,0.0001576127318914574,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cns
OV2295,OV2295_P61,chrX,135764982,135776495,11513,44,11513,0.109528,16.8539,0.794251,49529817,156023232,-0.193117,5723,4645.67,0.00017096586714079992,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cns
OV2295,OV2295_P61,chrX,135782267,135793757,11490,44,11490,0.136815,17.2611,0.974378,49529817,156023232,-0.193117,5723,4645.67,0.00020973896122626013,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cns
OV2295-R2,OV2295_R2_P70,chr1,145242279,145290970,48691,2,265,0.743484,17.5409,0.927929,143401653,220882375,-0.14061,7982,6984.14,0.0001328623137565971,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cnr,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cns
