task_id	cell_line	patient_id	gene	genome_build	chromosome	gene_start_0based	gene_end_exclusive	review_start_0based	review_end_exclusive	purpose	gene_segment_log2	positive_bin_median_log2	target_bins	zero_depth_target_bins	annotation_source
MEX03	OV3331	OV3331	AKT2	GRCh38	chr19	40230316	40285536	40229316	40286536	same-model DNA/RNA/protein concordance; resolve amplicon and absolute CN	2.964191121058858	3.219126121058858	6.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000105221
MEX03	TOV2929D	TOV2929D	CCNE1	GRCh38	chr19	29811990	29824312	29810990	29825312	relative gain/bin-segment sensitivity; absolute CN and local boundaries	3.0437563593541213	2.6194163593541213	7.0	0.0	https://www.ncbi.nlm.nih.gov/gene/898
MEX03	OV2085	OV2085	CCNE1	GRCh38	chr19	29811990	29824312	29810990	29825312	relative gain/bin-segment sensitivity; absolute CN and local boundaries	2.2394257677699403	2.41354576776994	7.0	0.0	https://www.ncbi.nlm.nih.gov/gene/898
MEX03	OV3291	3291	CCNE1	GRCh38	chr19	29811990	29824312	29810990	29825312	relative gain/bin-segment sensitivity; absolute CN and local boundaries	1.2406075040013012	1.5602475040013013	7.0	0.0	https://www.ncbi.nlm.nih.gov/gene/898
MEX03	TOV3133D	3133	CCNE1	GRCh38	chr19	29811990	29824312	29810990	29825312	relative gain/bin-segment sensitivity; absolute CN and local boundaries	1.2419599337974847	1.456829933797485	7.0	0.0	https://www.ncbi.nlm.nih.gov/gene/898
MEX03	TOV2881EP	TOV2881EP	CCNE1	GRCh38	chr19	29811990	29824312	29810990	29825312	relative gain/bin-segment sensitivity; absolute CN and local boundaries	1.3516500444444444	1.3358300444444444	7.0	0.0	https://www.ncbi.nlm.nih.gov/gene/898
MEX03	TOV2835EP	TOV2835EP	CCNE1	GRCh38	chr19	29811990	29824312	29810990	29825312	relative gain/bin-segment sensitivity; absolute CN and local boundaries	0.4494898358608385	1.1980378358608383	7.0	0.0	https://www.ncbi.nlm.nih.gov/gene/898
MEX03	OV3133-R	3133	CCND1	GRCh38	chr11	69641069	69654474	69640069	69655474	within-patient CCND1 versus CCNE1 patterns; three targets	1.7018874170286278	2.270337417028628	3.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000110092
MEX03	OV3133-R2	3133	CCND1	GRCh38	chr11	69641069	69654474	69640069	69655474	within-patient CCND1 versus CCNE1 patterns; three targets	1.668100296101695	2.1515902961016953	3.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000110092
MEX03	TOV3133G	3133	CCND1	GRCh38	chr11	69641069	69654474	69640069	69655474	within-patient CCND1 versus CCNE1 patterns; three targets	1.6548716981104112	2.153771698110411	3.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000110092
MEX03	TOV3133D	3133	CCND1	GRCh38	chr11	69641069	69654474	69640069	69655474	within-patient CCND1 versus CCNE1 patterns; three targets	0.8860289337974848	1.726579933797485	3.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000110092
MEX03	TOV2835EP	TOV2835EP	NF1	GRCh38	chr17	31094882	31382116	31093882	31383116	deep/partial exon depletion; residual reads, mapping and breakpoint evidence	-7.104882164139162	-7.553802164139162	87.0	66.0	https://rest.ensembl.org/lookup/id/ENSG00000196712
MEX03	TOV3121D	3121	NF1	GRCh38	chr17	31094882	31382116	31093882	31383116	deep/partial exon depletion; residual reads, mapping and breakpoint evidence	-5.250128797775309	-6.36087921541502	87.0	54.0	https://rest.ensembl.org/lookup/id/ENSG00000196712
MEX03	TOV3121EP	3121	NF1	GRCh38	chr17	31094882	31382116	31093882	31383116	deep/partial exon depletion; residual reads, mapping and breakpoint evidence	-5.385907370851642	-6.8994270360573795	87.0	38.0	https://rest.ensembl.org/lookup/id/ENSG00000196712
MEX03	OV1369-R2	1369	CDKN2A	GRCh38	chr9	21966923	21995301	21965923	21996301	zero-depth/partial locus; distinguish p16 and p14ARF exons	-7.879366358695652	-5.967316358695652	4.0	3.0	https://rest.ensembl.org/lookup/id/ENSG00000147889
MEX03	TOV1369	1369	CDKN2A	GRCh38	chr9	21966923	21995301	21965923	21996301	zero-depth/partial locus; distinguish p16 and p14ARF exons	-8.661517389655172	-6.868607389655173	4.0	2.0	https://rest.ensembl.org/lookup/id/ENSG00000147889
MEX03	TOV2414	TOV2414	CDKN2A	GRCh38	chr9	21966923	21995301	21965923	21996301	zero-depth/partial locus; distinguish p16 and p14ARF exons	0.0416633434780467	-0.6509160565219534	4.0	3.0	https://rest.ensembl.org/lookup/id/ENSG00000147889
MEX03	TOV3392D	TOV3392D	ERBB2	GRCh38	chr17	39688093	39728658	39687093	39729658	expression versus focal-bin and broad-segment discrepancy	0.5778717868613141	0.056626186861314	12.0	0.0	https://www.ncbi.nlm.nih.gov/gene/2064
MEX03	TOV2835EP	TOV2835EP	ERBB2	GRCh38	chr17	39688093	39728658	39687093	39729658	expression versus focal-bin and broad-segment discrepancy	0.9845578358608387	0.8447373358608385	12.0	0.0	https://www.ncbi.nlm.nih.gov/gene/2064
MEX08	TOV81D	TOV81D	BRCA2	GRCh38	chr13	32315085	32400268	32314085	32401268	pathogenic allele plus retained wild-type historical evidence; present allele-specific status	0.0025305543248994	0.2698509613248994	44.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000139618
MEX08	OV3133-R	3133	CDK12	GRCh38	chr17	39461436	39567559	39460436	39568559	strong loss-candidate read support; allele-specific status and splice evidence	-0.5684205829713723	-0.4089735829713722	21.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000167258
MEX08	OV3133-R2	3133	CDK12	GRCh38	chr17	39461436	39567559	39460436	39568559	strong loss-candidate read support; allele-specific status and splice evidence	-0.5661307038983051	-0.3535157038983051	21.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000167258
MEX08	TOV3133D	3133	CDK12	GRCh38	chr17	39461436	39567559	39460436	39568559	strong loss-candidate read support; allele-specific status and splice evidence	-0.40671706620251513	-0.3515170662025151	21.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000167258
MEX08	TOV3133G	3133	CDK12	GRCh38	chr17	39461436	39567559	39460436	39568559	strong loss-candidate read support; allele-specific status and splice evidence	-0.5753423018895888	-0.4285633018895888	21.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000167258
MEX08	OV3291	3291	CDK12	GRCh38	chr17	39461436	39567559	39460436	39568559	strong loss-candidate read support; allele-specific status and splice evidence	0.5331325040013013	0.8921585040013011	21.0	0.0	https://rest.ensembl.org/lookup/id/ENSG00000167258
