sample_or_model,role,recorded_path,source_local,status
TOV3121EP_P68,CNV tumour alignment,../work/16/fda4442888f0e2b4b65817a33a17d5/TOV3121EP_P68.recal.bam,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
TOV3121EP_P68,CNV normal alignments,normal_samples/all_bams/*.bam,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
TOV3121EP_P68,CNV reference FASTA,/scratch/asmab/ovcan/references/Homo_sapiens/GATK/GRCh38/Sequence/WholeGenomeFasta/Homo_sapiens_assembly38.fasta,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
TOV3121EP_P68,CNV target BED,/scratch/asmab/ovcan/intervals_sorted.bed,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
TOV3121EP_P68,CNV antitarget BED,/scratch/asmab/ovcan/intervals.antitarget.bed,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
OV2295_R2_P70,CNV tumour alignment,../work/2a/25a0a6a1570955ea5a4fb75b685db4/OV2295_R2_P70.recal.bam,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
OV2295_R2_P70,CNV normal alignments,normal_samples/all_bams/*.bam,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
OV2295_R2_P70,CNV reference FASTA,/scratch/asmab/ovcan/references/Homo_sapiens/GATK/GRCh38/Sequence/WholeGenomeFasta/Homo_sapiens_assembly38.fasta,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
OV2295_R2_P70,CNV target BED,/scratch/asmab/ovcan/intervals_sorted.bed,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
OV2295_R2_P70,CNV antitarget BED,/scratch/asmab/ovcan/intervals.antitarget.bed,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
TOV2835EP_P64,CNV tumour alignment,../work/36/d2b6b1fc50b36bdee99aeaaae32dcf/TOV2835EP_P64.recal.bam,judy_archive/data/cnvkit wes - new/commands.txt,historical path hint; cluster existence and original working directory unverified
